specimen_id,hc_conn_4_10,hc_conn_4_15,hc_conn_4_20,hc_conn_4_25,hc_conn_4_30,hc_conn_7_10,hc_conn_7_15,hc_conn_7_20,hc_conn_7_25,hc_conn_7_30,hc_conn_10_10,hc_conn_10_15,hc_conn_10_20,hc_conn_10_25,hc_conn_10_30,hc_combo_0.5_10,hc_combo_0.5_15,hc_combo_0.5_20,hc_combo_0.5_25,hc_combo_0.5_30,hc_combo_1_10,hc_combo_1_15,hc_combo_1_20,hc_combo_1_25,hc_combo_1_30,gmm_combo_0.5_10,gmm_combo_0.5_15,gmm_combo_0.5_20,gmm_combo_0.5_25,gmm_combo_0.5_30,gmm_combo_1_10,gmm_combo_1_15,gmm_combo_1_20,gmm_combo_1_25,gmm_combo_1_30,spec_combo_0.5_10,spec_combo_0.5_15,spec_combo_0.5_20,spec_combo_0.5_25,spec_combo_0.5_30,spec_combo_1_10,spec_combo_1_15,spec_combo_1_20,spec_combo_1_25,spec_combo_1_30,kmeans_combo_0.5_10,kmeans_combo_0.5_15,kmeans_combo_0.5_20,kmeans_combo_0.5_25,kmeans_combo_0.5_30,kmeans_combo_1_10,kmeans_combo_1_15,kmeans_combo_1_20,kmeans_combo_1_25,kmeans_combo_1_30
903864968,4,4,4,4,0,9,9,0,20,20,6,6,6,12,12,9,9,0,15,7,5,5,5,0,25,2,2,7,20,0,2,11,2,0,12,1,5,13,19,22,6,10,10,13,24,3,3,3,2,2,3,10,10,3,3
681636493,8,8,8,1,1,5,12,12,11,0,2,0,7,7,3,2,12,12,12,13,4,1,8,8,3,7,10,2,10,15,6,0,8,11,19,6,0,15,20,28,4,6,13,22,19,0,10,10,24,24,0,0,17,7,7
739840659,0,2,3,0,10,4,1,1,1,1,7,3,8,8,8,3,1,15,7,3,1,12,12,5,19,8,0,4,4,19,7,2,9,9,9,7,1,9,7,14,1,7,1,15,11,1,1,1,21,21,8,8,8,14,14
847876759,2,0,17,3,8,4,1,16,16,16,7,3,1,1,29,3,1,15,7,3,1,12,12,5,19,8,0,4,8,3,7,2,9,9,13,7,1,5,13,4,9,0,7,9,25,1,1,1,10,10,8,8,8,21,21
644821657,8,8,8,1,1,5,12,12,0,11,2,0,15,15,15,8,0,1,21,21,3,4,0,20,20,7,14,5,16,18,6,3,12,8,2,3,12,6,8,8,4,2,17,11,28,0,11,16,22,22,0,14,19,7,7
845402780,3,1,16,16,16,5,12,12,0,27,2,0,7,7,3,8,0,17,8,8,5,5,5,10,10,1,9,17,1,5,8,13,11,14,14,1,7,10,17,29,6,13,15,10,1,9,14,18,14,14,5,5,16,2,2
863515305,3,1,16,16,16,9,9,0,12,5,6,6,6,24,24,9,9,0,15,7,5,5,5,10,10,2,2,7,20,0,2,11,11,0,12,1,5,13,19,22,6,10,15,10,6,3,3,3,2,9,3,3,5,2,2
893371082,4,4,4,4,0,9,9,0,24,24,6,6,6,24,24,9,9,0,15,7,5,5,5,0,25,2,2,7,9,26,2,11,2,0,12,1,5,13,19,22,6,10,10,13,6,2,2,2,9,28,3,10,10,9,9
989479628,0,10,10,21,21,7,7,15,15,15,9,9,9,20,20,6,6,6,6,29,8,8,18,18,8,3,13,10,21,12,9,9,5,10,26,5,4,3,5,12,3,3,4,4,10,7,7,19,15,15,7,7,7,16,16
716309237,4,4,4,4,0,9,9,0,12,5,3,14,14,6,6,9,9,0,24,24,2,11,11,23,11,2,3,8,6,7,2,11,15,24,10,1,14,0,0,27,2,4,15,13,6,3,4,4,12,12,4,4,4,6,6
