specimen_id,hc_conn_4_10,hc_conn_4_15,hc_conn_4_20,hc_conn_4_25,hc_conn_4_30,hc_conn_7_10,hc_conn_7_15,hc_conn_7_20,hc_conn_7_25,hc_conn_7_30,hc_conn_10_10,hc_conn_10_15,hc_conn_10_20,hc_conn_10_25,hc_conn_10_30,hc_combo_0.5_10,hc_combo_0.5_15,hc_combo_0.5_20,hc_combo_0.5_25,hc_combo_0.5_30,hc_combo_1_10,hc_combo_1_15,hc_combo_1_20,hc_combo_1_25,hc_combo_1_30,gmm_combo_0.5_10,gmm_combo_0.5_15,gmm_combo_0.5_20,gmm_combo_0.5_25,gmm_combo_0.5_30,gmm_combo_1_10,gmm_combo_1_15,gmm_combo_1_20,gmm_combo_1_25,gmm_combo_1_30,spec_combo_0.5_10,spec_combo_0.5_15,spec_combo_0.5_20,spec_combo_0.5_25,spec_combo_0.5_30,spec_combo_1_10,spec_combo_1_15,spec_combo_1_20,spec_combo_1_25,spec_combo_1_30,kmeans_combo_0.5_10,kmeans_combo_0.5_15,kmeans_combo_0.5_20,kmeans_combo_0.5_25,kmeans_combo_0.5_30,kmeans_combo_1_10,kmeans_combo_1_15,kmeans_combo_1_20,kmeans_combo_1_25,kmeans_combo_1_30
910287886,0,2,1,17,17,9,9,0,24,24,6,6,6,24,24,9,9,0,20,20,5,5,5,0,0,2,2,7,9,26,1,11,17,7,6,1,5,10,17,9,6,10,10,1,24,2,2,2,9,28,3,10,10,24,24
941552661,0,2,1,17,17,9,9,0,24,24,6,6,6,24,24,9,9,0,15,7,5,5,5,0,25,2,2,7,20,0,2,11,2,0,12,1,5,13,19,22,6,10,10,13,6,3,3,3,2,2,3,3,5,9,9
880772136,8,8,8,1,1,5,12,12,0,11,2,2,18,18,18,2,3,9,9,9,4,1,8,8,3,7,10,11,10,18,6,0,8,11,19,6,0,15,11,15,4,5,18,14,14,0,10,10,5,5,0,14,17,7,7
652960852,8,8,8,1,1,5,12,12,11,0,2,0,7,7,3,2,3,9,9,9,4,1,8,8,3,7,10,11,10,18,6,0,8,11,19,6,0,16,20,13,4,6,13,22,19,0,10,10,5,5,0,0,17,7,7
740373591,2,0,17,3,8,4,1,1,1,1,7,3,8,8,8,3,1,16,16,16,1,12,12,5,13,8,0,4,4,19,7,2,9,9,3,7,1,9,7,14,9,0,16,9,7,1,1,1,21,21,8,8,8,14,14
989369441,1,3,0,2,2,3,3,3,3,3,3,14,14,6,6,7,8,8,0,12,2,0,19,19,9,0,3,8,6,10,4,1,10,24,10,4,3,1,0,29,2,4,0,0,26,4,12,8,19,19,4,4,4,6,6
889271408,2,0,17,3,8,4,1,16,16,16,7,3,1,1,29,3,1,15,7,3,1,12,12,5,19,8,0,4,8,3,7,2,9,9,13,7,1,5,13,24,9,0,16,9,25,1,1,1,10,10,8,8,8,21,21
947496055,2,0,17,3,8,4,1,16,16,16,7,3,1,1,29,3,1,15,7,3,1,2,2,14,14,8,0,9,8,3,3,4,1,2,13,7,13,5,13,4,9,8,5,23,18,1,1,1,10,10,8,1,1,1,1
695440507,8,8,8,1,1,9,9,0,20,20,6,6,6,24,24,8,0,17,8,8,5,5,5,0,25,1,14,17,1,5,8,13,3,14,14,0,12,14,6,3,5,13,15,10,6,0,11,17,14,14,5,5,16,2,2
983975050,1,3,0,2,2,1,5,5,5,2,1,4,0,14,14,0,10,4,4,4,7,3,16,7,7,0,8,12,13,24,4,1,10,3,4,4,10,1,12,18,8,4,0,0,26,8,8,8,17,17,4,12,15,11,11
948429967,2,0,7,7,7,3,3,4,10,10,4,1,2,2,2,1,2,2,17,17,6,6,6,16,16,4,6,13,17,23,3,10,6,20,16,0,7,17,9,4,5,13,5,6,12,6,6,9,3,26,1,13,1,1,26
990606480,2,0,7,7,7,3,3,4,10,10,3,13,13,13,13,7,8,8,0,12,2,0,4,4,18,6,4,1,0,21,5,6,19,20,25,0,3,10,1,1,7,7,15,10,11,6,12,6,19,27,1,13,18,19,19
644818070,0,2,1,17,17,3,3,4,10,10,6,6,6,24,24,9,9,0,20,20,5,5,5,0,0,9,11,3,19,8,1,14,17,7,24,8,2,8,9,11,7,1,10,1,24,9,13,18,4,4,3,10,10,8,8
902284440,4,4,4,4,0,9,9,0,20,20,6,6,6,12,12,9,9,0,15,7,5,5,5,0,25,2,2,7,20,0,2,11,2,0,12,1,5,13,19,22,6,10,10,13,6,3,3,3,2,9,3,10,10,9,9
673387671,0,2,3,0,10,3,3,4,10,10,4,1,2,2,2,4,4,10,10,10,6,6,6,24,24,9,9,16,19,8,1,14,17,7,24,8,2,4,9,11,7,1,14,1,24,9,13,13,4,4,3,10,13,13,13
698668188,5,5,2,5,5,6,6,6,6,6,5,5,5,0,10,5,5,5,2,11,9,9,9,9,4,5,11,3,23,6,0,5,4,18,27,9,8,11,3,0,0,1,2,17,3,5,5,5,7,7,9,9,9,18,18
864068767,4,4,4,4,0,9,9,0,24,24,6,6,6,24,24,9,9,0,20,20,5,5,5,0,0,2,5,7,9,26,2,11,7,0,6,8,7,10,17,9,5,13,14,10,1,2,2,2,9,28,3,3,3,24,24
901424290,3,1,5,8,3,3,3,4,10,10,4,1,2,10,4,1,11,11,5,27,6,6,6,16,16,1,9,18,5,1,8,7,3,15,5,0,11,14,6,3,5,13,19,6,16,9,0,0,0,0,1,13,0,0,0
970683578,0,2,3,0,10,2,0,8,8,8,3,14,14,6,6,7,8,8,0,25,2,0,15,15,15,6,5,16,6,21,5,6,15,4,25,8,2,10,17,9,7,1,1,10,24,4,12,12,23,23,6,6,6,8,8
792687812,3,1,5,8,3,3,3,4,10,10,0,7,3,3,0,1,2,2,23,23,6,6,6,16,16,4,6,13,17,23,3,4,6,20,16,0,7,17,23,4,5,13,7,6,12,6,6,6,3,26,1,1,1,1,26
680973517,0,2,3,0,10,2,2,2,2,12,3,14,14,6,6,7,8,8,0,12,2,11,11,23,11,4,6,15,17,23,3,4,6,20,7,4,7,10,23,1,7,4,14,6,12,6,6,12,3,26,4,4,15,11,26
914412754,2,0,17,3,8,4,1,1,1,1,7,3,8,8,8,3,1,15,7,3,1,2,2,14,14,8,0,4,4,19,7,2,9,9,13,7,13,9,7,21,9,0,7,9,22,1,1,1,21,21,8,8,1,21,21
959190247,5,5,2,5,5,6,6,6,6,6,5,5,5,0,10,5,5,5,2,26,9,9,9,9,4,5,11,3,24,6,0,5,4,18,17,9,8,11,3,25,0,11,2,17,3,5,5,5,7,7,9,9,9,18,18
643798256,3,1,5,8,3,2,2,2,2,12,0,7,3,3,0,3,13,13,13,2,1,2,2,22,22,4,6,9,17,27,3,4,6,20,16,0,11,14,6,11,7,8,7,10,12,6,6,6,1,1,1,1,1,1,1
863483123,1,3,0,2,2,0,4,9,9,9,1,4,0,4,1,0,10,4,4,4,7,3,16,7,7,0,8,14,7,14,4,1,10,3,4,4,10,17,12,16,2,4,0,16,12,8,8,15,16,16,4,12,15,5,5
948360440,3,1,16,16,16,5,12,12,0,27,2,0,7,7,3,2,12,12,12,28,3,4,0,20,20,1,14,17,1,5,8,13,7,14,2,0,7,16,14,7,7,2,17,11,28,0,14,14,24,24,5,5,19,10,10
973792505,7,7,15,15,15,2,2,2,4,4,1,4,0,4,1,0,7,3,11,5,7,3,17,17,17,4,8,14,7,13,9,9,16,13,4,4,10,12,21,17,8,12,9,16,4,8,8,15,18,18,7,12,12,16,16
