,0
1039273993,17
823218199,3
893366298,10
922742835,10
992219189,7
763994181,10
1010970692,16
912289883,2
899711102,7
642777215,13
646836355,15
1036259470,18
965591192,14
645529777,9
914432180,18
764477652,7
908894436,0
989163765,4
640106757,13
970080520,12
1010692386,18
853618984,0
990548306,10
853692765,1
950034792,2
908669318,3
998064533,3
893354404,17
819950000,7
919699890,2
699818438,0
973832650,14
841871826,7
969200089,11
962105846,10
1036186120,18
965771797,1
962261526,2
961114647,12
645354028,7
914354735,3
841888315,5
645530172,13
947139142,11
681931335,9
921637459,10
694841940,15
927797864,0
698675821,12
1000612469,14
896053888,10
903864968,0
681636493,3
739840659,2
847876759,2
644821657,6
845402780,5
863515305,0
893371082,0
989479628,15
716309237,17
954032889,2
902255361,9
863478540,0
904725260,17
986895113,18
681419547,7
984056604,17
820060969,11
639910703,13
990229295,3
833872706,5
823083861,3
896619350,11
947344218,2
851542876,0
681939807,7
902140767,1
646177634,12
705839974,2
901440363,3
837673842,10
1035989877,18
910287738,0
698676093,12
827638657,4
925242241,2
612410245,7
948302732,6
963019667,2
650331035,16
603902877,7
681554845,7
740410280,14
863404974,1
829305793,4
948126701,13
990213121,3
1000625161,14
698700813,10
910287886,1
941552661,0
880772136,3
652960852,3
740373591,2
989369441,18
889271408,2
947496055,2
695440507,5
983975050,16
948429967,13
990606480,10
644818070,9
902284440,0
673387671,9
698668188,12
864068767,1
901424290,7
970683578,10
792687812,13
680973517,8
914412754,2
959190247,12
643798256,13
863483123,16
948360440,4
973792505,14
603337985,13
640111874,13
904832267,2
961238285,12
945796367,3
612402470,7
992408868,9
989164849,14
916620597,3
952669499,2
961238333,8
736499017,10
887207252,7
912868696,2
914265453,18
717313398,13
644953476,5
645834123,9
913716620,4
603481505,3
992441763,10
695424422,6
919979431,10
716596648,7
916473265,3
1034933680,16
642999751,6
950265290,4
919102928,2
913765840,9
961226203,12
851580386,0
697525735,10
922613228,2
917624301,10
945063428,3
1043809804,18
702023186,4
982582806,16
863450651,0
645453340,7
954066469,2
645379626,12
1010677295,17
640026162,15
961230415,12
945833568,9
912889454,2
891594369,13
912340608,2
741213831,10
898881170,2
912918179,2
940783281,3
897009330,6
661513942,10
903853784,0
829298408,4
610440978,16
811341605,0
904935208,1
907429679,3
733620016,18
1006380866,18
637380444,3
882763615,3
906532711,9
724539260,1
942307202,1
656721795,9
1010976652,18
942421907,1
982558622,15
716793760,14
917657507,15
605493156,3
645453746,7
652789704,7
863418322,0
645363692,3
886474771,1
645834778,4
644933664,2
661481525,2
882198617,10
970078299,18
825436260,7
645449840,5
640006296,2
847902873,7
966473885,0
742717602,1
965535967,11
934844641,11
712153315,12
644827374,6
919091442,10
653195521,0
915441937,10
681400617,6
904948028,1
893401406,9
1035970888,16
697538916,10
681912683,3
891558275,11
652544407,6
908675487,11
975325599,15
603511210,7
910375338,2
961104301,12
971708843,11
916490671,14
908855729,0
895740352,3
827873742,3
826780116,4
741206508,11
904690163,1
880871943,6
1006389773,16
1039243792,16
825002523,13
828885535,4
610400799,15
975477315,14
912329296,10
926866005,2
917588572,11
982542941,18
604527243,7
904862358,2
827968165,3
992021164,3
971586225,11
644864693,9
637414095,7
895580896,3
990350059,6
673643261,9
990354179,3
681937682,7
973384481,4
740305711,11
895548208,11
977029946,18
742734652,5
681405248,6
895740736,2
867650384,2
644836206,3
971647853,8
823024502,3
961846146,0
985869192,0
638806925,9
904731534,0
1000110992,15
984034203,17
712145820,12
645807027,3
701074357,12
935046071,2
824990654,13
895609799,2
651041745,7
701074400,12
962821095,2
915479566,2
811375643,0
898559010,2
841882659,10
932678695,0
680954928,13
642763833,7
988957754,16
839584863,16
765881445,11
841817193,0
912063608,0
828894369,7
927833265,2
914250949,0
826830025,4
644832461,10
645913812,6
984104151,17
992394456,9
824937690,2
971517180,10
948366592,10
1036061965,17
639827216,9
982658324,11
978607419,16
983928133,18
966819173,10
603229579,4
907337101,1
841866643,5
648093076,7
764497316,18
989502887,14
794963377,11
828890584,4
811355609,1
902000094,0
966819294,11
912301547,2
963063283,2
841854478,3
698658322,12
681639459,4
929533489,2
936001075,2
971546167,4
907460164,0
975429194,6
652959315,7
740318831,11
711573106,9
907357811,1
604098167,3
827903615,3
701075085,8
884596365,11
601628311,9
970079895,18
922562221,11
903814839,1
850968263,11
989351643,16
1039503078,16
935214823,0
975392497,15
899424012,10
899452696,9
899583778,13
972447551,11
824909637,2
903831367,0
908894026,0
983936858,12
929406809,1
962355052,2
742023028,11
1010970495,1
924610453,2
950075297,2
948318130,10
969301940,11
829296573,7
990236615,3
958619600,12
864030679,1
706461666,2
826765287,14
628756464,7
643002356,4
902029302,1
831254527,0
