,0
1039273993,exc_mMET_ME_18
823218199,exc_mMET_ME_4
893366298,exc_mMET_ME_11
922742835,exc_mMET_ME_11
992219189,exc_mMET_ME_8
763994181,exc_mMET_ME_11
1010970692,exc_mMET_ME_17
912289883,exc_mMET_ME_3
899711102,exc_mMET_ME_8
642777215,exc_mMET_ME_14
646836355,exc_mMET_ME_16
1036259470,exc_mMET_ME_19
965591192,exc_mMET_ME_15
645529777,exc_mMET_ME_10
914432180,exc_mMET_ME_19
764477652,exc_mMET_ME_8
908894436,exc_mMET_ME_1
989163765,exc_mMET_ME_5
640106757,exc_mMET_ME_14
970080520,exc_mMET_ME_13
1010692386,exc_mMET_ME_19
853618984,exc_mMET_ME_1
990548306,exc_mMET_ME_11
853692765,exc_mMET_ME_2
950034792,exc_mMET_ME_3
908669318,exc_mMET_ME_4
998064533,exc_mMET_ME_4
893354404,exc_mMET_ME_18
819950000,exc_mMET_ME_8
919699890,exc_mMET_ME_3
699818438,exc_mMET_ME_1
973832650,exc_mMET_ME_15
841871826,exc_mMET_ME_8
969200089,exc_mMET_ME_12
962105846,exc_mMET_ME_11
1036186120,exc_mMET_ME_19
965771797,exc_mMET_ME_2
962261526,exc_mMET_ME_3
961114647,exc_mMET_ME_13
645354028,exc_mMET_ME_8
914354735,exc_mMET_ME_4
841888315,exc_mMET_ME_6
645530172,exc_mMET_ME_14
947139142,exc_mMET_ME_12
681931335,exc_mMET_ME_10
921637459,exc_mMET_ME_11
694841940,exc_mMET_ME_16
927797864,exc_mMET_ME_1
698675821,exc_mMET_ME_13
1000612469,exc_mMET_ME_15
896053888,exc_mMET_ME_11
903864968,exc_mMET_ME_1
681636493,exc_mMET_ME_4
739840659,exc_mMET_ME_3
847876759,exc_mMET_ME_3
644821657,exc_mMET_ME_7
845402780,exc_mMET_ME_6
863515305,exc_mMET_ME_1
893371082,exc_mMET_ME_1
989479628,exc_mMET_ME_16
716309237,exc_mMET_ME_18
954032889,exc_mMET_ME_3
902255361,exc_mMET_ME_10
863478540,exc_mMET_ME_1
904725260,exc_mMET_ME_18
986895113,exc_mMET_ME_19
681419547,exc_mMET_ME_8
984056604,exc_mMET_ME_18
820060969,exc_mMET_ME_12
639910703,exc_mMET_ME_14
990229295,exc_mMET_ME_4
833872706,exc_mMET_ME_6
823083861,exc_mMET_ME_4
896619350,exc_mMET_ME_12
947344218,exc_mMET_ME_3
851542876,exc_mMET_ME_1
681939807,exc_mMET_ME_8
902140767,exc_mMET_ME_2
646177634,exc_mMET_ME_13
705839974,exc_mMET_ME_3
901440363,exc_mMET_ME_4
837673842,exc_mMET_ME_11
1035989877,exc_mMET_ME_19
910287738,exc_mMET_ME_1
698676093,exc_mMET_ME_13
827638657,exc_mMET_ME_5
925242241,exc_mMET_ME_3
612410245,exc_mMET_ME_8
948302732,exc_mMET_ME_7
963019667,exc_mMET_ME_3
