"","PC1","PC2"
"LS-14690_S17_E1-50",12.0597472710839,4.74685865062713
"LS-14690_S26_E1-50",-10.2626862093438,1.39843160083849
"LS-14690_S30_E1-50",3.40037223698172,9.72809645616336
"LS-14690_S39_E1-50",11.8608356776039,-5.04540468039685
"LS-14692_S23_E1-50",6.30481271827595,-3.83512025155104
"LS-14692_S24_E1-50",-3.54180745010245,4.8885659726021
"LS-14696_S66_E1-50",12.9718145485344,3.16197568979352
"LS-14696_S69_E1-50",-0.186319114372629,4.55481132259174
"LS-14696_S70_E1-50",-8.30264043343692,-3.81206472424318
"LS-14696_S76_E1-50",14.7778274263806,-1.00643037500464
"LS-15002_S51_E1-50",0.966750678925561,3.2716999692082
"LS-15002_S58_E1-50",13.2024508653064,4.00919476459872
"LS-15003_S57_E1-50",-12.6520537378975,-3.02258812736966
"LS-15011_S12_E1-50",6.7674217408961,3.5250116089178
"LS-15011_S13_E1-50",10.3709829061722,4.83087877812106
"LS-15011_S14_E1-50",1.3534322853785,1.23196823755212
"LS-15011_S18_E1-50",13.1226117774196,3.79759993430792
"LS-15011_S19_E1-50",13.0725564833334,2.824870240932
"LS-15011_S23_E1-50",2.96103782120615,8.07905268913039
"LS-15015_S18_E1-50",7.14781682793347,4.12703705194533
"LS-15015_S19_E1-50",11.7257291687647,-1.58952933720232
"LS-15015_S23_E1-50",14.6639998624511,-3.08665529606254
"LS-15015_S24_E1-50",9.09045841198093,-1.26431754736162
"LS-15015_S31_E1-50",7.14705149845677,-2.88459688682937
"LS-15020_S04_E1-50",10.543533443961,-1.15394680913214
"LS-15020_S07_E1-50",9.15249222359392,0.270722618586762
"LS-15020_S10_E1-50",6.69626554495945,-3.89214329658103
"LS-15020_S51_E1-50",-4.98428874250752,4.1344014659757
"LS-15020_S52_E1-50",-3.81938684569694,7.98970493873661
"LS-15020_S55_E1-50",13.0114174664813,1.92671382548043
"LS-15024_S01_E1-50",-7.77498891091946,5.81515367222182
"LS-15024_S03_E1-50",13.1623350330029,3.90848432115985
"LS-15024_S04_E1-50",10.1672174470447,2.17873013048342
"LS-15024_S06_E1-50",11.768259625156,-0.340066511582677
"LS-15024_S08_E1-50",-5.33285958325601,-0.322122603745336
"LS-15024_S11_E1-50",-0.680973531854615,1.90459666242925
"LS-15024_S14_E1-50",0.161327136714427,4.99209205952508
"LS-15024_S19_E1-50",11.2693649290686,3.46678412543631
"LS-15024_S20_E1-50",-6.9959710979372,2.97331153730887
"LS-15025_S51_E1-50",12.5058035828164,1.77723810043559
"LS-15025_S55_E1-50",11.9608133916949,1.08515204843246
"LS-15025_S57_E1-50",-9.40854510744506,7.12592741214489
"LS-15025_S58_E1-50",11.0470455045743,-2.80580014170468
"LS-15025_S69_E1-50",-5.95084505731752,-6.71647159937764
"LS-15025_S70_E1-50",-9.66730373232767,0.530017615360392
"LS-15025_S71_E1-50",11.0104393461701,4.48481878007647
"LS-15025_S72_E1-50",-8.13959480528469,4.04438853684077
"LS-15032_S16_E1-50",11.8195113486642,2.62592809683698
"LS-15038_S01_E1-50",-11.1692559072281,0.594041323630834
"LS-15038_S02_E1-50",8.03752770708115,-4.58005982450549
"LS-15038_S03_E1-50",-4.28209460855366,7.64525361359654
"LS-15038_S05_E1-50",8.19571650163208,8.60394193617482
"LS-15038_S07_E1-50",13.5345115584925,2.13316999156969
"LS-15038_S08_E1-50",5.80124632801812,1.36008473634568
"LS-15038_S11_E1-50",-3.72660854121365,9.19896841683737
"LS-15038_S13_E1-50",10.3063093677063,7.61838284016912
"LS-15038_S14_E1-50",8.84182517965997,8.58128740265312
"LS-15038_S15_E1-50",-2.77309589163502,6.78900538525229
"LS-15038_S24_E1-50",-9.12658890042329,-0.492803110468701
"LS-15041_S15_E1-50",6.78437647355834,-6.62748225621524
"LS-15041_S23_E1-50",12.2349809815482,-1.29820689946133
"LS-15041_S32_E1-50",6.84893416999972,3.92388785271825
"LS-15041_S53_E1-50",-9.82266603618832,4.85599399643073
"LS-15041_S54_E1-50",-0.118941373740474,7.65068951807173
"LS-15041_S55_E1-50",-7.95390085519736,6.34168023798687
"LS-15041_S56_E1-50",-6.66979174653151,3.54440067455577
"LS-15041_S64_E1-50",8.74496854738741,3.94056980812256
"LS-15041_S66_E1-50",-10.386458013281,0.815793282257973
"LS-15041_S69_E1-50",-7.21161898411679,4.54317655590113
"LS-15041_S72_E1-50",-4.9819201972394,8.28005438795942
"LS-15042_S34_E1-50",-8.81233103634013,-3.86369814961354
"LS-15042_S36_E1-50",8.67995755303983,-3.70804750418314
"LS-15042_S37_E1-50",1.62359889456062,4.43822729357748
"LS-15042_S38_E1-50",10.9950643222093,-2.503948800629
"LS-15042_S40_E1-50",9.52376523175901,-1.20708355710262
"LS-15042_S41_E1-50",-15.1332702468149,2.46170037440492
"LS-15042_S43_E1-50",-7.63459509318713,0.738205236094735
"LS-15042_S45_E1-50",-8.40583430941667,-0.288490438100268
"LS-15042_S48_E1-50",3.31096170025602,2.42125936426046
"LS-15042_S51_E1-50",-5.4621275476064,-0.497587644509674
"LS-15042_S94_E1-50",-10.3860924965291,-9.07159596156687
"LS-15043_S26_E1-50",-2.95672371028623,3.89602383903149
"LS-15043_S28_E1-50",-5.20078697064009,2.1085629053438
