"","PC1","PC2","PC3","PC4","PC5"
"Arc",0.0172826920751436,-0.0405657909218779,0.170559941646157,0.225406943904932,-0.054739405908588
"Nr4a1",-0.012136701621619,-0.0431314179669366,0.140922994363959,0.206916554073717,-0.0797765778238505
"Hsd11b1",-0.0138580268051466,0.107585203189132,0.115781007898422,-0.0620063122275069,0.181858736271178
"Mup5",0.0519809747174175,0.0111993461207264,0.0334668569447063,-0.0475028244138967,-0.032067484221449
"Bdnf",0.0185845328943557,-0.0339503810079008,0.171357170435759,-0.00740054832108758,-4.40309857631433e-06
"Rgs2",-0.00969931490255044,0.00803882388691206,0.0465553565205234,0.0101331599411783,-0.012616563849016
"Cryab",0.118411102629507,0.0364025493795248,-0.108141530163263,0.0890946516100087,-0.0237018700855444
"Tmsb4x",0.0252700265264479,-0.00322473360591468,-0.0209289392925157,0.00814977700990931,-0.0334428352261642
"Ddit4l",-0.136114442507122,0.0695474006299934,-0.0516119662882169,0.0437447175963963,-0.189978518456593
"LOC105243782",-0.00207984047786831,0.00667356533524331,0.0154327829173816,-0.000813526757716041,0.0177263177935008
"Fxyd6",0.0897250244161118,-0.230727953820019,-0.198280813855001,0.0796929049382337,0.0386911566592121
"Spock3",-0.149080606768796,-0.00353045676629035,-0.10662051943708,0.132394085520795,0.0951534384795328
"Nptx2",0.0293776909651196,-0.0527407599082017,0.0500906816891507,0.0444229110499634,0.0608824194826594
"Rgs4",0.00406583828764649,-0.00132223556442302,0.0247822584473571,0.0231095715452882,-0.0112352210711279
"Meg3",0.00516105366117321,0.00343657198271963,0.0166793105556928,0.00199910875888808,-0.014180480777719
"Dancr",0.00338398415443656,0.0207671268185058,0.00963033593574386,0.00665946095492536,-0.0414791803274804
"Nrip3",-0.0565936118720778,0.131830680690685,0.0824250862098461,-0.036151830984932,-0.0264589497403664
"Npas4",0.0188025716137649,-0.0261099453499026,0.0500045993649502,0.0419416879881424,-0.0120908853329457
"Myc",-0.00686153839337725,0.00536759951354877,-0.0215538834999279,0.0300345609737299,-0.00211563189333154
"Cd34",0.129582478472548,0.0396332846058645,-0.0192931261615826,0.0351018969607848,-0.144283032173134
"Tdo2",0.00510100274708736,0.0150413439572908,-0.00434358502225583,0.0295750648475386,0.077353028290328
