"","PC1","PC2","PC3","PC4","PC5"
"Inhba",0.147295649725599,0.0467151730686637,0.180327940119588,-0.0905231356707911,-0.0170692954688916
"Egr4",0.104941120489293,-0.111464425652971,-0.0563469689775395,0.150022620747915,0.0149196845114875
"Arc",0.191898250802946,0.00160595419886604,-0.122755239243066,0.132467740515686,0.0248377443239073
"Rasl11a",0.115790855447349,-0.0920733112365241,0.00700120164336328,0.0514270762740681,0.0729311884927566
"Rgs4",0.0712580337455141,0.00688967969693426,-0.064051171513741,-0.0527511426975516,0.00389333787914012
"Junb",0.104717651233928,-0.0679733102544922,-0.0762630520463705,0.193386341834998,0.0633762888812516
"C330002G04Rik",2.6220148115706e-05,-0.000754015182893634,0.00126006815922428,0.00293704567590637,0.00254635136353084
"Timp1",0.0285810183402588,-0.0164477474590019,0.0291368101912785,-0.0192742544279529,-0.0103959315548937
"Nefm",0.0869066509588565,-0.0531909626891444,-0.0333209444521175,-0.0479065320074785,-0.151637023205495
"LOC105242963",-0.000415621686145048,0.00132452499969475,-0.000950510619101997,-0.00358902446018706,-0.00546986372790053
"LOC105245280",-0.000218378543609358,0.00510634966995664,-0.0079275184139253,0.00435431041246025,-0.00588567368141819
"Neb",0.00221182036894549,-0.00455072884106551,0.0135910750447295,-0.00628496653347713,0.0072778885402607
"Cartpt",0.0027495049136429,0.00134864919500321,-0.00351504882665706,-0.00497059834579149,0.00412077280506589
"Mas1",0.147274675001459,-0.0797551555820558,0.0886353048703662,-0.138485064929723,-0.0486919908895261
"Egr1",0.100517234984953,-0.0147394777326587,-0.117295188535109,0.123892836377886,-0.0162454437081922
"Tnc",0.0108042005031763,-0.00934607016428821,0.00958799717774851,-0.00991743848624371,0.00574389446412546
"Cenpf",0.0155205494217414,-0.0134971595773145,0.0179760495513914,-0.0327414945718649,0.00702085874582666
"Fam107a",-0.0016321846004767,0.000454695370819385,-0.00206910230670149,0.00559744496588824,-0.00104748783711605
"Adcyap1",0.158216408103896,0.0570658528984002,-0.00477308289507042,-0.135548867588515,0.086658418971051
"Pcsk1",0.149837796419758,-0.105759071281262,-0.0665426367970403,-0.0884720790003775,-0.155911477269947
"Pcp4",-0.000528408886157097,0.0138968035576958,0.0261979785222199,0.00772931548522745,0.0258324079029232
