"","PC1","PC2"
"Egr1",-0.15400807820484,-0.316595524387548
"Cfap70",0.001428286581401,0.00265150227952902
"4930525G20Rik",-0.00275476202337256,0.0358014888877684
"LOC102632096",0.00783414886824927,0.00422346397878056
"Zfp608",0.00123670293307466,-0.00649376490305007
"Pram1",0.00666161468932542,0.00202584497682526
"Fam166b",0.00224545433891144,-0.00940624070347576
"Chek1",-0.000764686983708689,0.000635799810716796
"Afmid",-0.00510835005324172,-0.000849345733367302
"LOC105245477",0.00237631491500594,2.37978714027944e-05
"Slc35f2",0.0152094919663807,0.00360734719287482
"LOC105244428",0.00285922507675988,-0.000966938158633829
"Capsl",-0.0170931983037007,0.0262725132635919
"Mbp",0.0275582755684785,-0.0827583005041551
"LOC105243194",0.00652284373005214,-0.00217726512946487
"Cpne7",0.318149366348848,-0.0914497125622595
"Col24a1",0.0830608899283502,0.312989422229848
"Adamts6",0.0229023068741185,0.00703829899738391
"1700028E10Rik",0.00611211079904404,0.00457977725036343
"Ptchd4",0.122365877264047,-0.0263651057736563
"Phykpl",0.00111365126086609,0.0226469037324026
"LOC105243158",0.00756667096822143,0.0200695503342808
"Lama5",-0.00199882301697995,0.0154978996851171
"Slc16a10",0.00235913182280562,-0.00694734609552407
"LOC105246099",-0.000758280066646497,-0.00743919415295509
"Mybpc1",-0.00922299564500865,0.00478631488617982
"0610039H22Rik",-0.00803696123130881,0.00430736401852026
"Itga5",0.000441560494921626,0.00411036501502121
"LOC105244993",9.24586162203306e-05,0.0218973020367889
"Mdh1",-0.0250803709699023,-0.014906796959939
"Rnf223",-0.00902613873687024,0.0104499806898321
"Fam71d",-0.00385475311971554,0.0174620031651106
"Rasgrf1",0.220964464794514,-0.140974126771438
"Kbtbd8",0.00568898574140996,-0.017885293536415
"Xlr3a",-0.00213664361038796,-0.0195580003282563
"9530051G07Rik",-0.000288285885756265,0.0103474980991146
"LOC105246610",0.0166156493016461,-0.00380943398602324
"Rgsl1",0.00524090058660617,-0.00150249363352208
"LOC102639688",-0.0086946807510583,0.00740676359434818
"Zfp619",0.0160531986164409,-0.00430254512087502
"LOC105246715",-0.00344927493636229,0.0389445677347814
"Pla2g7",0.00710390448715164,-0.0388910105974975
"Mcm6",0.00766707451729533,0.0146059136209113
"Vill",0.000359858796105116,0.00222039481187538
"Pvrl3",-0.00241384038917551,0.00738719844674232
"Arhgef37",-0.010942621702821,0.00816364754909655
"D830031N03Rik",-0.0079786634764812,-0.0151960233250993
"Cadps2",-0.0949084111017977,-0.168928689253545
"Zp2",0.0410741066107658,-0.0031371882032688
"Nup155",-0.00286384917537483,0.0316145576967768
"Nckap5",0.0103193955861887,0.0418562483939356
"Serpini1",0.00442162219785769,-0.0292514584977085
"Ndn",0.0191696814414441,-0.0467997352959157
"Htr2c",0.121282562048687,0.00118741128775529
"LOC105244448",0.0157329813562751,0.0131227569050331
"Bmp5",-0.0281424566662031,-0.0221892290026428
"LOC105246115",-0.0023430171226416,0.00989189012413873
"Col28a1",0.00652676888852839,0.0379256598605224
"Dnah2",0.00126632582020013,0.0217156885624687
"4931440F15Rik",-0.000300236398144919,0.0102866267741133
"Lrrc34",0.00794618130007657,-0.00632756632678073
"6430590A10Rik",-0.00147627909732378,-0.00922477571953076
"Igl",0.00109505496739267,0.0208688455323618
"Dmd",0.0195912301213141,0.160442178244989
"Slc4a4",0.00171756702536493,0.0379569813820928
"LOC102634010",0.0090658304539816,9.27406741073249e-05
"Calr3",5.84701874056334e-05,-0.00857895887824874
"9130023H24Rik",0.00102535125967498,-0.0110590977553498
"Sult1a1",0.00408903722773919,-0.000294454169276603
"Rreb1",0.191679165653269,0.0385790187569805
"Pip5k1b",0.00966576543587795,-0.0213772209368954
"Tjp2",0.00406687308930284,-0.00661496613663442
"Cntnap4",0.0158688053301805,-0.0221743740167954
