"","x"
"Malat1",13.9344412660403
"Mgp",3.32807771112023
"Serpini1",7.28996763350706
"Cenpf",0.171758695975779
"Scg2",7.05241796035082
"Cd24a",0.302089194596078
"Rn18s-rs5",11.5604512639266
"Gal",0.18864200333138
"Cplx3",0.856094890692432
"Lamp5",6.59066617195977
"Arc",6.44929536613142
"Rab3b",6.62564040743322
"Ly6d",1.40565700943455
"Nr4a2",3.20977867464147
"Nnat",0.446191077019469
"Rgs4",8.80877341968816
"Myl4",6.18776704186212
"Ccdc3",0.0835671210809803
"Wls",0.552855333026897
"Cck",4.31970747166216
"Meg3",10.5683835424112
"Egr1",8.36585121358203
"Grp",3.66616182609159
"Etv1",2.2714470307906
"Rwdd2a",4.49508031342677
"Atp1a3",9.64176778325101
"Inhba",0.716549350643784
"Nrn1",8.46871719478363
"Cyr61",2.28049466840493
"Egr4",3.08433916889098
"Snap25",12.7868984699762
"Defb1",0.237992451175458
"Chgb",10.17219459128
"Plcxd2",0.70930548537881
"Snhg11",11.2567112247207
"Col6a1",4.06985109029061
"Pcp4l1",1.28446441939488
"LOC105243255",0.0385591429652586
"Pcp4",12.0027476960103
"Fos",3.80229087920435
"Aldoc",1.30401266867963
"Mia",0.667819212910886
"9630013A20Rik",0.0439440945492682
"Slc5a5",3.41127198082384
"Nefm",6.80941205965473
"Cdh13",2.17969120590828
"Nrep",2.23345148143324
"Rxfp1",0.590828668127138
"Nr4a1",4.3436419666864
"Pcsk1",4.89580543854148
"Ctxn3",3.0610372977538
"Ctgf",1.18370612992409
"Btbd16",0.0386174213879262
"Slc6a16",0.0433431412889005
"Fanca",0.0343892280759032
"Calm2",13.348010791739
"Marcksl1",3.48011127888996
"Bdnf",2.12748921657187
"Phf19",0.039389042199614
"Dqx1",0.0616606481820515
"Ifitm2",4.81206588666514
"Sla",2.5891868113806
"Urah",1.54547916021812
"Mc4r",0.288048628575439
"Nxph1",0.269630786780465
"Slc9a4",0.0463908814454842
"Dcn",0.0361671280903334
"LOC105245210",0.0338563186025015
"Tnfaip6",0.151783520673267
"LOC102634827",0.033050123069224
"Igfbp6",4.08694720442585
"Gstm5",7.52146663835542
"Lsp1",1.07848072424744
"Mobp",0.383965381791215
"Prlr",0.152446397325127
"Grhl3",0.0424331498724801
