"","PC1","PC2","PC3","PC4","PC5","PC6"
"Malat1",-0.0249599754055731,-0.00134375777404766,-0.00571657294879584,0.0058011237636348,-0.0224853843929487,0.00600068665805802
"Mgp",-0.216377605000904,0.000582095481537988,-0.126628366224963,0.0306445214667971,-0.193671039620349,-0.109034700316302
"Serpini1",0.196752993992419,-0.111555497118452,0.0172919273163327,-0.027628215780427,0.144820096046136,0.00228005994720906
"Cenpf",-0.00417035148837584,0.00128600615963428,-0.000560334410679819,-0.00455102017045544,-0.00620668169463029,0.000290858275279207
"Scg2",0.0839702867342133,0.126333953673219,0.143412977208135,-0.128573170980196,-0.00131961749389514,0.0568797715763417
"Cd24a",0.00593532610387647,-0.0364785243590205,0.0476026535023563,0.0519186473351428,0.0286156988880947,-0.0010652973762289
"Rn18s-rs5",-0.0132539649401398,0.00406331327595721,-0.00769118730700169,0.00942174141813848,-0.0154515272788407,0.00707206157654432
"Gal",0.0174267723807357,0.0402772041741283,-0.0169539080153656,0.0351683084918854,0.0515592512788347,-0.065245639719339
"Cplx3",0.0239391922794733,-0.0438949509629541,0.0610909252156733,0.0425139869574439,0.0322891716165232,0.041694637569441
"Lamp5",-0.251455708003555,-0.0593250887178407,-0.010837106923125,0.079830566316136,0.0751514685575144,0.0236010445359454
"Arc",-0.101489412165836,0.0184790147563489,0.0493189486350878,-0.119809360021337,0.086079622671942,-0.128439144130137
"Rab3b",0.131841032460404,-0.190885154965414,0.0153736797050607,-0.0898496199474085,0.141668935120726,0.206119080492224
"Ly6d",-0.0333876379146814,0.164318961038065,-0.0312858950564688,0.0768565877407379,0.0669245949590272,-0.0404545457230744
"Nr4a2",-0.052355320284532,-0.0432445721749243,0.0766697405224385,-0.265857784228701,0.0940954090179718,-0.0893883775936248
"Nnat",0.0268583323692211,0.0420321206885809,-0.016277884867184,0.03400805303242,0.0747820965353559,-0.0727071994101353
"Rgs4",-0.0199438249025756,-0.00568426487146459,0.0887117999194455,0.0059236025090037,0.00609206144693326,-0.0362713388073587
"Myl4",-0.0178205546625057,0.0796701664589096,0.0790864341025529,-0.0239862870532711,-0.0744207930093989,0.100174965209937
"Ccdc3",0.0112045251841139,0.00586330080920506,0.00428205384607322,0.00122992443953544,-0.00581488524930103,-0.00196608104397804
"Wls",0.00928792611726997,-0.0548122003239125,0.122615408410218,0.0817399372046876,-0.00525129322311379,-0.0346574303524618
"Cck",0.0304255550929653,-0.00898685989280171,-0.238800453233037,0.0238799369092528,0.165130194556702,-0.227734824382368
"Meg3",-0.00869620612837283,0.00529079790683311,0.00647399255326414,0.0126060418701089,-0.0379678940300019,0.00774536819954506
