"","PC1","PC2","PC3"
"Penk",-0.103344892366748,-0.0139644668563102,0.0742389916819042
"Lamp5",-0.22050543322115,-0.031329666126085,-0.0403252182174417
"Ctgf",-0.0805511858274365,-0.17280310001566,0.0341168415077379
"Cbln4",-0.0746521953475939,-0.171342496682359,0.0545026998407356
"Malat1",-0.00313239337958397,-0.0224647407061254,0.0145927907332864
"Arpp21",-0.00737068992597621,-0.0634974255504057,0.0153307942430642
"Bdnf",0.147739758321169,-0.101166022801324,-0.0172726340541993
"Scg2",0.0109848698697295,-0.0618612061130105,-0.00912973769623448
"Egr1",0.0700385679926836,-0.09962991628092,0.0781586710267084
"Mgp",0.00974515675281694,0.0666815393833565,-0.118661315730422
"Ctxn3",-0.0968408936326077,-0.148262842061862,-0.0670148533851802
"Fos",0.094684146157094,-0.131597947059699,0.162497976302951
"Rn18s-rs5",0.0132412098404445,-0.0135421327939267,0.0320911627552842
"Fxyd6",0.0615126316547843,0.0611616618468419,-0.114189264197436
"Itm2a",0.00508940220743737,-0.057578772950725,-0.124903595801537
"Id2",-0.0172324976709245,-0.0465261889637009,-0.00717574764158883
"Nmb",-0.07254823578465,-0.108452679762409,-0.241813356544708
"Pcdhb7",0.000496982493013035,-0.0284253015664319,-0.00914684546747037
"Nr4a1",0.0543276901309799,-0.142198619592084,0.156324167663795
"Junb",0.0581712712984436,-0.0938336474504373,0.112349706706546
"Pcsk1",0.0956102064421048,-0.188917016331837,0.108172263224235
"Bhlhe40",-0.0223788692782618,0.0342030785835139,0.0964915462642046
"Usp40",-0.0234307142951456,0.0397943813132905,-0.0538306210421504
"Neurod6",-0.0021785112098798,0.0130165367045246,0.0818786880923206
"Meg3",0.000264219232279242,-0.0265977519540189,0.0535688326723465
"Ier3",0.131042417873645,-0.0641116174778111,-0.0499671551065699
"Rgs4",-0.126312672175082,-0.0577042889840503,-0.0252551293587674
"Antxr1",-0.0215340121411034,0.0160779207254143,0.00779066359422825
"R3hdm1",-0.0128551528990815,-0.0390803944900569,0.0283342360390073
"Serpini1",-0.0684683230055777,-0.0304284018578209,0.0138558298180097
"Rcan2",0.0255979589449859,-0.0736562313364033,-0.0612621795754993
"Calb1",0.0424832293446848,-0.0144040015145763,-0.115587097293423
"Cd34",0.00643706073922951,0.10613844272557,0.101488672383457
"Slfn2",0.0218098893416239,-0.127667588893781,-0.0747717502112721
"Car2",0.0522670241643622,-0.0713317885995541,-0.116381510276552
"Edil3",-0.0490207748413154,-0.00952546723851271,0.0593915920454671
"S100a6",0.00195090993866642,-0.0262078906947157,-0.0622310980537982
"BC048546",0.0197178859588559,-0.0230787484609637,-0.030367450385834
"Hspa5",0.0107535526216703,0.0350698599268926,-0.0444778576768064
"Zkscan8",0.0255236377845065,0.000875174415909811,-0.0117126510968312
"Ccdc15",-0.0155319832268775,0.0345029316725678,0.0458435472080359
"Cryab",0.10239688030835,0.0437918338772729,0.0437436560214236
"Rspo1",-0.096648790208412,-0.0379707073227712,0.0443968432668923
"Ndrg1",-0.148969340424954,-0.0915464137574889,-0.0502303562996608
"Snhg11",-0.0125400112029539,-0.0277745212313154,0.0407510458160042
"Lrrc4c",-0.0508952460539496,-0.0464718413550375,0.115109483922787
"Resp18",0.191663321730176,0.0036893128436211,-0.054258856365646
"Samd12",-0.028005705335616,0.0448780410859839,0.0497422207379355
"Oprk1",0.0329507891727069,0.0309068357187852,-0.139344842463492
"Pde1a",0.0840136572310839,0.0364937475433209,0.0795051308662818
"Aldoc",-0.166569230456875,-0.0206505178356426,0.0517501743024651
"Thap6",-0.00950839094799959,0.0247674219056158,0.00669599611949359
"Malt1",-0.00997150726855321,-0.00915682394063154,0.010769985056301
"Slc17a6",-0.192716559652225,-0.105818516824944,-0.110441328697911
"Grin3a",-0.0471139728508426,-0.0147577918768392,-0.0156613562611058
"Sycp3",0.0127364090287056,0.0100822783647921,-0.031734098823141
"Ttn",0.0192046427143319,0.0172082233702633,-0.00427697885711947
"Wsb1",-0.0214363597812955,-0.0558508194846886,0.0631731185627797
"Matn2",0.0388890652976744,0.0890678851041985,0.0473799929867045
"Btg2",-0.0154239696969699,0.0501439069613796,-0.00111993915975783
"Synpr",0.0714671213473026,-0.0873953870048544,-0.0990359808896674
"Ahr",-0.052790396844746,0.0447051812373331,0.0259533489366472
"Fmnl1",0.0123455718928632,-0.0701428411901055,0.021038775028431
"1700016J18Rik",-0.00104924664466485,0.014987918482566,0.0126153418261705
"Spock3",0.191099565678242,0.00312799782312952,-0.118247548660062
"Slc5a6",0.0150168701843766,0.0504908937350058,0.0594818872436336
"Dhx30",-0.0322820551463009,0.0181922104890778,0.0476133971570248
"Snap25",-0.0113900266356887,0.000432490496340222,-0.0152621177986719
"Fut9",-0.0429943371584945,0.0148263845601341,0.0187664384589457
"Kcns2",0.0310933544394597,-0.0286078993680957,0.0714403157774361
"Mt1",-0.0431301488572701,-0.0727340823194073,-0.0636394048709941
"BC024063",-0.0136854434544532,-0.00846788645128278,0.0246455265195847
"Tpx2",-0.0298798154679128,0.00870105104064992,-0.0137204135754972
"Coch",0.00627803254577947,-0.0753888930319768,-0.0751946715530259
"Car12",0.134167310029287,-0.100388642272316,-0.0433404186806558
"Clcn1",-0.0198438799485846,0.0441477230476705,-0.0127124755897238
"Dusp6",0.0627423461097503,-0.134791456629092,0.0957735990249584
"Sncaip",-0.0841382422630271,-0.0377518854278892,0.0102926463083
"Stk32c",0.00840156935513121,0.0111355385137761,-0.0722863852273649
"Lpl",-0.0678258152052908,-0.0572984825298922,-0.130828756647288
"Slc24a2",0.0312519188952798,0.0481644138737138,0.018718359371818
"Serpinb9",0.0957551368282243,-0.00557539067344028,-0.0285633047954672
"Cdkn1a",0.0990876786535235,-0.106334552634476,-0.0794751624155382
"Ntm",0.134649561112595,0.0592691436377784,0.117580200705073
"9430008C03Rik",0.00608158976309717,-0.0284755560589023,0.0226515661553449
"Synj2",-0.0101983349693639,0.0260811679516363,0.0555011955804315
"Trpc3",-0.135128515908706,-0.0958901803978875,-0.0257918878662418
"Sh3gl3",-0.00173978455027386,-0.0457165395106973,-0.127181963883384
"Ndn",0.0445427721032764,0.00749900313060156,0.0739115348924298
"Aldh7a1",0.0702233505779165,-0.0136847473462404,-0.0525224265510474
"Nrn1",0.0354237798559082,-0.0114399985315111,0.0545480031099962
"Rcn2",-0.0257926894803037,-0.00540376256826674,-0.0567017673142153
"Arc",0.0314624720317308,-0.102863545362841,-0.00834009181896705
"Dixdc1",0.00198180968486203,0.00708146173078184,0.00975898763894303
"Brinp3",-0.131157100171629,-0.0730721370842213,0.0189459690229729
"LOC105244908",-0.00977884534416367,-0.00573233967520713,0.00762127572860834
"Jdp2",0.0332738684445448,-0.0920433828302117,-0.00183392617143185
"Car3",-0.0057934972534293,-0.0518147641300258,-0.0736221106347805
"Clstn3",0.0125027335106356,0.0063761066223437,0.0184744247430709
"Pcp4",0.0117648652835554,-0.00383733197474281,-0.0152826388719671
"Brinp1",0.00640747126566294,-0.0296865331994236,0.0416627572215465
"Cpne4",-0.0125563837364339,-0.0418403534775067,-0.0135824156654871
"Rheb",0.0199110869920618,-0.0411319724870419,-0.000975336932818199
"Dgkb",0.216690750153235,0.021636649795133,0.00513260574045721
"B3galt2",0.00552815592768573,0.0180574849692576,0.0425318429607823
"Cdh8",-0.0851618318996232,0.00441525621178073,0.000762387671446333
"1600029O15Rik",-0.0207689168778014,0.00841109768940519,0.00838957926731699
"Crem",0.0500527130396206,-0.0753859068364785,0.0323962527345251
"Zdbf2",0.0329304977542944,-0.118285330371828,0.0091844974141332
"Slc25a24",-0.0383706036906226,0.0326343956947371,0.00850458714032091
"Sstr2",0.0649749587314689,-0.0851417380778754,-0.0483599303243271
"Dkk3",-0.00444942003962244,0.0312884933844675,0.113478929085847
"Nnat",0.0516307375787389,0.0343661446976966,0.0128837549728454
"Dhx37",-0.0176237005258812,0.0377541252722781,0.0112570802849859
"1810014B01Rik",-0.00100074523896652,0.0231660549528739,-0.0162858921419524
"8430419L09Rik",0.00288114662545057,0.0359408576745795,0.0119152436487675
"Ampd3",0.00268784286772177,-0.0112137131713236,0.00549626496676453
"H2-K1",-0.0260387683651802,0.0264208977586202,-0.0250401761140959
"Kcnq1ot1",0.0308234436665796,-0.0420345246671086,0.0711813898283435
"Aldh1a1",0.0214605690238343,-0.0727773163010721,-0.0982017683034468
"Crhr1",-0.0178082126227317,0.0341148480549451,0.0138216253939229
"Pde2a",-0.0122330678540151,0.00379397679027992,-0.00453068511737505
"Fosl2",0.0623194920807373,-0.136369762246785,0.0620023572590942
"Cdh9",0.132304071253053,-0.0374118276544528,0.0629175559794588
"Dusp14",0.0134398599463212,-0.0349389886344126,0.0280829794097326
"Pygl",-0.0116830026330652,-0.00315382491416084,-0.00504907997532181
"Atp1a3",0.00292782748215415,0.0094580586325793,0.0039530419421561
"Pcdhb10",0.0346307723545272,0.0352495952191847,0.0172985096290288
"Crim1",-0.0386125509997695,0.0288858079083306,0.0558399410427591
"Tbr1",-0.00377697092150348,-0.051972052685685,0.0423648938594316
"Omg",0.000615953526733567,-0.0134478039255585,-0.0214636335529782
"Kit",-0.0306837119920988,-0.145513814167989,-0.0705292591098609
"Syne1",-0.0136668692879513,-0.0633535017974977,0.0329954487623324
"Serinc2",0.00962337498699626,-0.0240145466912838,-0.00453620009219345
"Klf10",0.0572093990842997,0.07347727212924,-0.0286035928618786
"Nptx2",0.0832732660866789,-0.104473073497222,-0.0694244304269045
"Mbtps1",-0.0284267286959182,0.020409368321258,0.0496320034948908
"Slc1a2",-0.00790800810621456,0.000175106374403412,0.0918775596397962
"Zfp184",-0.0319331330933829,-0.0193062102090541,0.00678982303711211
"Cldn12",0.0226129486432267,-0.00867023121238844,0.125854245037568
"Lgi3",-0.0214957907009192,0.034724891211483,0.0502984726070936
"Trp53bp2",-0.0196785642186999,0.000194529276222175,0.0401061997734013
"Grhl1",0.0378063776527902,0.0428185280078929,0.0156858636331324
"Rnf152",-0.146182822441037,-0.0387610048331204,-0.000368158284244869
"Zfpm2",-0.0853321888468972,-0.0135449897320445,0.0160574396648767
"Mpped1",-0.0550707851704309,0.0172667384073743,0.0774844856873262
"Ndst3",-0.116888605321884,-0.023957162151943,0.0591852372375552
"Ddx4",0.0456255528685068,-0.00861843844151709,-0.0231096949315151
"Mgat4c",0.0788511930190844,0.00414391657060505,0.0511160626534578
"Ptchd2",0.0378775352436942,-0.100482193702306,0.00178072070754382
"Tacstd2",-0.0529297422560358,0.0124959861922131,0.0598817491726859
"Ptn",0.0070308713740229,-0.0461958100093218,-0.048289223782649
"Wdr11",-0.0564240637139373,0.0564780426462265,0.0145420318862723
"Sec24d",-0.0346775382487751,-0.00381692859799898,-0.00345743258200996
"Gpcpd1",-0.0255818200463309,-0.0184800892222416,0.0201272859828021
"Scg3",-0.0379571780816606,-0.0371077815219069,-0.0491508619232487
"Hlf",-0.0674540099240799,-0.0220495379113576,0.0685183558117752
"Rasl11b",0.0798762065441236,-0.0664396640602598,0.0094209291370498
