specimen_id,LF1_L23-IT,LF1_L4-L5-IT,LF2_L4-L5-IT,LF3_L4-L5-IT,LF4_L4-L5-IT,LF1_L6-IT,LF1_L5-ET,LF2_L5-ET,LF3_L5-ET,LF1_L6-CT,LF2_L6-CT,LF3_L6-CT,LF1_L6b,LF2_L6b
17109_6201-X4328-Y6753_reg.swc,-5.235021765662827,-8.88865635643281,-3.054356215886319,3.479194429490313,-2.7157158232826513,1.690650102677067,-8.028438209113881,8.3067919407304,-8.260548051420768,-12.498159506805932,-5.427712856783939,-11.952853077593623,-3.0801174214293976,1.5596685357496343
17109_6301-X4756-Y24516_reg.swc,-4.011542901544392,-8.198052566758921,-3.0903436229865884,3.2977078888197324,-2.5906046434042276,1.9007050614409373,-7.4385317931470105,7.8218406049273685,-7.00211594467281,-11.288350834682731,-5.365740185715036,-11.721722600266155,-1.398459351811799,2.4284305220962312
17109_6601-X4384-Y7436_reg.swc,-1.9513480783420563,-7.362612029629729,-1.7709503354848488,2.901926111329986,-2.1032708408736545,2.2250422375952756,-5.694492426235687,5.802618038501091,-7.650826696993184,-11.443753499957662,-4.371821460351411,-11.09302022772137,-2.5614282369749963,0.8783956703247633
17109_6601-X5417-Y25287_reg.swc,-2.432017777993737,-7.143915533043303,-3.234944974833562,3.884796671667934,-0.6619337311145326,1.6933908062420646,-6.107799544692032,7.566351275133044,-7.5195591621308235,-10.294035277894773,-3.840774450811046,-10.225449083845614,-0.6879626324661308,2.3903184909140296
17109_6801-X7432-Y4405_reg.swc,-4.5462625855169385,-7.2662131957611615,-1.6610036093069063,4.090499657017242,-0.14088407722418905,2.5001071311477543,-7.471919272567548,4.332508639046221,-7.114851941167639,-10.867971048530297,-2.2551143861434726,-12.82674029922571,-0.8902226694709015,2.6747585654565103
17109_6901-X7203-Y26714_reg.swc,-3.6064090303253553,-5.982817150457481,-0.7172289379485594,3.954093798341848,-3.258688000811016,2.9224395621203763,-3.892089845117328,5.161045118080956,-6.154491505062456,-8.172350882576737,-4.689833386038638,-11.639913375060253,0.0008382703687324078,-0.38101069308633234
17109_7001-X5738-Y6470_reg.swc,-3.9629487184737706,-8.278146389988116,-2.7123535488937724,4.472406651880487,-2.053480054410308,2.1472153123261357,-6.628154422514355,8.221733487569129,-7.739534893125662,-11.632085773850774,-5.392043370825537,-12.10152951122663,-1.2955253380729972,3.160754672028069
17109_7001-X6205-Y5194_reg.swc,-6.926126348544074,-8.368879615774954,-0.7507198427709086,3.1444222773313557,-1.9856153170605855,1.4402239302821565,-8.041810227441548,3.401515482961844,-8.400385130166935,-12.347389843818524,-1.0561424213420683,-12.99734996003351,-4.413892084264865,-0.5048598459344771
17300_5969-X27278-Y20820_reg.swc,2.4638874107597855,-0.7184141290685604,4.294075580801355,2.3352333337476363,-2.387198579597356,-7.042749943439975,-2.912823620856605,0.39638192967625785,-2.059212457531397,-4.573898049922097,6.581500777438164,-8.67562825037799,3.4689628251224582,-0.6895871063633633
17543_6014-X3691-Y17288_reg.swc,3.1515690709339634,-1.125919487445495,-2.3634569363375206,1.5411278704155422,-1.848887824704463,0.4330586758250933,-3.7920589031257212,6.48757032124824,-2.3819284700508883,-6.108416779993657,-0.9663749510253299,-3.8577877404931304,1.001738852238668,0.4511764509535443
