specimen_id,surface_ccf_x,surface_ccf_y,surface_ccf_z
17109_6201-X4328-Y6753_reg.swc,9230,1370,2020
17109_6301-X4756-Y24516_reg.swc,8310,850,2470
17109_6601-X4384-Y7436_reg.swc,8660,1470,1700
17109_6601-X5417-Y25287_reg.swc,8820,1140,2130
17109_6901-X7203-Y26714_reg.swc,9190,1900,1520
17109_7001-X5738-Y6470_reg.swc,9660,2010,1650
17109_7001-X6205-Y5194_reg.swc,9620,2420,1290
17300_5969-X27278-Y20820_reg.swc,7770,400,3540
17543_6014-X3691-Y17288_reg.swc,9310,810,2920
17781_6262-X6896-Y13574_reg.swc,7870,1250,1870
17781_6866-X8954-Y41812_reg.swc,8710,1680,1520
17787_7070-X12739-Y1410_reg.swc,8550,330,3880
182709_6172-X3564-Y6968_reg.swc,8010,1300,1800
182709_6204-X2976-Y9977_reg.swc,7960,560,3050
182709_6592-X3030-Y10077_reg.swc,8490,570,3090
182709_6812-X3137-Y8659_reg.swc,8850,900,2500
182709_6886-X3406-Y21258_reg.swc,8570,510,3270
182709_6984-X2452-Y12423_reg.swc,9010,330,4330
182709_7010-X2644-Y10852_reg.swc,9060,490,3540
182709_7120-X2261-Y10934_reg.swc,9140,470,3640
182709_7126-X2913-Y10535_reg.swc,9290,590,3400
182709_7144-X3121-Y9346_reg.swc,9320,850,2840
182709_7463-X3586-Y20695_reg.swc,9530,630,3530
182709_7486-X4577-Y22503_reg.swc,9480,1070,2580
182709_7886-X5075-Y22541_2_reg.swc,10170,1500,2570
182709_7918-X5201-Y22656_reg.swc,10200,1590,2520
182724_5937-X3804-Y11955_reg.swc,7060,400,3820
182724_6175-X3782-Y10859_reg.swc,7460,480,3370
182724_6305-X3647-Y18869_reg.swc,7260,280,4320
182724_6354-X4834-Y8105_reg.swc,7870,1100,2070
182724_6360-X3448-Y12540_reg.swc,7620,260,4210
182724_6361-X3802-Y10603_reg.swc,7720,490,3280
182724_6391-X3524-Y11978_reg.swc,7690,310,3950
182724_6396-X3762-Y10790_reg.swc,7760,460,3380
182724_6416-X3689-Y10398_reg.swc,7810,510,3230
182724_6450-X3505-Y11792_reg.swc,7780,310,3870
182724_6457-X3810-Y19182_reg.swc,7440,290,4130
182724_6644-X4183-Y20666_reg.swc,7630,460,3400
182724_6690-X3748-Y10610_reg.swc,8160,470,3340
182724_6704-X3301-Y12214_reg.swc,8110,260,4130
182724_7371-X5043-Y7827_reg.swc,9280,1310,2110
182724_7600-X5645-Y23085_reg.swc,9070,1290,2030
182724_7822-X5447-Y22786_reg.swc,9390,1270,2230
182724_7871-X4578-Y21040_reg.swc,9550,790,3140
182724_8055-X5917-Y23103_reg.swc,9720,1620,2060
182724_8100-X5413-Y22190_reg.swc,9880,1320,2520
182724_8150-X4450-Y19864_reg.swc,10080,1040,3910
182724_8155-X4575-Y20238_reg.swc,10110,1070,3700
182724_8159-X4833-Y21213_reg.swc,10010,1060,3100
182724_8257-X5319-Y21978_reg.swc,10130,1380,2680
182724_8281-X5491-Y21925_reg.swc,10240,1500,2740
182725_6819-X6109-Y7853_reg.swc,8870,710,2890
182725_7341-X4593-Y22594_reg.swc,8770,1550,1660
182725_7482-X7429-Y6760_reg.swc,9970,1490,2370
182725_7649-X3440-Y17884_reg.swc,9510,550,3820
182725_7657-X3644-Y17105_reg.swc,9680,610,4320
182725_7677-X7858-Y6794_reg.swc,10320,1880,2480
182725_7714-X7032-Y7882_reg.swc,10320,1650,3170
182725_7762-X3772-Y19585_reg.swc,9550,870,2990
182725_7988-X4540-Y20706_reg.swc,10050,1450,2490
182725_8028-X4256-Y19926_reg.swc,10160,1280,2910
18452_7249-X11408-Y2071_reg.swc,9490,680,3350
18453_5667-X25695-Y3103_reg.swc,7520,360,3780
18453_5701-X28505-Y4297_reg.swc,7670,710,2730
18453_5766-X31719-Y6139_reg.swc,7860,1460,1610
18453_5941-X24629-Y3152_reg.swc,7880,260,4150
18453_5995-X24812-Y3143_reg.swc,7980,260,4080
18453_6035-X24820-Y3039_reg.swc,8050,260,4110
18453_6181-X10238-Y3690_reg.swc,7670,920,2350
18453_6316-X30559-Y4743_reg.swc,8580,1070,2160
18453_6477-X30376-Y5078_reg.swc,8810,1120,2150
18453_6479-X9010-Y4330_reg.swc,8010,1210,1910
18453_6537-X8725-Y4484_reg.swc,8080,1300,1800
18453_6561-X9442-Y3817_reg.swc,8180,1090,2080
18453_6604-X9161-Y4006_reg.swc,8230,1170,1980
18453_6675-X10576-Y3102_reg.swc,8410,850,2480
18453_6675-X8876-Y4461_reg.swc,8280,1290,1830
18453_6748-X28152-Y3578_reg.swc,9120,690,3050
18453_6846-X11548-Y2831_reg.swc,8710,730,2790
18453_7007-X11486-Y3611_reg.swc,8990,840,2680
18453_7010-X8769-Y4509_reg.swc,8770,1390,1820
18453_7024-X9012-Y4138_reg.swc,8820,1290,1940
18453_7112-X9089-Y4667_reg.swc,8960,1390,1880
18453_7132-X11495-Y3152_reg.swc,9140,840,2750
18453_7132-X31679-Y7308_reg.swc,9720,2020,1680
18453_7146-X8788-Y4552_reg.swc,8980,1440,1830
18453_7188-X11060-Y3637_reg.swc,9220,970,2560
18453_7223-X30215-Y5120_reg.swc,9750,1350,2370
18453_7245-X12979-Y2864_reg.swc,9410,700,3240
18453_7304-X11719-Y3749_reg.swc,9470,950,2770
18461_6043-X11080-Y1667_reg.swc,6850,340,4220
