sample_id,0
P8S4_190718_355_A01,patch-seq-L6 CT
P8S4_191010_355_A01,patch-seq-L6 CT
PES4_191107_651_A01,patch-seq-L5 ET
PFS4_190308_702_A01,patch-seq-L6 CT
P1S4_190628_010_A01,patch-seq-L6 CT
P8S4_191210_353_A01,patch-seq-L2/3 IT
PAS4_200729_453_A01,patch-seq-L6b
P9S4_180703_402_A01,patch-seq-L2/3 IT
PAS4_200730_453_A01,patch-seq-L6b
PAS4_180328_453_A01,patch-seq-L4 & L5 IT
P8S4_191024_351_A01,patch-seq-L6 IT
PFS4_190214_701_A01,patch-seq-L5 ET
P1S4_190624_002_A01,patch-seq-L6 IT
PFS4_200228_702_A01,patch-seq-L6b
P8S4_190712_351_A01,patch-seq-L6 CT
PAS4_190909_451_A01,patch-seq-L6 CT
P1S4_190912_001_A01,patch-seq-L5 ET
P1S4_191015_003_A01,patch-seq-L6 CT
PES4_190219_654_A01,patch-seq-L4 & L5 IT
PFS4_191011_707_A01,patch-seq-L5 ET
PFS4_190813_704_A01,patch-seq-L6 IT
PFS4_191010_701_A01,patch-seq-L6 IT
P1S4_191204_001_A01,patch-seq-L4 & L5 IT
P9S4_180801_401_A01,patch-seq-L6 CT
P8S4_190628_352_A01,patch-seq-L5 ET
PFS4_190906_705_A01,patch-seq-L4 & L5 IT
P8S4_190916_355_A01,patch-seq-L5 ET
PES4_191022_654_A01,patch-seq-L5 ET
PFS4_181015_706_A01,patch-seq-L6 IT
PAS4_190628_455_A01,patch-seq-L6 IT
P8S4_200228_351_A01,patch-seq-L6b
PFS4_180827_701_A01,patch-seq-L5 ET
P2S4_180313_052_A01,patch-seq-L4 & L5 IT
PFS4_190923_705_A01,patch-seq-L2/3 IT
PAS4_190725_454_A01,patch-seq-L2/3 IT
PFS4_190919_702_A01,patch-seq-L5 ET
P8S4_191011_355_A01,patch-seq-L6 CT
P8S4_190926_353_A01,patch-seq-L4 & L5 IT
PAS4_190927_452_A01,patch-seq-L4 & L5 IT
P9S4_180806_403_A01,patch-seq-L6 CT
P9S4_171102_407_A01,patch-seq-L5 ET
P9S4_171106_405_A01,patch-seq-L6 CT
P8S4_190712_354_A01,patch-seq-L5 ET
P1S4_190715_002_A01,patch-seq-L5 ET
P2S4_170915_055_A01,patch-seq-L4 & L5 IT
PAS4_190703_452_A01,patch-seq-L4 & L5 IT
PES4_190703_656_A01,patch-seq-L4 & L5 IT
P2S4_171010_053_A01,patch-seq-L4 & L5 IT
PAS4_171107_452_A01,patch-seq-L6 IT
P8S4_180807_357_A01,patch-seq-L4 & L5 IT
PES4_190826_655_A01,patch-seq-L5 ET
PBS4_180821_502_A01,patch-seq-L6 IT
PES4_190219_653_A01,patch-seq-L4 & L5 IT
PES4_200714_652_A01,patch-seq-L6b
PFS4_190725_705_A01,patch-seq-L6 CT
PAS4_191121_452_A01,patch-seq-L6b
P1S4_191011_003_A01,patch-seq-L6 IT
PES4_191028_651_A01,patch-seq-L5 ET
P8S4_190627_355_A01,patch-seq-L5 ET
P1S4_190718_005_A01,patch-seq-L5 ET
P2S4_171101_051_A01,patch-seq-L4 & L5 IT
PFS4_190730_707_A01,patch-seq-L6b
PAS4_171101_453_A01,patch-seq-L4 & L5 IT
PFS4_190703_702_A01,patch-seq-L5 ET
PES4_190709_657_A01,patch-seq-L6 CT
P1S4_190207_004_A01,patch-seq-L5 ET
P8S4_180703_358_A01,patch-seq-L6 CT
PFS4_191021_703_A01,patch-seq-L5 ET
PAS4_191115_454_A01,patch-seq-L6 CT
P8S4_181016_353_A01,patch-seq-L4 & L5 IT
PAS4_190711_456_A01,patch-seq-L6 CT
PES4_190222_654_A01,patch-seq-L5 ET
P8S4_190628_351_A01,patch-seq-L5 ET
PFS4_190809_704_A01,patch-seq-L6 CT
PFS4_190718_704_A01,patch-seq-L6 CT
P2S4_180515_054_A01,patch-seq-L5 NP
PAS4_191108_452_A01,patch-seq-L6b
PAS4_171025_451_A01,patch-seq-L4 & L5 IT
P8S4_191121_356_A01,patch-seq-L5 ET
PFS4_190712_707_A01,patch-seq-L6 CT
PAS4_200210_451_A01,patch-seq-L6b
PAS4_191220_451_A01,patch-seq-L5 ET
P9S4_180402_401_A01,patch-seq-L4 & L5 IT
PAS4_190726_452_A01,patch-seq-L5 ET
P1S4_190807_004_A01,patch-seq-L2/3 IT
PAS4_190718_452_A01,patch-seq-L5 ET
P2S4_171004_056_A01,patch-seq-L4 & L5 IT
PFS4_190927_702_A01,patch-seq-L5 ET
PAS4_180508_453_A01,patch-seq-L4 & L5 IT
P1S4_191018_003_A01,patch-seq-L5 NP
P8S4_171031_354_A01,patch-seq-L4 & L5 IT
PAS4_200818_453_A01,patch-seq-L6 CT
PAS4_190124_454_A01,patch-seq-L5 ET
P8S4_200227_353_A01,patch-seq-L6b
PES4_190702_652_A01,patch-seq-L5 ET
PFS4_191021_702_A01,patch-seq-L5 ET
P2S4_171031_053_A01,patch-seq-L5 ET
PAS4_190408_454_A01,patch-seq-L4 & L5 IT
PAS4_190716_451_A01,patch-seq-L4 & L5 IT
PAS4_190418_454_A01,patch-seq-L6 CT
P2S4_180402_051_A01,patch-seq-L4 & L5 IT
P8S4_191105_351_A01,patch-seq-L4 & L5 IT
PES4_190712_654_A01,patch-seq-L6 CT
P8S4_190819_352_A01,patch-seq-L5 ET
P2S4_171113_055_A01,patch-seq-L5 ET
P8S4_190822_355_A01,patch-seq-L4 & L5 IT
P8S4_191114_354_A01,patch-seq-L4 & L5 IT
P8S4_190829_357_A01,patch-seq-L6 CT
P8S4_190418_352_A01,patch-seq-L6 IT
PAS4_191126_452_A01,patch-seq-L6 IT
P9S4_180730_405_A01,patch-seq-L6b
PFS4_190913_702_A01,patch-seq-L4 & L5 IT
PES4_190418_651_A01,patch-seq-L6 CT
PES4_191018_652_A01,patch-seq-L6b
P1S4_191024_002_A01,patch-seq-L6 IT
P1S4_190916_002_A01,patch-seq-L4 & L5 IT
P1S4_190715_003_A01,patch-seq-L4 & L5 IT
PAS4_190919_452_A01,patch-seq-L2/3 IT
P8S4_181016_354_A01,patch-seq-L4 & L5 IT
PAS4_191114_453_A01,patch-seq-L4 & L5 IT
PFS4_190730_705_A01,patch-seq-L5 ET
P8S4_191101_351_A01,patch-seq-L5 ET
P9S4_171101_401_A01,patch-seq-L5 ET
P8S4_171023_356_A01,patch-seq-L4 & L5 IT
PES4_190308_655_A01,patch-seq-L6 CT
PAS4_171102_453_A01,patch-seq-L5 NP
P8S4_190919_355_A01,patch-seq-L5 ET
PAS4_190718_454_A01,patch-seq-L5 ET
PES4_191206_652_A01,patch-seq-L4 & L5 IT
PFS4_181016_704_A01,patch-seq-L6 CT
PFS4_191216_701_A01,patch-seq-L5 ET
P9S4_171106_404_A01,patch-seq-L6 CT
PES4_200106_653_A01,patch-seq-L5 ET
P1S4_190709_007_A01,patch-seq-L6 CT
PAS4_190802_452_A01,patch-seq-L6 CT
P8S4_171016_354_A01,patch-seq-L4 & L5 IT
PAS4_190221_455_A01,patch-seq-L5 ET
P1S4_190624_001_A01,patch-seq-L6b
P8S4_190701_355_A01,patch-seq-L5 ET
PBS4_171201_502_A01,patch-seq-L5 ET
PES4_190207_653_A01,patch-seq-L4 & L5 IT
PFS4_190808_702_A01,patch-seq-L2/3 IT
PES4_190916_652_A01,patch-seq-L4 & L5 IT
P8S4_171107_354_A01,patch-seq-L6 CT
P8S4_191017_354_A01,patch-seq-L4 & L5 IT
P1S4_191022_002_A01,patch-seq-L6 CT
PAS4_191119_451_A01,patch-seq-L6 CT
P2S4_180518_055_A01,patch-seq-L6 CT
PFS4_190919_703_A01,patch-seq-L5 ET
PES4_191029_653_A01,patch-seq-L6 IT Car3
P2S4_180702_054_A01,patch-seq-L5 ET
P8S4_190418_353_A01,patch-seq-L4 & L5 IT
PFS4_191114_702_A01,patch-seq-L6b
PES4_190326_653_A01,patch-seq-L4 & L5 IT
P8S4_190917_354_A01,patch-seq-L5 ET
P1S4_191017_001_A01,patch-seq-L6 IT
P9S4_171101_402_A01,patch-seq-L5 ET
PFS4_190802_702_A01,patch-seq-L6 IT
P8S4_190702_354_A01,patch-seq-L5 ET
P8S4_191018_352_A01,patch-seq-L2/3 IT
PAS4_191007_455_A01,patch-seq-L6 IT
PFS4_190802_703_A01,patch-seq-L5 ET
PAS4_190801_455_A01,patch-seq-L5 ET
PFS4_191101_703_A01,patch-seq-L4 & L5 IT
PAS4_190326_454_A01,patch-seq-L6 CT
PAS4_200714_451_A01,patch-seq-L6b
PAS4_190513_454_A01,patch-seq-L5 ET
P8S4_180328_355_A01,patch-seq-L2/3 IT
P8S4_171215_352_A01,patch-seq-L6 CT
P1S4_190920_005_A01,patch-seq-L4 & L5 IT
P8S4_191011_354_A01,patch-seq-L6 CT
P8S4_191007_353_A01,patch-seq-L2/3 IT
PFS4_191004_702_A01,patch-seq-L5 NP
PFS4_191122_704_A01,patch-seq-L5 ET
P8S4_190712_355_A01,patch-seq-L5 ET
P1S4_190628_007_A01,patch-seq-L2/3 IT
P8S4_190709_356_A01,patch-seq-L6 CT
P2S4_171016_052_A01,patch-seq-L4 & L5 IT
PFS4_191118_704_A01,patch-seq-L2/3 IT
PAS4_200117_454_A01,patch-seq-L5 ET
P8S4_171030_353_A01,patch-seq-L4 & L5 IT
P1S4_190718_004_A01,patch-seq-L5 ET
PFS4_190906_704_A01,patch-seq-L5 ET
PFS4_190514_701_A01,patch-seq-L6 IT Car3
PFS4_190730_704_A01,patch-seq-L5 ET
PES4_191024_653_A01,patch-seq-L5 ET
PAS4_191114_455_A01,patch-seq-L5 ET
PFS4_190802_701_A01,patch-seq-L6b
P8S4_190326_356_A01,patch-seq-L5 ET
P8S4_171101_352_A01,patch-seq-L4 & L5 IT
PAS4_190708_457_A01,patch-seq-L5 ET
P8S4_191115_356_A01,patch-seq-L6b
PES4_190916_651_A01,patch-seq-L6 IT
PBS4_180410_504_A01,patch-seq-L4 & L5 IT
PFS4_190926_702_A01,patch-seq-L2/3 IT
PFS4_191004_706_A01,patch-seq-L5 NP
PFS4_190607_704_A01,patch-seq-L4 & L5 IT
PAS4_190812_452_A01,patch-seq-L6 IT
P8S4_180507_355_A01,patch-seq-L4 & L5 IT
PAS4_191125_456_A01,patch-seq-L5 ET
PAS4_190628_454_A01,patch-seq-L4 & L5 IT
PAS4_191107_452_A01,patch-seq-L4 & L5 IT
PBS4_180816_501_A01,patch-seq-L2/3 IT
PAS4_200114_455_A01,patch-seq-L4 & L5 IT
P8S4_191024_353_A01,patch-seq-L6 CT
PAS4_190820_453_A01,patch-seq-L6 CT
PAS4_190228_453_A01,patch-seq-L5 ET
P8S4_180516_356_A01,patch-seq-L5 NP
PFS4_190726_701_A01,patch-seq-L6 CT
PES4_200116_653_A01,patch-seq-L6 IT Car3
PAS4_191101_451_A01,patch-seq-L4 & L5 IT
PAS4_190627_459_A01,patch-seq-L6 IT
P8S4_181015_355_A01,patch-seq-L4 & L5 IT
PES4_180828_652_A01,patch-seq-L4 & L5 IT
PAS4_190415_453_A01,patch-seq-L6 CT
PFS4_190711_703_A01,patch-seq-L6 CT
P6S4_171215_253_A01,patch-seq-L6 CT
PBS4_180409_505_A01,patch-seq-L5 ET
PFS4_191011_705_A01,patch-seq-L5 ET
P8S4_180820_362_A01,patch-seq-L2/3 IT
P1S4_190408_006_A01,patch-seq-L2/3 IT
P9S4_171023_404_A01,patch-seq-L5 ET
PAS4_191003_451_A01,patch-seq-L5 ET
PAS4_171010_451_A01,patch-seq-L4 & L5 IT
PAS4_190418_451_A01,patch-seq-L6 CT
P8S4_190403_351_A01,patch-seq-L5 ET
P8S4_191008_351_A01,patch-seq-L4 & L5 IT
P8S4_191118_356_A01,patch-seq-L4 & L5 IT
PFS4_191125_707_A01,patch-seq-L6 CT
PAS4_190726_453_A01,patch-seq-L6 IT
PBS4_171003_506_A01,patch-seq-L4 & L5 IT
PAS4_191115_453_A01,patch-seq-L5 ET
PAS4_190506_453_A01,patch-seq-L6 CT
P8S4_191014_357_A01,patch-seq-L6 IT
PAS4_191010_451_A01,patch-seq-L6 CT
P8S4_171101_353_A01,patch-seq-L4 & L5 IT
PAS4_170929_452_A01,patch-seq-L4 & L5 IT
P9S4_170922_405_A01,patch-seq-L4 & L5 IT
P1S4_191007_002_A01,patch-seq-L2/3 IT
PAS4_190624_451_A01,patch-seq-L6 CT
PAS4_191122_453_A01,patch-seq-L6 IT Car3
PAS4_190506_454_A01,patch-seq-L6 CT
PFS4_191029_701_A01,patch-seq-L6 IT Car3
PFS4_190927_701_A01,patch-seq-L4 & L5 IT
PFS4_190712_706_A01,patch-seq-L6 CT
P2S4_180518_053_A01,patch-seq-L4 & L5 IT
P8S4_191008_354_A01,patch-seq-L4 & L5 IT
P8S4_170920_356_A01,patch-seq-L5 ET
PFS4_190222_704_A01,patch-seq-L5 ET
P8S4_180629_354_A01,patch-seq-L6 CT
PFS4_191011_706_A01,patch-seq-L5 ET
PFS4_191217_701_A01,patch-seq-L5 ET
P1S4_190924_002_A01,patch-seq-L2/3 IT
P8S4_191105_354_A01,patch-seq-L6b
P1S4_191212_002_A01,patch-seq-L5 ET
P8S4_190709_352_A01,patch-seq-L4 & L5 IT
PAS4_191205_452_A01,patch-seq-L5 ET
P9S4_171107_403_A01,patch-seq-L6 CT
P8S4_191205_351_A01,patch-seq-L5 ET
PAS4_190506_452_A01,patch-seq-L6 CT
P1S4_190712_003_A01,patch-seq-L6 CT
PFS4_190709_702_A01,patch-seq-L6 CT
P8S4_191119_352_A01,patch-seq-L6b
PES4_190802_653_A01,patch-seq-L5 ET
P8S4_190729_351_A01,patch-seq-L5 ET
PFS4_190917_707_A01,patch-seq-L4 & L5 IT
PES4_190726_652_A01,patch-seq-L6 CT
P9S4_180409_405_A01,patch-seq-L4 & L5 IT
PES4_191115_654_A01,patch-seq-L6b
PFS4_190808_704_A01,patch-seq-L6 CT
P1S4_190604_003_A01,patch-seq-L5 ET
PES4_190207_655_A01,patch-seq-L6 IT
P2S4_171003_061_A01,patch-seq-L4 & L5 IT
P8S4_191125_352_A01,patch-seq-L5 ET
PES4_190703_655_A01,patch-seq-L5 ET
PES4_181016_653_A01,patch-seq-L4 & L5 IT
PFS4_190718_705_A01,patch-seq-L6 CT
P8S4_190307_351_A01,patch-seq-L5 ET
P1S4_190716_004_A01,patch-seq-L4 & L5 IT
PES4_191008_653_A01,patch-seq-L2/3 IT
PFS4_191125_702_A01,patch-seq-L5 ET
P1S4_190716_002_A01,patch-seq-L5 ET
P1S4_190701_005_A01,patch-seq-L5 ET
PES4_190715_654_A01,patch-seq-L5 ET
PES4_190214_651_A01,patch-seq-L5 ET
PFS4_190610_701_A01,patch-seq-L6 CT
P1S4_190716_008_A01,patch-seq-L6 CT
PAS4_190628_452_A01,patch-seq-L6 IT
PAS4_171020_454_A01,patch-seq-L4 & L5 IT
P1S4_190916_004_A01,patch-seq-L2/3 IT
PAS4_190415_451_A01,patch-seq-L6 CT
PBS4_180410_506_A01,patch-seq-L4 & L5 IT
PFS4_190709_704_A01,patch-seq-L6 CT
PAS4_171103_452_A01,patch-seq-L5 NP
PFS4_191121_702_A01,patch-seq-L5 ET
PFS4_190219_702_A01,patch-seq-L4 & L5 IT
P8S4_180605_355_A01,patch-seq-L2/3 IT
P8S4_201002_352_A01,patch-seq-L6 IT Car3
PAS4_190510_452_A01,patch-seq-L5 ET
PFS4_190708_706_A01,patch-seq-L5 ET
P8S4_180316_351_A01,patch-seq-L4 & L5 IT
PES4_190627_651_A01,patch-seq-L5 ET
PFS4_190315_704_A01,patch-seq-L6 IT
PAS4_200713_453_A01,patch-seq-L6b
PFS4_190722_701_A01,patch-seq-L6 CT
P2S4_180516_053_A01,patch-seq-L5 NP
PES4_190225_653_A01,patch-seq-L5 ET
PAS4_190222_452_A01,patch-seq-L5 ET
P1S4_190816_002_A01,patch-seq-L2/3 IT
PES4_190703_651_A01,patch-seq-L5 ET
P8S4_170823_356_A01,patch-seq-L4 & L5 IT
P8S4_190627_356_A01,patch-seq-L5 ET
PAS4_190627_458_A01,patch-seq-L4 & L5 IT
PES4_190711_651_A01,patch-seq-L6 CT
P1S4_190412_003_A01,patch-seq-L6 CT
PFS4_190917_704_A01,patch-seq-L5 ET
PES4_190711_657_A01,patch-seq-L6 CT
P8S4_180402_353_A01,patch-seq-L4 & L5 IT
PES4_191008_651_A01,patch-seq-L2/3 IT
PAS4_190225_455_A01,patch-seq-L5 ET
P8S4_171129_351_A01,patch-seq-L6b
P2S4_170724_053_A01,patch-seq-L4 & L5 IT
P2S4_180409_054_A01,patch-seq-L4 & L5 IT
P8S4_191021_352_A01,patch-seq-L4 & L5 IT
PAS4_190221_458_A01,patch-seq-L5 ET
PAS4_171114_451_A01,patch-seq-L4 & L5 IT
PES4_180821_655_A01,patch-seq-L6 IT
PES4_191126_653_A01,patch-seq-L5 ET
P1S4_190506_001_A01,patch-seq-L6 CT
PFS4_191212_707_A01,patch-seq-L2/3 IT
PES4_191205_653_A01,patch-seq-L5 ET
PAS4_190418_455_A01,patch-seq-L6 CT
PES4_190226_653_A01,patch-seq-L5 ET
PFS4_200727_701_A01,patch-seq-L6 CT
PES4_190225_654_A01,patch-seq-L5 ET
PAS4_190926_451_A01,patch-seq-L4 & L5 IT
P1S4_190702_005_A01,patch-seq-L5 ET
PFS4_191011_701_A01,patch-seq-L6 IT
PES4_190712_651_A01,patch-seq-L6 CT
PFS4_190708_704_A01,patch-seq-L4 & L5 IT
PFS4_190829_705_A01,patch-seq-L6 CT
PBS4_180703_503_A01,patch-seq-L4 & L5 IT
P2S4_190221_051_A01,patch-seq-L5 ET
PFS4_190226_703_A01,patch-seq-L5 ET
P1S4_190701_006_A01,patch-seq-L5 ET
PFS4_190917_701_A01,patch-seq-L4 & L5 IT
PFS4_191024_708_A01,patch-seq-L5 ET
PAS4_190718_453_A01,patch-seq-L5 ET
P1S4_190924_001_A01,patch-seq-L4 & L5 IT
P8S4_191125_351_A01,patch-seq-L5 ET
P8S4_191122_353_A01,patch-seq-L6b
PES4_191028_652_A01,patch-seq-L5 ET
PES4_200116_654_A01,patch-seq-L6 IT Car3
P8S4_180516_358_A01,patch-seq-L6 IT
PAS4_190722_451_A01,patch-seq-L6 CT
PAS4_190819_452_A01,patch-seq-L5 ET
PBS4_180502_508_A01,patch-seq-L2/3 IT
P1S4_190909_001_A01,patch-seq-L6 CT
PFS4_191028_705_A01,patch-seq-L5 ET
P9S4_171031_403_A01,patch-seq-L5 ET
P8S4_170926_356_A01,patch-seq-L4 & L5 IT
PES4_190715_652_A01,patch-seq-L5 ET
PFS4_190903_701_A01,patch-seq-L6 CT
PFS4_190604_701_A01,patch-seq-L5 ET
P1S4_200228_001_A01,patch-seq-L6b
PFS4_191203_701_A01,patch-seq-L5 ET
PES4_200708_651_A01,patch-seq-L6b
PAS4_191125_458_A01,patch-seq-L6 IT
PFS4_190711_705_A01,patch-seq-L6 CT
P1S4_190926_001_A01,patch-seq-L4 & L5 IT
P8S4_190411_352_A01,patch-seq-L4 & L5 IT
P8S4_200114_352_A01,patch-seq-L6 IT Car3
PBS4_171031_503_A01,patch-seq-L5 ET
P8S4_171211_357_A01,patch-seq-L5 ET
PFS4_191122_702_A01,patch-seq-L5 ET
P2S4_180821_052_A01,patch-seq-L2/3 IT
P8S4_180406_356_A01,patch-seq-L4 & L5 IT
PFS4_190214_704_A01,patch-seq-L5 ET
P8S4_191122_352_A01,patch-seq-L6b
PFS4_191118_703_A01,patch-seq-L6 CT
P8S4_190927_351_A01,patch-seq-L5 ET
