,met_type
1039273993,L6b
823218199,L5 ET-3
893366298,L6 IT-1
922742835,L6 IT-2
992219189,L4/L5 IT
763994181,L6 IT-2
1010970692,L6b
912289883,L2/3 IT
899711102,L4/L5 IT
642777215,L4 IT
646836355,L6 IT-3
1036259470,L6b
965591192,L6 IT-3
914432180,L6b
764477652,L4/L5 IT
908894436,L6 CT-1
989163765,L5 ET-1 Chrna6
640106757,L4 IT
970080520,L5 NP
1010692386,L6b
853618984,L6 CT-1
990548306,L6 IT-2
853692765,L6 CT-2
950034792,L2/3 IT
908669318,L5 ET-3
998064533,L5 ET-3
893354404,L6b
819950000,L4/L5 IT
919699890,L2/3 IT
699818438,L6 CT-1
973832650,L5/L6 IT Car3
841871826,L4/L5 IT
969200089,L6 IT-1
962105846,L6 IT-2
1036186120,L6b
965771797,L6 CT-2
962261526,L2/3 IT
961114647,L5 NP
645354028,L4/L5 IT
914354735,L5 ET-3
841888315,L5 ET-2
645530172,L4 IT
947139142,L6 IT-1
681931335,L5 IT-1
921637459,L6 IT-2
927797864,L6 CT-1
698675821,L5 NP
1000612469,L5/L6 IT Car3
896053888,L6 IT-2
903864968,L6 CT-1
681636493,L5 ET-3
739840659,L2/3 IT
847876759,L2/3 IT
644821657,L5 ET-3
845402780,L5 ET-2
863515305,L6 CT-2
893371082,L6 CT-1
989479628,L5/L6 IT Car3
716309237,L6 CT-2
954032889,L2/3 IT
902255361,L5 IT-1
863478540,L6 CT-2
904725260,L6 CT-1
986895113,L6b
681419547,L5 IT-1
984056604,L6b
820060969,L6 IT-1
639910703,L4 IT
990229295,L5 ET-3
833872706,L5 ET-2
823083861,L5 ET-3
896619350,L6 IT-1
947344218,L2/3 IT
851542876,L6 CT-1
681939807,L4/L5 IT
902140767,L6 CT-1
646177634,L5 NP
705839974,L2/3 IT
901440363,L5 ET-3
837673842,L6 IT-2
1035989877,L6b
910287738,L6 CT-1
698676093,L5 NP
827638657,L5 ET-1 Chrna6
925242241,L2/3 IT
612410245,L4/L5 IT
948302732,L5 ET-2
963019667,L2/3 IT
650331035,L6b
603902877,L4/L5 IT
681554845,L4/L5 IT
740410280,L6 IT-3
863404974,L6 CT-1
829305793,L5 ET-1 Chrna6
948126701,L4 IT
990213121,L5 ET-3
1000625161,L5/L6 IT Car3
698700813,L6 IT-2
910287886,L6 CT-2
941552661,L6 CT-1
880772136,L5 ET-3
652960852,L5 ET-3
740373591,L2/3 IT
989369441,L6b
889271408,L2/3 IT
947496055,L2/3 IT
695440507,L5 ET-3
983975050,L6b
948429967,L4 IT
990606480,L6 IT-2
644818070,L5 IT-1
902284440,L6 CT-1
673387671,L5 IT-1
698668188,L5 NP
864068767,L6 CT-1
901424290,L4/L5 IT
970683578,L6 IT-2
792687812,L4 IT
680973517,L4 IT
914412754,L2/3 IT
959190247,L5 NP
643798256,L4 IT
863483123,L6b
948360440,L5 ET-2
973792505,L5/L6 IT Car3
603337985,L4 IT
640111874,L4 IT
904832267,L2/3 IT
961238285,L5 NP
945796367,L5 ET-3
612402470,L4/L5 IT
992408868,L5 IT-1
989164849,L5/L6 IT Car3
916620597,L5 ET-3
952669499,L2/3 IT
961238333,L5 IT-3 Pld5
736499017,L6 IT-2
887207252,L4/L5 IT
912868696,L2/3 IT
914265453,L6b
717313398,L4 IT
644953476,L6 CT-1
645834123,L5 IT-2
913716620,L5 ET-1 Chrna6
603481505,L5 ET-3
992441763,L6 IT-2
695424422,L5 ET-2
919979431,L6 IT-2
716596648,L4/L5 IT
916473265,L5 ET-3
1034933680,L6b
642999751,L5 ET-2
950265290,L5 ET-1 Chrna6
919102928,L2/3 IT
913765840,L5 IT-2
961226203,L5 NP
851580386,L6 CT-1
697525735,L6 IT-2
922613228,L2/3 IT
917624301,L6 IT-2
945063428,L5 ET-3
1043809804,L6b
702023186,L5 ET-1 Chrna6
982582806,L6b
863450651,L6 CT-1
645453340,L4/L5 IT
954066469,L2/3 IT
645379626,L5 NP
1010677295,L6b
