specimen_id,sweep_number,baseline_v,final_v,delta_v,t_10pct,t_90pct,risetime_10pct_90pct
989409283,17,-63.0527,-43.39428,19.65842,0.60074,0.73068,0.12993999999999994
919109645,27,-85.84585,-55.090405,30.755444,0.60254,0.70326,0.10072000000000003
893603853,17,-74.84715,-50.579224,24.26793,0.60242,0.71968,0.11726000000000003
972447764,17,-80.5754,-55.514694,25.060707,0.60248,0.71456,0.11207999999999996
972537876,23,-65.9156,-46.296673,19.61893,0.60328,0.70616,0.10287999999999997
893366298,13,-70.93189,-49.30729,21.624603,0.60332,0.73174,0.12841999999999998
895557666,16,-62.992676,-40.613194,22.379482,0.60188,0.67708,0.07520000000000004
742940722,14,-69.68641,-49.704205,19.982204,0.60142,0.72038,0.11896000000000007
922742835,52,-73.06501,-37.512756,35.552254,0.60176,0.67198,0.07022000000000006
964894772,16,-77.29315,-51.128094,26.165058,0.60238,0.73304,0.13066
763994181,22,-80.16028,-49.47951,30.680767,0.60316,0.72696,0.12380000000000002
896897092,17,-74.88964,-50.575,24.31464,0.60142,0.71766,0.11624000000000001
972419157,37,-83.83501,-60.67441,23.160595,0.60268,0.67322,0.07054000000000005
636784746,52,-73.17881,-50.077236,23.101574,1.02222,1.0745,0.052280000000000104
646836355,11,-74.90167,-58.321564,16.580109,1.02134,1.07824,0.05690000000000017
740290698,13,-70.09304,-49.6648,20.428242,0.60238,0.70316,0.10077999999999998
965591192,15,-77.499626,-55.317963,22.181664,0.60164,0.67022,0.06858000000000009
990347572,18,-73.7213,-44.307735,29.413563,0.60242,0.68952,0.08710000000000007
853868880,18,-70.5931,-50.822735,19.770367,0.60268,0.74654,0.14386
921710929,17,-80.82995,-55.401073,25.428875,0.60292,0.69052,0.08760000000000001
990548306,16,-75.7163,-51.522,24.194302,0.60164,0.6978,0.09616000000000002
972443999,19,-62.3327,-49.103043,13.229656,0.60216,0.73808,0.13591999999999993
907465109,19,-75.5646,-57.50382,18.06078,0.60188,0.695,0.09311999999999998
973832650,20,-76.460526,-45.409176,31.05135,0.6018,0.66808,0.06628
882733530,17,-83.4139,-54.195683,29.21822,0.60218,0.68326,0.08107999999999993
969200089,14,-72.41355,-54.235287,18.178265,0.60208,0.67034,0.0682600000000001
916627946,17,-76.044235,-53.0583,22.985935,0.60218,0.6969,0.09471999999999992
742019567,12,-63.316963,-50.731815,12.585148,0.60126,0.69262,0.09136
912085494,21,-73.995476,-49.025368,24.970108,0.60172,0.69792,0.09619999999999995
962105846,16,-76.7068,-49.832275,26.874527,0.60218,0.68694,0.08475999999999995
867742255,17,-72.2704,-40.813793,31.456608,0.60078,0.6315,0.03071999999999997
947139142,24,-78.8875,-52.42955,26.457947,0.60272,0.70242,0.09970000000000001
921637459,16,-78.54133,-55.54115,23.00018,0.60264,0.73034,0.12770000000000004
1000612469,15,-70.142235,-49.803326,20.33891,0.6023,0.68136,0.07906000000000002
898929277,16,-76.09328,-50.291286,25.80199,0.60124,0.66408,0.06284000000000001
896053888,16,-74.02316,-50.26867,23.754494,0.60138,0.6616,0.06021999999999994
880784016,17,-67.277,-45.013783,22.263218,0.60188,0.6923,0.09042000000000006
912896677,14,-73.48105,-53.786636,19.694412,0.60232,0.71462,0.11230000000000007
966873774,18,-76.411385,-54.084373,22.327011,0.60172,0.69994,0.09821999999999997
989479628,16,-79.475525,-43.415813,36.05971,0.60128,0.62894,0.027660000000000018
973771485,22,-81.10275,-46.289246,34.813507,0.60316,0.67686,0.07369999999999999
906568427,18,-79.77665,-52.975395,26.801254,0.60202,0.70882,0.1068
820060969,15,-75.44647,-54.7642,20.682274,0.60136,0.668,0.06664000000000003
639996724,9,-60.663464,-53.53622,7.127243,1.02034,1.08678,0.06644000000000005
900985661,27,-70.56601,-53.413113,17.152897,0.6033,0.75886,0.15556000000000003
636851021,38,-69.645706,-53.03328,16.612427,1.02296,1.16858,0.14561999999999986
896619350,13,-70.04012,-52.39924,17.640884,0.60186,0.71232,0.11046
966849374,23,-66.82306,-46.36931,20.45375,0.6049,0.77476,0.16986
1054139238,28,-76.94557,-45.972305,30.973267,0.60252,0.695605,0.09308500000000008
837673842,17,-71.43717,-53.62588,17.81129,0.60324,0.72716,0.12392000000000003
882275192,49,-74.10763,-44.93645,29.171177,0.60166,0.68866,0.08700000000000008
740410280,14,-77.984566,-57.77286,20.211704,0.60238,0.69604,0.09365999999999997
644920260,11,-74.41747,-58.572224,15.845249,1.02122,1.17818,0.15696
965542873,17,-64.27495,-44.343388,19.93156,0.60384,0.87876,0.27491999999999994
882770947,17,-74.05,-52.869038,21.180965,0.60126,0.65798,0.05671999999999999
1000625161,22,-83.0184,-54.26948,28.74892,0.60286,0.67478,0.0719200000000001
963322913,14,-74.972046,-52.914574,22.057472,0.6027,0.71024,0.10753999999999997
990331949,15,-71.1934,-55.794937,15.39846,0.60232,0.69358,0.09126000000000001
907191349,17,-68.886566,-42.384617,26.50195,0.60304,0.83968,0.23663999999999996
648115263,12,-63.162632,-46.025314,17.137318,1.02272,1.10388,0.0811599999999999
1000125506,44,-80.2275,-46.18625,34.041252,0.60198,0.64182,0.03983999999999999
972461174,19,-53.329063,-40.702282,12.626781,0.6011,0.65888,0.057780000000000054
990606480,35,-74.20685,-49.448055,24.758793,0.60104,0.6675,0.06645999999999996
970683578,31,-76.37831,-51.0794,25.298912,0.60212,0.7435,0.14138000000000006
