"","facs.L2.3.IT_patch.seq.L2.3.IT","facs.L4...L5.IT_patch.seq.L4...L5.IT","facs.L5.ET_patch.seq.L5.ET","facs.L5.NP_patch.seq.L5.NP","facs.L6.CT_patch.seq.L6.CT","facs.L6.IT_patch.seq.L6.IT","facs.L6.IT.Car3_patch.seq.L6.IT.Car3","facs.L6b_patch.seq.L6b"
"Cited2",1.08765227451826,2.27734960935842,1.15804876164608,3.48946813820822,1.86019253568631,1.59134973637298,1.02990697021233,1.95669160474334
"Crem",1.94370437398865,3.03627765766986,2.74741119705325,2.77336022264264,3.48157080099723,2.88096974969569,2.41675781801357,2.71240920101584
"Dnajb1",1.26596685567974,1.32906906885569,1.41532405954695,1.75479980804983,1.52993725197138,1.57508007030871,0.688436347476379,2.34103484393703
"Dusp14",1.62624432384447,2.37330658948704,2.2637962856367,2.59005175641786,2.21210545207995,1.95083018009169,1.9677685057693,2.34430193680139
"Fmnl1",1.20705241692087,1.70055141715167,1.35258129808078,1.76829455406796,1.1492905543334,1.42079434213046,1.1125757389171,1.0927779701602
"Hsd17b12",2.47974399122464,2.51388284064298,2.41133728812861,2.74569085482776,2.72497294591529,2.43125533155825,2.9384343305386,2.70824027636571
"Hsph1",1.54972460162596,2.00461977461715,1.97001471893752,1.66662061072339,1.97313648848224,1.80302481771456,2.04350365817567,2.61833580531421
"Nefl",1.53228349951052,1.77351661595827,2.16661863217267,-0.354081533570075,2.10948861307827,2.06447156622839,1.816317199189,1.90608435682552
"Nhp2l1",2.27635379334446,2.88667970126423,3.22058948643874,3.78495460089712,3.03606369629441,3.27374109528058,3.66277917931248,3.13036827535716
"Nrn1",2.39103701654718,2.57018536322718,3.10800238651124,2.68613559782017,2.83680202538136,3.16841928301583,3.02155021023798,1.82405951361905
"Rheb",2.18178168829788,2.60187567365594,2.49837121788276,2.45078563614742,2.46752267179144,2.44558722858543,2.33673873812699,2.63002861258574
"Snhg3",1.46717430293276,1.97323017783002,1.86442793495805,1.49967974228891,1.58249306545266,2.54650138554737,1.38625861757456,1.5474696188679
"Tpt1",1.63688151377412,2.24117858706612,2.32798489785998,2.72869684841549,2.21934603898828,2.34799734121431,2.52837519701805,2.42330331707501
"Tsnax",1.76967630093464,2.27285742958014,2.88863636810992,2.35842889319091,2.50454743273717,2.39187819787421,2.56377494960303,3.09743609376527
"Atxn1",-3.77511034665842,-3.19893061764347,-4.2500391935941,-4.58289022248947,-4.29622762199503,-4.60010386599398,-3.82514497909836,-4.11723020094093
"Dot1l",-1.03002051649756,-0.784481899586073,-2.223141397339,-2.09986521105425,-2.21041592936668,-2.31754677271302,-2.09003695735265,-2.4178193840771
"Egr4",-1.61111582937868,-1.06295430170548,-1.05491898834035,-1.16590100830654,-1.93053773336205,-1.89327092361806,-2.55630884846033,-2.74419105273011
"Fos",-4.7106514857199,-1.91581370410424,-2.8865952969465,-3.31089623898764,-2.94483906572034,-4.16564165463608,-6.4542432964527,-4.07615541345158
"Fosb",-2.27517595734088,-0.9387967937112,-2.0707270018522,-1.70646824406559,-2.0430976828286,-1.62371923830675,-2.21082174868236,-2.76526749474102
"Frmd6",-2.94514588729241,-2.09992591219658,-3.41054414653047,-0.999703253545732,-3.44935601783915,-3.39330124977004,-3.93292703546324,-2.58239389497724
"Gadd45g",-3.48094214133671,-2.73661393450471,-3.1114725454752,-1.17090398784193,-2.45158928954332,-2.44712104292488,-3.9901175056707,-2.40675712720945
"Gfod1",-1.99482918145963,-1.46328731855072,-2.57641182498646,-2.41935601688231,-2.22345850158494,-2.5219969815817,-3.16700270716577,-2.58226932506876
"Hivep3",-2.02206475782371,-2.15897140082108,-2.46423142160894,-3.02250722485029,-2.26698769020504,-2.54073601108256,-2.22919581672776,-2.63657551543836
"Npas4",-2.89838441667835,-1.68648180152751,-3.90330995121967,-1.73671999701578,-2.93058798957054,-3.0812066252538,-2.32717642095699,-3.28798403938421
"Ntrk2",-1.48324667938527,-1.35692079279413,-2.15322224291955,-2.74268803167623,-2.13762262848947,-2.0521779368832,-2.05416726999727,-2.23061220042282
"Pde10a",-3.48894949921462,-2.97920657956812,-4.12855450160929,-4.6128126496316,-4.41488917574577,-4.24603750946093,-4.60015529334038,-5.05375468839175
"Per1",-1.71539368079303,-0.561454020167538,-1.32783592564284,-1.63147734918948,-1.95545905080982,-2.21841669028808,-2.18056802115687,-1.78092868401201
"Stk40",-3.19367916357096,-2.10664352245017,-2.84826003946804,-3.7171972019451,-3.22646198195365,-3.22288343604289,-2.63572654687911,-3.59591744504741
