,slab_0,slab_1,slap_2,swc_path
0,433.4661801524721,901.8619316771927,101.11211518535951,182709_6984-X2452-Y12423_reg.swc
1,339.95808608546247,929.8380139145374,109.36688719443148,182709_7126-X2913-Y10535_reg.swc
2,398.0,729.0,192.8723475604856,182724_5937-X3804-Y11955_reg.swc
3,344.0,765.0,192.87234835861534,182724_6175-X3782-Y10859_reg.swc
4,191.0,802.0,193.21823101547912,182724_6354-X4834-Y8105_reg.swc
5,421.7579770501561,762.0936677600832,115.92452395694531,182724_6360-X3448-Y12540_reg.swc
6,327.0,773.0,189.8531781206173,182724_6361-X3802-Y10603_reg.swc
7,395.2541665989267,769.1283962774794,113.61760973659385,182724_6391-X3524-Y11978_reg.swc
8,338.10169579097845,776.357834129728,110.54020464898132,182724_6396-X3762-Y10790_reg.swc
9,386.63859518421197,778.9126729238232,111.70031553242386,182724_6450-X3505-Y11792_reg.swc
10,411.58496043736324,744.6564736249088,129.73182524392132,182724_6457-X3810-Y19182_reg.swc
11,341.0,767.0,194.65424881333342,182724_6644-X4183-Y20666_reg.swc
12,334.74886064632415,816.8434258062363,102.19338230787744,182724_6690-X3748-Y10610_reg.swc
13,210.60825607391075,929.8355730684798,97.64973704107706,182724_7371-X5043-Y7827_reg.swc
14,202.4340066791508,906.3727966604247,131.9492642980078,182724_7600-X5645-Y23085_reg.swc
15,205.337102220473,972.2837733346453,111.85370942753377,182724_8055-X5917-Y23103_reg.swc
16,252.73295155054848,988.8071410850874,112.71705998389716,182724_8100-X5413-Y22190_reg.swc
17,390.20192701944484,1008.6658945680568,114.16072811996894,182724_8150-X4450-Y19864_reg.swc
18,165.486971074522,877.6126933448878,116.31778061434976,182725_7341-X4593-Y22594_reg.swc
19,381.0040944552977,951.3188915852671,89.16209358412863,182725_7649-X3440-Y17884_reg.swc
20,431.7451407554649,969.0512770709025,110.66270992495517,182725_7657-X3644-Y17105_reg.swc
21,247.32357677729755,1032.6238696681073,108.85686794165694,182725_7677-X7858-Y6794_reg.swc
22,402.8633403178305,769.7878677405383,117.14896301333889,18469_5853-X6133-Y22657_reg.swc
23,414.2913035683145,778.129924578916,118.35887530821871,18469_5924-X6028-Y22963_reg.swc
24,333.05507189806815,816.1710840226515,122.53218483357759,18469_6185-X6027-Y36689_reg.swc
25,210.2170453648947,873.2842545759357,115.85163145783017,18469_6590-X7059-Y41111_reg.swc
26,369.4715747877979,896.3755671818823,110.02222507022744,18469_6673-X5500-Y35752_reg.swc
27,284.85338518523054,901.1335772684923,113.81231766449397,18469_6680-X6305-Y38542_reg.swc
28,321.00025019120704,908.246811308384,101.15421775017965,18469_6767-X5786-Y37391_reg.swc
29,191.2744223480994,907.3426299805448,117.961412617743,18469_6822-X8235-Y15661_reg.swc
30,429.08161090351774,954.2128980091768,127.23257122623892,18469_6907-X5348-Y34515_reg.swc
31,435.22263815271316,949.0021864853387,122.48212051402739,18469_6933-X5678-Y23165_reg.swc
32,410.5671302553322,968.9306779900351,121.24190350890815,18469_7024-X5427-Y35160_reg.swc
