"","x"
"316","Etv3l"
"317","LOC105245174"
"318","Oasl2"
"319","Tlr7"
"320","Pea15a"
"321","Col10a1"
"322","Cpne4"
"323","Urah"
"324","Mc4r"
"325","LOC105243468"
"326","Trp53i11"
"327","Gk2"
"328","Serpinb5"
"329","LOC105246440"
"330","Camk4"
"331","Brinp1"
"332","Lpl"
"333","LOC105244115"
"334","Trpc3"
"335","Prkcg"
"336","Dgkb"
"337","LOC105244552"
"338","Prkcb"
"339","LOC105246510"
"340","Slfn2"
"341","Igfn1"
"342","Edar"
"343","Slc17a6"
"344","Rheb"
"345","Agmo"
"346","Wfs1"
"347","B2m"
"348","Gdpd2"
"349","Megf10"
"350","LOC102641078"
"351","Olfr56"
"352","Epha4"
"353","LOC105244707"
"354","Krt16"
"355","Calcrl"
"356","Rlbp1"
"357","Apobec3"
"358","Mylk4"
"359","Dusp14"
"360","LOC105246450"
"361","Cplx1"
"362","Ptx3"
"363","LOC105245313"
"364","Spag11b"
"365","Ldlrap1"
"366","Klhl30"
"367","Chrm2"
"368","Gpr158"
"369","LOC105243499"
"370","Lcp1"
"371","Spock3"
"372","AI593442"
"373","Apoe"
"374","Tpbg"
"375","Chrnb4"
"376","Klk7"
"377","Rgs2"
"378","Garnl3"
"379","Scg3"
"380","Thsd7a"
"381","Plekhb1"
"382","C330002G04Rik"
"383","Fmr1nb"
"384","Gpr152"
"385","LOC105247131"
"386","Prss23"
"387","Cacna2d3"
"388","Fam19a2"
"389","Dmkn"
"390","Itih3"
"391","LOC105242387"
"392","Plekhg6"
"393","Chrng"
"394","B3galt2"
"395","Cpne9"
"396","Tmem145"
"397","Cdh19"
"398","LOC105244139"
"399","Pcp4l1"
"400","Ppp3ca"
"401","Nov"
"402","Prokr2"
"403","Efhd1"
"404","BC030870"
"405","Nlrp1a"
"406","LOC105243327"
"407","Chrna5"
"408","BC028528"
"409","Gstt3"
"410","Lingo1"
"411","Gad1-ps"
"412","P2ry1"
"413","Hpcal4"
"414","Ptprd"
"415","Stxbp6"
"416","Car12"
"417","Tnc"
"418","Rnd3"
"419","Cd302"
"420","T"
"421","LOC105245727"
"422","Duoxa2"
"423","C230024C17Rik"
"424","Egr3"
"425","LOC105244111"
"426","C030013G03Rik"
"427","Cd52"
"428","Alpk3"
"429","Satb1"
"430","Ucp3"
"431","LOC105242987"
"432","Patl2"
"433","LOC105243647"
"434","Kcnab1"
"435","Csf1r"
"436","Tbx15"
"437","Ak7"
"438","Btbd3"
"439","Tspo2"
"440","Rgs9bp"
"441","LOC105244416"
"442","Cd9"
"443","Cox6a2"
"444","Dlk1"
"445","Gadd45g"
"446","LOC105245746"
"447","Pdlim1"
"448","Gtdc1"
"449","Rapgef3"
"450","Lama3"
"451","Pdk4"
"452","Fxyd6"
"453","Spef2"
"454","LOC105246353"
"455","Slc7a3"
"456","Scnn1g"
"457","Sis"
"458","LOC105246593"
"459","LOC102642066"
"460","LOC105243389"
"461","A730067D02Rik"
"462","Egr2"
"463","Gpx3"
"464","Olfm1"
"465","Camk2d"
"466","Slc5a5"
"467","Gypc"
"468","Asb12"
"469","Chst3"
"470","Gimap8"
"471","Musk"
"472","Tcaf3"
"473","Cyp39a1"
"474","Rasgrp3"
"475","Slc5a8"
"476","LOC105242652"
"477","Mdh1"
"478","Pctp"
"479","Cd163l1"
"480","Neurod6"
"481","LOC105246402"
"482","Col11a1"
"483","Gpr98"
"484","Teddm3"
"485","B020018J22Rik"
"486","Sez6"
"487","LOC105243541"
"488","Mael"
"489","Spon1"
"490","Reln"
"491","Grin3a"
"492","Irgm2"
"493","Thrsp"
"494","Inpp4b"
"495","Nxph4"
"496","LOC105242942"
"497","Il11ra1"
"498","Ppp1r1a"
"499","LOC102637775"
"500","Etnppl"
"501","Serpinb6c"
"502","Ifitm1"
"503","Cdkn2a"
"504","Adam33"
"505","Adamtsl3"
"506","Cnga3"
"507","Rdh18-ps"
"508","Zdhhc19"
"509","Ccdc136"
"510","Otx1"
"511","Olig1"
"512","Frem3"
"513","Pld1"
"514","Avpr1a"
"515","Gbx1"
"516","Mat1a"
"517","Pbld1"
"518","Cyba"
"519","Scml1"
"520","Lgsn"
"521","LOC105246225"
"522","LOC105246370"
"523","Col4a4"
"524","Msmo1"
"525","Cnih3"
"526","Tmem91"
"527","Ndrg1"
"528","Col12a1"
"529","LOC102633054"
"530","9430024E24Rik"
"531","Abcc9"
"532","LOC105246694"
"533","Pitpnc1"
"534","Shisa3"
"535","Tspan6"
"536","Cldn1"
"537","Aim1"
"538","LOC105242666"
"539","Hpca"
"540","Diras2"
"541","Tesc"
"542","Meis2"
"543","Tiparp"
"544","Fbln7"
"545","Kank4os"
"546","Ddah1"
"547","LOC105246339"
"548","5031426D15Rik"
"549","LOC105244677"
"550","Gldc"
"551","Nudt4"
"552","Ramp3"
"553","S100b"
"554","LOC102641467"
"555","Sema3e"
"556","Trim21"
"557","Dennd2c"
"558","LOC102638085"
"559","LOC105246859"
"560","Pdgfra"
"561","Ndrg2"
"562","LOC105245230"
"563","LOC105245988"
"564","Gsta2"
"565","Ripply3"
"566","Snx33"
"567","Qpct"
"568","Cldn16"
"569","Glra2"
"570","Arhgap33os"
"571","Plk5"
"572","Lsp1"
"573","LOC100534391"
"574","LOC102638255"
"575","Btn2a2"
"576","LOC105246926"
"577","Cntn6"
"578","LOC105245013"
"579","F420015M19Rik"
"580","Resp18"
"581","Cdh9"
"582","Serpinb9"
"583","Acvrl1"
"584","Bmp5"
"585","Psg17"
"586","LOC105245789"
"587","Srms"
"588","Foxn1"
"589","LOC105245459"
"590","Pls3"
"591","Pcdhb7"
"592","Tdo2"
"593","LOC105245319"
"594","Npas4"
"595","Als2cl"
"596","Cxcl12"
