specimen_id,local_and_complete_axon_and_dendrite_umap_embedding_1,local_and_complete_axon_and_dendrite_umap_embedding_2,local_and_complete_axon_only_umap_embedding_1,local_and_complete_axon_only_umap_embedding_2,local_axon_only_umap_embedding_1,local_axon_only_umap_embedding_2
182709_6984-X2452-Y12423_reg.swc,6.225993,4.315864,7.1996403,12.83544,4.177772,7.6474032
182709_7126-X2913-Y10535_reg.swc,6.8415895,4.7041664,9.121102,13.342655,1.7494484,9.817673
182724_5937-X3804-Y11955_reg.swc,6.8749437,7.7283697,6.31233,13.250814,1.0272166,7.2475348
182724_6175-X3782-Y10859_reg.swc,6.7871356,7.779557,6.692055,13.701457,0.9742449,7.7400866
182724_6354-X4834-Y8105_reg.swc,6.833336,7.870117,6.163969,13.281789,0.80404955,7.514512
182724_6360-X3448-Y12540_reg.swc,6.0469847,6.8297415,7.657979,13.285106,1.6467814,8.950989
182724_6361-X3802-Y10603_reg.swc,5.431141,6.5032516,10.291971,13.109106,0.375726,11.884871
182724_6391-X3524-Y11978_reg.swc,6.252193,6.6594543,8.0481825,13.476971,1.6677362,9.417088
182724_6396-X3762-Y10790_reg.swc,4.8248177,5.9327703,11.101179,13.007584,0.37096742,12.729518
182724_6450-X3505-Y11792_reg.swc,6.167639,6.729149,7.32633,13.410206,0.6710805,9.283216
182724_6457-X3810-Y19182_reg.swc,6.5771146,7.485419,6.6186576,13.805793,0.944939,7.658907
182724_6644-X4183-Y20666_reg.swc,6.57212,7.355613,7.3603654,13.697771,0.12688959,9.460094
182724_6690-X3748-Y10610_reg.swc,4.9959326,5.904179,10.596443,13.209676,0.41027674,12.102558
182724_7371-X5043-Y7827_reg.swc,4.733353,5.8116174,11.347146,12.87399,0.14886642,13.103203
182724_7600-X5645-Y23085_reg.swc,7.1686378,6.4092045,7.7817893,12.658786,1.7000036,7.4579744
182724_8055-X5917-Y23103_reg.swc,6.5923314,5.6160026,8.298667,13.179365,1.6669937,8.762768
182724_8100-X5413-Y22190_reg.swc,6.731737,5.980062,8.257796,13.37469,1.1287748,8.565034
182724_8150-X4450-Y19864_reg.swc,5.8034987,5.1545973,9.951468,13.951943,1.2137561,11.007639
182725_7341-X4593-Y22594_reg.swc,6.2866073,7.044862,8.021072,13.343326,1.7703161,8.922541
182725_7649-X3440-Y17884_reg.swc,6.3184233,4.6127834,9.080359,13.975094,1.2946118,10.36161
182725_7657-X3644-Y17105_reg.swc,6.1360908,4.709717,9.2057495,14.40422,1.7793572,10.648406
182725_7677-X7858-Y6794_reg.swc,6.3541803,5.3515935,8.429999,14.221976,0.26490963,9.36874
18469_5853-X6133-Y22657_reg.swc,6.1168413,7.0315733,7.0802355,13.762789,1.2418041,9.246632
18469_5924-X6028-Y22963_reg.swc,6.2597346,6.5570545,7.7355037,14.325244,0.15640116,9.904383
18469_6185-X6027-Y36689_reg.swc,6.258961,7.6494718,6.5700336,13.960779,1.1605343,7.5953016
18469_6590-X7059-Y41111_reg.swc,5.198501,6.3739223,10.841127,12.659983,0.19013715,12.590187
18469_6673-X5500-Y35752_reg.swc,6.876182,4.9413953,8.947653,13.218262,1.7266343,8.903893
18469_6680-X6305-Y38542_reg.swc,6.992193,6.101901,8.190158,12.554256,1.6005614,7.95834
18469_6767-X5786-Y37391_reg.swc,6.1621585,6.180567,8.164454,12.74846,1.8025272,7.98882
18469_6822-X8235-Y15661_reg.swc,5.8587794,6.1950574,9.232046,13.778753,1.4238497,9.845432
18469_6907-X5348-Y34515_reg.swc,6.6104608,4.787115,8.725517,13.521589,2.2320116,10.1033535
18469_6933-X5678-Y23165_reg.swc,6.3637047,4.8426576,9.420665,14.311407,1.8202952,10.615914
18469_7024-X5427-Y35160_reg.swc,5.4383783,5.530261,10.671519,13.485524,0.5264248,12.311961
18469_7048-X7499-Y17640_reg.swc,6.833961,5.2159715,8.216793,12.623988,1.7844633,7.8748255
18469_7279-X7753-Y17170_reg.swc,4.8940406,5.7469254,11.158145,13.105638,0.24879973,12.850092
18868_6019-X9541-Y5296_reg.swc,4.8657126,6.607653,10.822475,12.868322,0.45332927,12.735858
18868_6405-X11428-Y4397_reg.swc,6.147213,7.451225,6.9029455,13.973322,0.5389259,7.76615
191807_6402-X3434-Y19231_reg.swc,6.2953076,7.5221844,6.8200297,13.496695,0.5378189,9.220267
191807_6423-X3900-Y9358_reg.swc,6.7856236,7.863011,6.284562,13.26924,0.39161283,11.677841
191807_6489-X5135-Y23408_reg.swc,6.815457,7.6131215,6.5697875,13.620836,0.9672766,7.3959193
191807_6504-X3953-Y21204_reg.swc,6.5379715,6.7990646,7.6612883,13.743243,0.29999834,9.811739
191807_6625-X5034-Y23319_reg.swc,6.95859,7.441669,7.9960265,13.758795,1.6595554,9.637973
191807_6718-X5217-Y7243_reg.swc,6.852506,7.3636928,7.1797743,13.975705,0.8660854,9.395425
191807_6735-X4456-Y21792_reg.swc,6.5602736,6.8623176,7.6731706,13.205751,0.8764451,7.27098
191807_6796-X5727-Y6613_reg.swc,7.201093,6.683172,8.102406,12.580905,1.6768999,7.98047
191807_6822-X4235-Y21316_reg.swc,5.216552,6.402794,10.639979,12.974144,0.45698607,12.634308
191807_6909-X3717-Y18949_reg.swc,6.0284257,7.5291915,6.534945,14.044109,1.5375016,7.945174
191807_6912-X3878-Y19387_reg.swc,6.7541823,6.839242,7.801705,13.516433,0.34572825,9.142473
191807_6927-X3598-Y18516_reg.swc,6.1690445,6.993194,7.4272375,13.9444065,1.584531,9.307918
191807_7017-X4048-Y11120_reg.swc,6.336805,7.7914066,6.3420777,13.179626,0.57580984,9.016291
191807_7110-X4076-Y20205_reg.swc,6.3138814,7.1560435,7.438567,13.946275,1.4221373,9.219459
191807_7249-X4135-Y19813_reg.swc,7.143485,6.2678957,8.238846,12.560916,1.7010694,7.933174
191807_7281-X4351-Y20216_reg.swc,6.306051,6.404802,8.014695,13.267701,1.773027,8.829005
191807_7289-X4771-Y9549_reg.swc,6.595805,6.610249,8.404033,13.2074175,1.0540596,8.76794
191807_7326-X5555-Y22776_reg.swc,6.0718193,6.288557,8.065912,14.208976,0.050280716,9.617904
191807_7405-X4847-Y21105_reg.swc,5.911268,6.524235,7.8460016,14.070829,0.49069425,9.397876
191807_7439-X5230-Y8737_reg.swc,5.2138343,6.870195,10.264391,12.4902,0.5567491,12.614169
191807_7500-X4057-Y19214_reg.swc,5.8151464,5.43677,9.489094,14.393506,1.3986963,10.642313
191807_7529-X5296-Y9002_reg.swc,5.905863,6.1617913,7.699992,14.367617,0.26492393,9.954951
191807_7712-X5701-Y8560_reg.swc,5.7052264,6.6676164,7.41197,14.262759,0.5651688,10.061021
191807_7779-X4433-Y18625_reg.swc,6.3479924,5.274039,8.599116,14.543535,1.6506914,10.671191
191807_7802-X7356-Y7036_reg.swc,6.6064024,7.22263,7.2688127,14.188753,0.99124503,9.479372
191807_7954-X5660-Y20932_reg.swc,6.842496,5.1620913,8.557852,13.136282,1.4576589,9.095388
191807_7964-X7019-Y7647_reg.swc,6.4439206,5.5248814,8.550492,14.218704,0.38935295,9.4478855
191807_7971-X7500-Y7211_reg.swc,6.817494,6.065956,8.4252405,13.259415,1.3608154,9.375389
191807_7985-X5473-Y10063_reg.swc,6.4298162,4.790777,8.380936,13.483017,1.9587246,9.825806
194069_6614-X3338-Y19996_reg.swc,5.3932853,6.909498,10.395889,12.577931,0.13410343,12.843344
194069_6771-X4023-Y23667_reg.swc,6.9307437,7.7426143,6.5666003,13.2915,1.4295549,7.5190544
194069_7189-X5459-Y8724_reg.swc,6.793676,6.5822935,8.340706,12.697402,1.4207083,8.183571
194069_7216-X3715-Y22464_reg.swc,6.998794,6.700841,7.780719,12.977902,1.1766686,7.2153687
194069_7313-X3495-Y20668_reg.swc,6.6786566,6.6688952,8.866983,13.9178295,0.8273996,9.605581
194069_7382-X3692-Y22255_reg.swc,6.448695,7.1364098,6.770154,13.639924,1.0455613,7.3782773
194069_7408-X5410-Y9170_reg.swc,6.8854556,6.8009114,7.968971,12.950693,1.3722029,7.877538
194069_7541-X6312-Y7823_reg.swc,5.7840986,6.7608714,7.1030273,14.25614,0.7062408,9.795358
194069_7724-X4289-Y23661_reg.swc,6.0412316,6.9890246,6.9330807,14.114381,0.8664098,7.751988
194069_7890-X3746-Y21746_reg.swc,5.7587366,6.1409607,8.969443,14.417197,0.545967,10.474536
194069_7949-X5085-Y10196_reg.swc,5.5580287,5.171803,10.32371,13.751651,1.0514109,11.247346
194069_8027-X4187-Y22761_reg.swc,5.7288995,6.4488096,8.132103,14.418776,0.38279063,10.107887
194069_8063-X5880-Y9133_reg.swc,6.22538,4.841185,7.848468,14.457593,1.1973813,10.299421
194069_8220-X4330-Y22689_reg.swc,4.789387,5.9613695,11.199207,12.886675,0.12824817,13.079244
194069_8231-X4410-Y22897_reg.swc,6.4023547,5.9398274,8.666909,14.073416,0.67645943,10.015804
211541_5773-X16604-Y16219_reg.swc,3.356127,2.243953,7.116212,13.312554,-0.040759586,9.641298
211541_7083-X17997-Y16517_reg.swc,7.058761,6.984998,8.603129,13.550883,0.54019976,9.197074
211541_7381-X7249-Y16155_reg.swc,4.526848,6.0203676,11.397711,12.860521,0.16418642,13.2074
211541_8004-X20499-Y15083_reg.swc,6.2584515,5.431846,8.531368,14.386373,0.45941028,10.108911
211550_6674-X20158-Y16621_reg.swc,5.230305,7.21083,10.304133,12.573672,0.30603024,12.518243
211550_6721-X20655-Y16337_reg.swc,5.2560973,7.1308393,10.371402,12.5237665,0.37079617,12.732906
182709_6204-X2976-Y9977_reg.swc,5.9816732,4.109681,8.403405,12.225446,2.6969874,7.2895756
182709_7144-X3121-Y9346_reg.swc,5.5277166,5.2588162,9.674276,13.726136,1.0262089,10.543257
182709_7463-X3586-Y20695_reg.swc,6.388742,4.596553,9.095173,13.858148,4.1106553,7.6835184
182709_7886-X5075-Y22541_2_reg.swc,5.722854,4.667361,9.196773,13.453571,2.082883,8.646957
182709_7918-X5201-Y22656_reg.swc,5.705233,4.7453227,9.627089,13.8622055,1.3399723,10.956406
182724_6305-X3647-Y18869_reg.swc,6.517402,6.1583214,7.614452,13.106516,0.73258805,8.781394
182724_6704-X3301-Y12214_reg.swc,3.3815372,2.2366812,7.1760755,13.35834,0.8288312,8.807865
182724_7822-X5447-Y22786_reg.swc,6.1509624,5.706646,7.9371243,14.550514,0.7098997,10.252469
182724_7871-X4578-Y21040_reg.swc,6.550834,5.832076,8.482851,13.52937,1.4560162,9.540443
182724_8155-X4575-Y20238_reg.swc,6.064461,5.0452485,9.404408,14.335936,1.6837785,10.692344
182724_8159-X4833-Y21213_reg.swc,6.6115,5.2272444,9.497499,13.849724,1.561287,10.4766245
182724_8257-X5319-Y21978_reg.swc,4.4917912,6.0086904,11.347373,12.905407,0.0885634,13.327024
182724_8281-X5491-Y21925_reg.swc,6.2424374,5.212609,8.269948,14.158712,0.7942047,10.248568
182725_6819-X6109-Y7853_reg.swc,5.9101243,5.9692707,8.061736,13.722401,0.48319092,9.364546
