specimen_id,local_and_complete_axon_and_dendrite_umap_embedding_1,local_and_complete_axon_and_dendrite_umap_embedding_2,local_and_complete_axon_only_umap_embedding_1,local_and_complete_axon_only_umap_embedding_2,local_axon_only_umap_embedding_1,local_axon_only_umap_embedding_2
182725_7482-X7429-Y6760_reg.swc,6.0293255,5.545354,8.373253,13.546566,1.8895029,9.085293
182725_7714-X7032-Y7882_reg.swc,5.925279,5.368992,9.331346,14.193527,1.8053309,10.475002
182725_7762-X3772-Y19585_reg.swc,6.4323826,5.4965067,9.499266,13.940333,1.8731269,10.488049
182725_7988-X4540-Y20706_reg.swc,5.8937664,5.7082376,8.984298,14.019345,0.8738161,10.023916
182725_8028-X4256-Y19926_reg.swc,5.752961,5.291233,9.171704,14.189784,1.4247695,10.414716
18469_5755-X6174-Y22049_reg.swc,6.0903316,7.263098,7.2364955,13.708483,1.5628982,9.056683
18469_6572-X5325-Y34608_reg.swc,6.7674017,4.9367447,9.070078,13.919321,1.8227347,10.047238
18469_7066-X6108-Y38587_reg.swc,6.1622634,5.873884,8.43166,13.839609,1.7385355,10.381733
18469_7376-X7022-Y19051_reg.swc,5.8239303,7.2750545,6.619307,14.159708,0.7977961,7.628941
191807_6488-X3597-Y11254_reg.swc,6.093495,7.8088818,6.5269003,13.3530035,0.8842339,8.741462
191807_6556-X3678-Y10670_reg.swc,6.327737,7.730576,6.5479875,13.317665,0.45819047,9.096905
191807_7423-X4013-Y19283_reg.swc,4.7378187,6.4282045,11.001676,12.7525835,0.42315456,12.963945
191807_7425-X7635-Y24763_reg.swc,6.3837023,6.1230817,8.277562,13.299368,1.0204481,8.833187
191807_7446-X4048-Y18753_reg.swc,6.2461824,4.9075146,8.807498,13.78171,1.7668033,10.319079
191807_7574-X4648-Y20365_reg.swc,5.99899,5.928087,8.942706,13.581032,1.1454061,10.029233
191807_7786-X4425-Y19023_reg.swc,5.7995973,4.716034,9.60121,14.442757,1.6538159,10.836386
191807_7822-X4840-Y19927_reg.swc,5.8625746,4.6946874,9.451851,13.895178,1.6893662,10.617955
191807_8102-X5725-Y9586_reg.swc,5.9703164,4.8934703,9.750976,13.971463,1.2404214,10.94736
191807_8158-X7179-Y9304_reg.swc,5.89701,5.4320126,7.897857,13.891226,1.804268,10.119856
191812_6854-X5676-Y6355_reg.swc,2.7213926,1.0454504,5.6495147,9.962713,4.1974897,4.141239
194069_6480-X4276-Y11858_reg.swc,5.9059787,6.8573375,7.187637,13.422376,1.0843611,9.017588
194069_6665-X4527-Y10686_reg.swc,5.7775006,6.087961,8.101543,14.465626,0.3582853,9.874994
194069_7406-X4443-Y11111_reg.swc,6.8519173,5.924537,8.887161,13.703791,0.9435083,9.297469
194069_7499-X4635-Y10487_reg.swc,6.5534453,4.7985353,9.117942,14.087396,1.6261475,10.2954
194069_7827-X3508-Y20244_reg.swc,3.4389226,-0.17237423,8.097526,12.843548,1.2107829,7.610754
194069_7960-X3680-Y21513_reg.swc,4.5856857,5.946462,11.442198,12.810517,0.09174138,13.149655
194069_8053-X5370-Y24809_reg.swc,5.5887733,6.2697854,10.321,13.146986,0.35603622,11.726858
194069_8151-X5946-Y25268_reg.swc,3.4959643,-0.021961456,7.40891,13.861154,1.8152257,8.89736
211541_7642-X7572-Y16296_reg.swc,5.75936,5.1631756,9.7018585,14.372785,1.4972466,10.897729
211550_6742-X19175-Y17279_reg.swc,5.637995,7.4147997,7.2615113,14.371219,0.46293816,9.96852
211550_7524-X21483-Y15565_reg.swc,6.5431304,4.710795,8.1714525,14.314169,0.119882435,9.799212
211550_7555-X20812-Y16162_reg.swc,4.5515847,6.107006,11.227988,12.941639,0.09243967,13.182887
211550_7718-X19461-Y16950_reg.swc,6.426433,4.4038415,9.153713,13.44368,2.352383,10.032472
211550_7772-X7691-Y18498_reg.swc,4.928249,6.027301,10.710644,12.805509,0.3331058,12.53527
211550_7942-X7116-Y18251_reg.swc,4.63388,5.940468,11.121693,13.002957,0.23631322,13.069216
211796_6490-X17276-Y17066_reg.swc,3.4723597,2.161051,7.075907,13.303438,0.40161347,9.204183
211796_7238-X7037-Y16980_reg.swc,4.9207344,6.2437363,10.960384,12.892204,0.2883166,12.891093
211796_7334-X21168-Y15440_reg.swc,4.961279,6.889357,10.462795,12.581973,0.3805011,12.661588
211796_7385-X18532-Y16902_reg.swc,4.56974,6.138922,11.352766,12.893925,-0.019497104,13.314842
211796_7534-X18739-Y16699_reg.swc,6.3887033,4.526988,9.757959,14.084015,1.2863287,10.939319
220308_6660-X23024-Y15563_reg.swc,3.1902988,1.7091177,5.7639236,10.612844,1.8810121,6.9992905
220308_6702-X23195-Y15415_reg.swc,3.1228666,1.5327408,6.0014553,10.6284895,2.0296996,6.942966
191807_6836-X4405-Y10082_reg.swc,9.766526,-9.085747,8.315309,1.5104656,5.9364953,10.946237
191807_6864-X4028-Y18389_reg.swc,9.494116,-9.987994,7.924021,1.528321,6.011596,11.430288
191807_6920-X5119-Y8302_reg.swc,9.850606,-9.121109,7.650867,1.8497754,5.144034,10.469088
191807_7098-X4655-Y10334_reg.swc,9.6859,-9.291824,7.533036,1.6180264,5.428718,11.424452
191807_7300-X5089-Y9978_reg.swc,9.629429,-9.288266,7.9356947,1.4709498,6.0640426,11.000093
191807_7364-X7270-Y23865_reg.swc,9.611891,-9.771763,8.044139,1.014222,6.42792,11.52889
191807_7399-X8056-Y6157_reg.swc,9.383111,-9.322411,7.900656,1.3231478,6.315561,11.217294
191807_7494-X6168-Y8596_reg.swc,9.870874,-8.9814825,8.15547,1.6948087,5.6961823,10.866245
191807_7508-X7743-Y23907_reg.swc,9.440902,-9.582352,7.452735,1.0095577,6.2496777,11.879236
191807_7525-X6122-Y8722_reg.swc,9.864739,-9.053463,7.931499,1.8457304,5.651648,10.845432
191807_7537-X7637-Y23814_reg.swc,9.605322,-9.672351,8.250108,1.2525425,6.175523,11.150015
191807_7612-X8075-Y6623_reg.swc,9.465779,-10.22437,8.030783,1.0118146,6.331561,11.42049
191807_7779-X6262-Y9318_reg.swc,9.58851,-10.071731,7.8558564,1.4552814,6.274389,11.525392
192348_8164-X3381-Y21012_reg.swc,9.108217,-9.635629,7.7811294,0.8903173,6.4465413,12.146453
194069_7166-X5939-Y8426_reg.swc,9.229315,-9.439372,7.702258,1.1206331,6.542351,11.833619
194083_6175-X4064-Y8142_reg.swc,9.127582,-10.382503,7.314361,0.89513797,6.1087356,12.187226
194083_6690-X3219-Y11189_reg.swc,9.017334,-10.079135,7.5639567,0.81499803,6.414578,12.210986
196476_6791-X3395-Y20868_reg.swc,9.226328,-10.261627,7.481228,0.9447554,6.508407,11.955504
196476_7159-x4408-y23171_reg.swc,9.3655615,-10.0557995,7.3270054,1.1022851,6.0608783,12.081919
196476_7565-x3166-y19635_reg.swc,9.467406,-10.299554,7.475948,1.1683999,6.1537175,11.921681
196476_7607-X3603-Y20075_reg.swc,9.805699,-9.105198,8.106777,1.6150768,5.9025483,11.004708
196476_7824-x4173-y21243_reg.swc,9.648227,-9.194225,8.125792,1.6457207,5.8341265,11.052234
196476_7922-X4174-Y21695_reg.swc,9.189619,-9.495406,7.580392,0.99129987,6.4593134,11.941809
196476_8116-X4425-Y9934_reg.swc,9.407634,-9.961245,7.4181824,1.5389625,5.628105,11.636734
196476_8191-X6571-Y6695_reg.swc,9.179228,-9.855624,7.8609724,1.2332242,6.4456034,11.63969
196476_8380-x4209-y10481_reg.swc,9.051774,-9.755818,7.533214,1.1979352,6.2593355,12.056286
211541_6633-X16017-Y16343_reg.swc,9.180034,-10.159262,8.020299,1.7167782,6.110357,11.410807
220307_7080-X19635-Y21599_reg.swc,9.452288,-10.232312,7.572028,1.2572805,5.9370794,11.694067
220307_7098-X6694-Y19987_reg.swc,9.327241,-10.370735,7.8471103,0.93510747,6.181762,11.70346
220307_7229-X18109-Y21959_reg.swc,9.035042,-9.970034,7.689089,0.78017217,6.751463,12.004803
220307_7919-X20996-Y20456_reg.swc,9.181754,-10.079607,7.5680327,0.7684559,6.61788,11.995756
220307_8198-X20188-Y20372_reg.swc,9.274641,-9.792381,7.5266075,1.0329833,6.222917,12.035281
220308_6054-X20031-Y16355_reg.swc,8.974427,-9.570254,7.45237,0.7317808,6.3826594,12.260248
220308_6492-X9152-Y16947_reg.swc,9.07826,-9.935814,7.7068896,0.7126576,6.7272515,12.016335
220308_7099-X22371-Y15536_reg.swc,9.089893,-9.52874,8.144094,0.9491271,6.6136384,11.761129
220308_7210-X22027-Y15603_reg.swc,9.265262,-9.509902,7.9852724,0.88425815,6.6095386,11.809797
220308_7820-X21073-Y15878_reg.swc,9.5306,-9.576365,7.5413237,1.2989926,6.0487123,11.7929735
220308_7875-X22200-Y14877_reg.swc,9.513604,-10.0433445,7.6140227,0.84594345,6.558659,11.837627
220308_8021-X22273-Y14515_reg.swc,9.414007,-10.118088,7.70754,1.038935,6.4220357,11.910287
17109_6201-X4328-Y6753_reg.swc,1.4970456,-1.5447502,4.129082,9.958902,8.958633,7.2372246
17109_6301-X4756-Y24516_reg.swc,1.3534468,-1.4557936,4.2131224,9.953921,9.065783,7.2222824
17109_6601-X4384-Y7436_reg.swc,1.4126155,-1.2429227,4.6555476,9.89927,8.761397,7.2389965
17109_6601-X5417-Y25287_reg.swc,1.1056001,-1.3446009,4.2436194,10.032375,9.084531,7.1947026
17109_6901-X7203-Y26714_reg.swc,1.3198398,-1.1746248,4.8261943,10.023738,8.783498,7.2372804
17109_7001-X5738-Y6470_reg.swc,1.3637722,-1.3402113,4.766003,9.968475,5.936582,12.122336
17109_7001-X6205-Y5194_reg.swc,1.3558712,-1.29125,4.9790773,9.957582,8.5243435,7.1451874
17300_5969-X27278-Y20820_reg.swc,2.4494936,0.4153259,6.062783,8.954295,3.7392192,8.453335
17543_6014-X3691-Y17288_reg.swc,3.0368826,-0.93214774,4.509909,9.466792,1.1478715,6.9252644
17781_6262-X6896-Y13574_reg.swc,1.442983,-1.5341216,4.2045836,9.975665,8.9305935,7.2051783
17781_6866-X8954-Y41812_reg.swc,1.277635,-1.3376267,4.3405356,9.915815,8.66971,7.3401103
17787_7070-X12739-Y1410_reg.swc,2.6114395,-3.9521737,4.625484,5.016132,3.5651972,3.6214232
182709_6172-X3564-Y6968_reg.swc,2.6868317,-4.355436,4.12014,6.1142097,3.2799685,3.8395255
182709_6592-X3030-Y10077_reg.swc,3.192032,-1.1794347,6.4637866,6.0029807,2.0886922,5.578701
182709_6812-X3137-Y8659_reg.swc,2.706322,-0.28336456,6.144311,8.559045,3.6818895,7.075408
182709_6886-X3406-Y21258_reg.swc,2.6581337,-2.4167454,6.0209756,5.041572,2.646712,4.733492
182709_7010-X2644-Y10852_reg.swc,2.567138,-0.75071627,6.171088,5.1863356,2.8581543,6.3807583
182709_7120-X2261-Y10934_reg.swc,2.309192,-3.9493592,5.1233525,4.7230806,3.328843,3.3863485
182709_7486-X4577-Y22503_reg.swc,5.9452605,4.1573286,8.552801,12.3791895,2.0584912,7.952997
182724_6416-X3689-Y10398_reg.swc,2.6106339,-0.122043885,6.291566,8.47046,3.449674,7.008232
18452_7249-X11408-Y2071_reg.swc,2.4628835,-4.236239,4.57027,4.8216133,3.5383503,2.7066185
18453_5667-X25695-Y3103_reg.swc,2.448057,-3.519487,5.70716,6.859603,2.337654,3.5211635
18453_5701-X28505-Y4297_reg.swc,3.2710803,-3.09327,4.2378902,5.884328,3.9416049,3.5155818
18453_5766-X31719-Y6139_reg.swc,3.1930368,-3.4981952,4.2245746,5.946042,3.5971634,3.8239975
18453_5941-X24629-Y3152_reg.swc,3.162386,-3.1551895,4.6095414,5.645903,3.7064462,3.1531508
18453_5995-X24812-Y3143_reg.swc,3.5242815,-3.3168414,4.699417,6.0983577,3.5075567,4.388966
18453_6035-X24820-Y3039_reg.swc,3.3852065,-3.176421,4.657631,5.378458,3.5451784,3.7127993
18453_6181-X10238-Y3690_reg.swc,2.3165169,-4.4189568,4.373408,5.7505608,3.8737226,3.5006633
18453_6316-X30559-Y4743_reg.swc,2.9261005,-3.5478263,5.11219,4.873434,3.74056,4.0382648
18453_6477-X30376-Y5078_reg.swc,3.0179603,-2.6177275,6.0311284,5.5711365,2.9868488,5.598631
18453_6479-X9010-Y4330_reg.swc,3.1324677,-3.7196379,4.6948323,5.4299955,3.3389604,4.0804486
18453_6537-X8725-Y4484_reg.swc,2.8742852,-3.4229155,4.9886723,5.2573104,3.4016027,4.0284514
18453_6561-X9442-Y3817_reg.swc,3.1182926,-3.7577999,4.1642904,5.809832,3.5986388,3.6240447
18453_6604-X9161-Y4006_reg.swc,2.348118,-4.286343,4.398538,5.6287446,3.8672893,3.0974872
18453_6675-X10576-Y3102_reg.swc,2.3653424,-4.3409567,4.1059012,5.6528544,3.9315362,3.323074
18453_6675-X8876-Y4461_reg.swc,3.2531517,-3.9838812,4.305505,6.0937877,3.3986087,3.1976643
18453_6748-X28152-Y3578_reg.swc,2.6453593,-3.3724642,5.011812,4.5624204,3.4562175,2.6920228
18453_6846-X11548-Y2831_reg.swc,2.5488513,-3.8149633,4.8818903,4.6200156,3.519709,2.6435513
18453_7007-X11486-Y3611_reg.swc,3.1616557,-1.9726566,5.9822245,5.6442294,3.0724552,5.674025
18453_7010-X8769-Y4509_reg.swc,2.8474965,-3.3336682,5.000539,5.4045787,3.155608,3.9586744
18453_7024-X9012-Y4138_reg.swc,2.8285394,-4.119851,4.3372307,5.946377,3.839845,3.2769976
18453_7112-X9089-Y4667_reg.swc,3.0179017,-2.0146236,5.7579856,5.6963205,3.1762547,5.2208605
18453_7132-X11495-Y3152_reg.swc,2.943642,-3.1687598,4.9094644,4.5856934,3.458376,2.6255825
18453_7132-X31679-Y7308_reg.swc,2.916044,-0.04356222,6.117372,8.373325,3.2570286,7.572561
18453_7146-X8788-Y4552_reg.swc,3.2081356,-3.6332543,5.069856,5.1135235,3.7813084,3.9899635
18453_7188-X11060-Y3637_reg.swc,2.7570148,-2.7553635,5.9550676,5.215449,2.511741,4.8991623
18453_7223-X30215-Y5120_reg.swc,3.0536494,-3.947891,4.11833,5.484192,3.4214401,2.676423
18453_7245-X12979-Y2864_reg.swc,3.0282047,-3.092067,5.459548,5.4488163,3.3022468,4.557329
18453_7304-X11719-Y3749_reg.swc,3.1929417,-1.8963825,7.240766,1.0706252,5.900739,11.919959
18461_6043-X11080-Y1667_reg.swc,2.604099,-3.8983412,4.791113,4.7436485,3.8325863,3.0892885
18461_7132-X6338-Y3287_reg.swc,2.966016,-2.098346,6.2029905,5.2723966,2.9750054,5.584827
18469_6120-X7370-Y17612_reg.swc,3.3146505,-1.090775,6.4379025,5.9209285,2.1052573,5.593887
18469_6420-X7388-Y41840_2_reg.swc,4.006426,2.3190966,6.2160172,4.6018715,1.3151151,7.9975977
18864_5637-X5637-Y31619_reg.swc,2.7168617,-4.2376766,4.0104213,5.50724,3.2325144,3.0644262
18864_6139-X4843-Y27122_reg.swc,2.7432785,-2.0688293,5.874378,5.367435,2.6071687,4.963125
18864_6321-X4387-Y7047_reg.swc,2.809836,-4.095712,4.5557957,5.1153355,3.7471693,3.2562613
18864_6345-X3603-Y9891_reg.swc,2.5973315,-3.509374,5.1146245,4.51625,3.4199116,2.9579067
18864_6384-X3409-Y13059_reg.swc,3.0434635,-3.7195039,4.404233,5.1465793,3.4232836,3.0400815
18864_6523-X3601-Y10609_reg.swc,2.670938,-3.1988096,5.490589,4.7311726,3.0934682,3.3728797
18864_6571-X4315-Y24999_reg.swc,2.756111,-2.210324,6.155024,5.201549,2.5762453,5.1703863
18864_6631-X3319-Y22547_reg.swc,2.8262658,-3.9705632,4.424464,5.220572,3.5149376,3.0426059
18864_6672-X3537-Y12829_reg.swc,3.0065875,-3.3679864,4.460354,5.5130763,3.2994385,3.3745348
18864_6734-X4899-Y27447_reg.swc,2.469939,-3.1677794,5.716452,6.8360753,2.3828979,3.4392247
18864_6741-X4187-Y8695_reg.swc,2.6576273,-3.3357706,5.776954,4.8107657,2.6965804,4.4699874
18864_6805-X6340-Y4681_reg.swc,3.1955357,-4.0913324,4.088279,5.8254023,3.5917475,3.0237093
18864_6821-X5144-Y6844_reg.swc,3.056382,-3.0834455,5.2185216,5.201035,3.7522068,4.1161656
18864_7078-X6476-Y5135_reg.swc,2.9864085,-3.6766877,4.980711,5.0628176,3.6913993,4.0673003
18864_7117-X4611-Y9823_reg.swc,2.8498092,-2.1544213,6.2315993,5.3749347,2.463772,5.233625
18864_7516-X6276-Y6366_reg.swc,2.9258275,-3.4490838,4.9100995,4.918662,3.6216068,3.5214705
191812_5915-X3305-Y21307_reg.swc,3.4072442,-4.1576686,4.3195295,6.299501,4.125074,4.0256267
191812_6207-X4040-Y8998_reg.swc,2.9641995,0.553398,5.789692,9.094732,3.9599178,8.637179
