specimen_id,dataset,combined_umap_embedding_1,combined_umap_embedding_2
182709_6984-X2452-Y12423_reg.swc,fMOST,5.909494,7.261756
182709_7126-X2913-Y10535_reg.swc,fMOST,5.589798,7.4221
182724_5937-X3804-Y11955_reg.swc,fMOST,7.4952435,8.63966
182724_6175-X3782-Y10859_reg.swc,fMOST,7.4838705,8.832539
182724_6354-X4834-Y8105_reg.swc,fMOST,7.599408,8.821859
182724_6360-X3448-Y12540_reg.swc,fMOST,5.50895,9.042768
182724_6361-X3802-Y10603_reg.swc,fMOST,5.848211,9.627086
182724_6391-X3524-Y11978_reg.swc,fMOST,5.675816,8.903504
182724_6396-X3762-Y10790_reg.swc,fMOST,5.502779,9.069221
182724_6450-X3505-Y11792_reg.swc,fMOST,5.541131,9.140257
182724_6457-X3810-Y19182_reg.swc,fMOST,6.9245486,8.744206
182724_6644-X4183-Y20666_reg.swc,fMOST,6.90518,8.643668
182724_6690-X3748-Y10610_reg.swc,fMOST,5.9317317,9.384481
182724_7371-X5043-Y7827_reg.swc,fMOST,5.376766,9.350801
182724_7600-X5645-Y23085_reg.swc,fMOST,6.983746,8.309326
182724_8055-X5917-Y23103_reg.swc,fMOST,6.2419314,7.7647758
182724_8100-X5413-Y22190_reg.swc,fMOST,6.059762,7.9979076
182724_8150-X4450-Y19864_reg.swc,fMOST,5.229359,8.491445
182725_7341-X4593-Y22594_reg.swc,fMOST,6.8586206,8.967762
182725_7649-X3440-Y17884_reg.swc,fMOST,5.995793,7.1869774
182725_7657-X3644-Y17105_reg.swc,fMOST,5.969477,7.4116173
182725_7677-X7858-Y6794_reg.swc,fMOST,5.478634,8.044261
18469_5853-X6133-Y22657_reg.swc,fMOST,5.888906,8.945599
18469_5924-X6028-Y22963_reg.swc,fMOST,5.9676805,8.666707
18469_6185-X6027-Y36689_reg.swc,fMOST,6.4216375,9.102208
18469_6590-X7059-Y41111_reg.swc,fMOST,5.2809978,9.058827
18469_6673-X5500-Y35752_reg.swc,fMOST,5.8623543,7.780832
18469_6680-X6305-Y38542_reg.swc,fMOST,6.5611987,7.5230713
18469_6767-X5786-Y37391_reg.swc,fMOST,5.561,9.441699
18469_6822-X8235-Y15661_reg.swc,fMOST,5.5530963,9.520921
18469_6907-X5348-Y34515_reg.swc,fMOST,6.6901956,7.809768
18469_6933-X5678-Y23165_reg.swc,fMOST,6.643829,7.7719326
18469_7024-X5427-Y35160_reg.swc,fMOST,6.7646303,7.910061
18469_7048-X7499-Y17640_reg.swc,fMOST,6.3068767,7.6175213
18469_7279-X7753-Y17170_reg.swc,fMOST,5.0473056,8.83899
18868_6019-X9541-Y5296_reg.swc,fMOST,6.825983,6.616502
18868_6405-X11428-Y4397_reg.swc,fMOST,6.917522,8.794133
191807_6402-X3434-Y19231_reg.swc,fMOST,6.1432495,9.004032
191807_6423-X3900-Y9358_reg.swc,fMOST,7.5609655,8.8450365
191807_6489-X5135-Y23408_reg.swc,fMOST,7.3923655,8.712425
191807_6504-X3953-Y21204_reg.swc,fMOST,6.393703,9.057798
191807_6625-X5034-Y23319_reg.swc,fMOST,7.558955,8.80129
191807_6718-X5217-Y7243_reg.swc,fMOST,7.397324,8.66794
191807_6735-X4456-Y21792_reg.swc,fMOST,5.929146,9.15322
191807_6796-X5727-Y6613_reg.swc,fMOST,7.463223,8.797157
191807_6822-X4235-Y21316_reg.swc,fMOST,5.875648,8.690643
191807_6909-X3717-Y18949_reg.swc,fMOST,5.7570624,8.981973
191807_6912-X3878-Y19387_reg.swc,fMOST,6.3780155,8.644355
191807_6927-X3598-Y18516_reg.swc,fMOST,6.124101,9.217661
191807_7017-X4048-Y11120_reg.swc,fMOST,6.2774425,9.282102
191807_7110-X4076-Y20205_reg.swc,fMOST,6.39528,9.290431
191807_7249-X4135-Y19813_reg.swc,fMOST,6.739341,7.663928
191807_7281-X4351-Y20216_reg.swc,fMOST,5.6105237,8.986342
191807_7289-X4771-Y9549_reg.swc,fMOST,6.292259,9.377919
191807_7326-X5555-Y22776_reg.swc,fMOST,5.2273884,8.7636175
191807_7405-X4847-Y21105_reg.swc,fMOST,5.6000404,8.882611
191807_7439-X5230-Y8737_reg.swc,fMOST,5.5404663,8.725798
191807_7500-X4057-Y19214_reg.swc,fMOST,5.122559,8.76825
191807_7529-X5296-Y9002_reg.swc,fMOST,5.6780214,9.51878
191807_7712-X5701-Y8560_reg.swc,fMOST,5.1690626,9.226033
191807_7779-X4433-Y18625_reg.swc,fMOST,5.5691857,8.560551
191807_7802-X7356-Y7036_reg.swc,fMOST,6.901611,8.859104
191807_7954-X5660-Y20932_reg.swc,fMOST,6.6145678,7.533512
191807_7964-X7019-Y7647_reg.swc,fMOST,6.2649193,7.890238
191807_7971-X7500-Y7211_reg.swc,fMOST,6.182369,8.089082
191807_7985-X5473-Y10063_reg.swc,fMOST,6.3565726,7.2626696
194069_6614-X3338-Y19996_reg.swc,fMOST,5.8266044,9.535004
194069_6771-X4023-Y23667_reg.swc,fMOST,7.610779,8.880233
194069_7189-X5459-Y8724_reg.swc,fMOST,6.2522984,9.235913
194069_7216-X3715-Y22464_reg.swc,fMOST,6.4078364,8.508706
194069_7313-X3495-Y20668_reg.swc,fMOST,6.2062216,9.362097
194069_7382-X3692-Y22255_reg.swc,fMOST,6.1599693,9.282743
194069_7408-X5410-Y9170_reg.swc,fMOST,6.368942,8.894627
194069_7541-X6312-Y7823_reg.swc,fMOST,5.121676,9.014418
194069_7724-X4289-Y23661_reg.swc,fMOST,5.333397,9.209268
194069_7890-X3746-Y21746_reg.swc,fMOST,5.7869954,9.484086
194069_7949-X5085-Y10196_reg.swc,fMOST,6.0560226,7.5546227
