specimen_id,dataset,combined_umap_embedding_1,combined_umap_embedding_2
194069_8027-X4187-Y22761_reg.swc,fMOST,5.448833,9.426513
194069_8063-X5880-Y9133_reg.swc,fMOST,5.9510465,7.4225187
194069_8220-X4330-Y22689_reg.swc,fMOST,5.9612083,9.348949
194069_8231-X4410-Y22897_reg.swc,fMOST,5.749258,8.879931
211541_5773-X16604-Y16219_reg.swc,fMOST,6.903755,6.466357
211541_7083-X17997-Y16517_reg.swc,fMOST,7.441554,8.8828125
211541_7381-X7249-Y16155_reg.swc,fMOST,6.033354,7.712749
211541_8004-X20499-Y15083_reg.swc,fMOST,6.4496694,7.5383577
211550_6674-X20158-Y16621_reg.swc,fMOST,6.989224,8.575385
211550_6721-X20655-Y16337_reg.swc,fMOST,7.2750173,8.280614
182709_6204-X2976-Y9977_reg.swc,fMOST,6.128283,5.8205395
182709_7144-X3121-Y9346_reg.swc,fMOST,5.134958,8.470852
182709_7463-X3586-Y20695_reg.swc,fMOST,5.95537,7.386523
182709_7886-X5075-Y22541_2_reg.swc,fMOST,5.5788484,7.9794354
182709_7918-X5201-Y22656_reg.swc,fMOST,6.070961,5.986636
182724_6305-X3647-Y18869_reg.swc,fMOST,6.994659,7.9476576
182724_6704-X3301-Y12214_reg.swc,fMOST,6.8834906,6.121682
182724_7822-X5447-Y22786_reg.swc,fMOST,6.2111244,7.445794
182724_7871-X4578-Y21040_reg.swc,fMOST,6.483918,8.147523
182724_8155-X4575-Y20238_reg.swc,fMOST,6.121105,7.961479
182724_8159-X4833-Y21213_reg.swc,fMOST,6.443408,7.4224215
182724_8257-X5319-Y21978_reg.swc,fMOST,6.580803,7.5552444
182724_8281-X5491-Y21925_reg.swc,fMOST,6.0123725,7.824407
182725_6819-X6109-Y7853_reg.swc,fMOST,5.4743266,9.473009
182725_7482-X7429-Y6760_reg.swc,fMOST,5.3940206,8.028943
182725_7714-X7032-Y7882_reg.swc,fMOST,5.04663,8.2453165
182725_7762-X3772-Y19585_reg.swc,fMOST,6.519521,7.6931305
182725_7988-X4540-Y20706_reg.swc,fMOST,5.13854,8.824261
182725_8028-X4256-Y19926_reg.swc,fMOST,5.32918,8.071094
18469_5755-X6174-Y22049_reg.swc,fMOST,5.9881372,9.065467
18469_6572-X5325-Y34608_reg.swc,fMOST,6.7271986,7.521083
18469_7066-X6108-Y38587_reg.swc,fMOST,5.7007875,9.3813715
18469_7376-X7022-Y19051_reg.swc,fMOST,5.146586,9.083484
191807_6488-X3597-Y11254_reg.swc,fMOST,6.362794,8.95763
191807_6556-X3678-Y10670_reg.swc,fMOST,6.329744,9.187285
191807_7423-X4013-Y19283_reg.swc,fMOST,5.3791847,8.646404
191807_7425-X7635-Y24763_reg.swc,fMOST,6.0632615,9.084382
191807_7446-X4048-Y18753_reg.swc,fMOST,5.788037,8.006692
191807_7574-X4648-Y20365_reg.swc,fMOST,5.1539702,8.940903
191807_7786-X4425-Y19023_reg.swc,fMOST,8.5812025,3.149184
191807_7822-X4840-Y19927_reg.swc,fMOST,8.764496,3.1168897
191807_8102-X5725-Y9586_reg.swc,fMOST,5.717889,6.812629
191807_8158-X7179-Y9304_reg.swc,fMOST,5.1240215,7.8954854
191812_6854-X5676-Y6355_reg.swc,fMOST,4.9525194,4.9499526
194069_6480-X4276-Y11858_reg.swc,fMOST,5.0747347,9.015036
194069_6665-X4527-Y10686_reg.swc,fMOST,5.3500357,9.350886
194069_7406-X4443-Y11111_reg.swc,fMOST,7.180244,8.1585
194069_7499-X4635-Y10487_reg.swc,fMOST,5.8342867,6.8236628
194069_7827-X3508-Y20244_reg.swc,fMOST,4.0793614,2.6583657
194069_7960-X3680-Y21513_reg.swc,fMOST,5.9347878,6.598502
194069_8053-X5370-Y24809_reg.swc,fMOST,5.422717,9.339372
194069_8151-X5946-Y25268_reg.swc,fMOST,4.0810995,3.023084
211541_7642-X7572-Y16296_reg.swc,fMOST,5.733921,8.242494
211550_6742-X19175-Y17279_reg.swc,fMOST,6.933993,6.790623
211550_7524-X21483-Y15565_reg.swc,fMOST,6.0126305,6.7679358
211550_7555-X20812-Y16162_reg.swc,fMOST,5.8390436,7.191384
211550_7718-X19461-Y16950_reg.swc,fMOST,5.7780757,6.237566
211550_7772-X7691-Y18498_reg.swc,fMOST,5.621485,7.5670056
211550_7942-X7116-Y18251_reg.swc,fMOST,5.222909,8.5676565
211796_6490-X17276-Y17066_reg.swc,fMOST,7.000337,5.952159
211796_7238-X7037-Y16980_reg.swc,fMOST,5.0372148,7.780523
211796_7334-X21168-Y15440_reg.swc,fMOST,6.796485,6.565864
211796_7385-X18532-Y16902_reg.swc,fMOST,5.758831,6.469344
211796_7534-X18739-Y16699_reg.swc,fMOST,5.876483,6.735221
220308_6660-X23024-Y15563_reg.swc,fMOST,6.8150425,6.326706
220308_6702-X23195-Y15415_reg.swc,fMOST,5.9689665,6.493026
191807_6836-X4405-Y10082_reg.swc,fMOST,10.065895,3.8233619
191807_6864-X4028-Y18389_reg.swc,fMOST,9.397331,2.3299994
191807_6920-X5119-Y8302_reg.swc,fMOST,10.293979,3.6209645
191807_7098-X4655-Y10334_reg.swc,fMOST,10.435102,3.5622501
191807_7300-X5089-Y9978_reg.swc,fMOST,10.171458,3.422399
191807_7364-X7270-Y23865_reg.swc,fMOST,9.468847,3.0717597
191807_7399-X8056-Y6157_reg.swc,fMOST,8.9478035,3.5794625
191807_7494-X6168-Y8596_reg.swc,fMOST,10.229691,3.57187
191807_7508-X7743-Y23907_reg.swc,fMOST,9.97257,3.0556412
191807_7525-X6122-Y8722_reg.swc,fMOST,10.298737,3.5280004
191807_7537-X7637-Y23814_reg.swc,fMOST,9.977977,2.861409
191807_7612-X8075-Y6623_reg.swc,fMOST,9.327506,2.391658
191807_7779-X6262-Y9318_reg.swc,fMOST,9.027459,2.1445189
192348_8164-X3381-Y21012_reg.swc,fMOST,9.005543,2.703773
194069_7166-X5939-Y8426_reg.swc,fMOST,9.752127,3.6739495
194083_6175-X4064-Y8142_reg.swc,fMOST,8.872447,2.3611143
194083_6690-X3219-Y11189_reg.swc,fMOST,8.83911,2.5252473
196476_6791-X3395-Y20868_reg.swc,fMOST,9.102544,2.7263422
196476_7159-x4408-y23171_reg.swc,fMOST,9.4037485,2.62115
196476_7565-x3166-y19635_reg.swc,fMOST,9.035173,2.1819594
196476_7607-X3603-Y20075_reg.swc,fMOST,10.423112,3.532875
196476_7824-x4173-y21243_reg.swc,fMOST,10.074654,3.674254
196476_7922-X4174-Y21695_reg.swc,fMOST,9.32765,3.5777123
196476_8116-X4425-Y9934_reg.swc,fMOST,9.479844,2.8716934
196476_8191-X6571-Y6695_reg.swc,fMOST,8.617392,2.817934
196476_8380-x4209-y10481_reg.swc,fMOST,8.798681,2.872381
211541_6633-X16017-Y16343_reg.swc,fMOST,8.335697,2.7816622
220307_7080-X19635-Y21599_reg.swc,fMOST,9.205181,2.345743
220307_7098-X6694-Y19987_reg.swc,fMOST,8.954164,2.5250442
220307_7229-X18109-Y21959_reg.swc,fMOST,8.51804,2.8420248
220307_7919-X20996-Y20456_reg.swc,fMOST,9.21557,2.7892675
220307_8198-X20188-Y20372_reg.swc,fMOST,8.717837,3.1107147
220308_6054-X20031-Y16355_reg.swc,fMOST,9.065689,3.7288368
220308_6492-X9152-Y16947_reg.swc,fMOST,8.653323,2.8334503
220308_7099-X22371-Y15536_reg.swc,fMOST,9.332227,3.641806
220308_7210-X22027-Y15603_reg.swc,fMOST,9.393656,3.7664633
220308_7820-X21073-Y15878_reg.swc,fMOST,9.660986,3.0151327
220308_7875-X22200-Y14877_reg.swc,fMOST,9.414228,2.4987159
220308_8021-X22273-Y14515_reg.swc,fMOST,9.11783,2.3261218
17109_6201-X4328-Y6753_reg.swc,fMOST,5.5127306,1.1453985
17109_6301-X4756-Y24516_reg.swc,fMOST,5.516227,1.1213894
17109_6601-X4384-Y7436_reg.swc,fMOST,5.7648697,1.1190194
17109_6601-X5417-Y25287_reg.swc,fMOST,6.1722884,0.047916852
17109_6901-X7203-Y26714_reg.swc,fMOST,6.1153564,0.90607464
17109_7001-X5738-Y6470_reg.swc,fMOST,5.585988,0.9996754
17109_7001-X6205-Y5194_reg.swc,fMOST,5.903819,0.57024854
17300_5969-X27278-Y20820_reg.swc,fMOST,4.3154144,4.9173183
17543_6014-X3691-Y17288_reg.swc,fMOST,7.8999248,2.3754117
17781_6262-X6896-Y13574_reg.swc,fMOST,5.3790946,1.248137
17781_6866-X8954-Y41812_reg.swc,fMOST,5.833141,0.56745833
17787_7070-X12739-Y1410_reg.swc,fMOST,2.5633168,1.507646
182709_6172-X3564-Y6968_reg.swc,fMOST,2.2144337,1.3787373
182709_6592-X3030-Y10077_reg.swc,fMOST,8.296061,3.7586167
182709_6812-X3137-Y8659_reg.swc,fMOST,4.9946094,4.4708233
182709_6886-X3406-Y21258_reg.swc,fMOST,3.7232504,2.5051014
182709_7010-X2644-Y10852_reg.swc,fMOST,4.5374603,4.666869
182709_7120-X2261-Y10934_reg.swc,fMOST,3.2830958,1.1430218
182709_7486-X4577-Y22503_reg.swc,fMOST,8.468604,3.2143414
182724_6416-X3689-Y10398_reg.swc,fMOST,4.946073,4.7024164
18452_7249-X11408-Y2071_reg.swc,fMOST,3.0273015,1.0146238
18453_5667-X25695-Y3103_reg.swc,fMOST,1.9064579,2.1865783
18453_5701-X28505-Y4297_reg.swc,fMOST,3.4086397,2.5794508
18453_5766-X31719-Y6139_reg.swc,fMOST,2.1460087,2.6072555
18453_5941-X24629-Y3152_reg.swc,fMOST,2.4737525,2.8896682
18453_5995-X24812-Y3143_reg.swc,fMOST,3.1378732,2.775131
18453_6035-X24820-Y3039_reg.swc,fMOST,3.101969,2.7830467
18453_6181-X10238-Y3690_reg.swc,fMOST,3.1213412,1.0419936
18453_6316-X30559-Y4743_reg.swc,fMOST,2.6889985,1.2814001
18453_6477-X30376-Y5078_reg.swc,fMOST,2.6338809,2.5932462
18453_6479-X9010-Y4330_reg.swc,fMOST,2.6387894,2.0972521
18453_6537-X8725-Y4484_reg.swc,fMOST,1.7713972,2.5644236
18453_6561-X9442-Y3817_reg.swc,fMOST,1.7930475,1.966882
18453_6604-X9161-Y4006_reg.swc,fMOST,2.8195198,1.1906505
18453_6675-X10576-Y3102_reg.swc,fMOST,3.2636092,1.2983203
18453_6675-X8876-Y4461_reg.swc,fMOST,2.373357,1.9172243
18453_6748-X28152-Y3578_reg.swc,fMOST,2.0266235,2.3736467
18453_6846-X11548-Y2831_reg.swc,fMOST,1.8319235,1.5932022
18453_7007-X11486-Y3611_reg.swc,fMOST,4.0470133,1.9453084
18453_7010-X8769-Y4509_reg.swc,fMOST,1.947841,2.6014776
18453_7024-X9012-Y4138_reg.swc,fMOST,1.8761055,1.4218173
18453_7112-X9089-Y4667_reg.swc,fMOST,3.6447759,2.6022823
18453_7132-X11495-Y3152_reg.swc,fMOST,2.8312993,2.7821963
18453_7132-X31679-Y7308_reg.swc,fMOST,4.5290365,4.832704
18453_7146-X8788-Y4552_reg.swc,fMOST,1.935375,1.9187329
18453_7188-X11060-Y3637_reg.swc,fMOST,3.624226,2.5803702
18453_7223-X30215-Y5120_reg.swc,fMOST,2.3362827,1.8114985
18453_7245-X12979-Y2864_reg.swc,fMOST,2.204002,2.6141725
18453_7304-X11719-Y3749_reg.swc,fMOST,4.064246,1.9017
18461_6043-X11080-Y1667_reg.swc,fMOST,1.9757861,1.5481331
18461_7132-X6338-Y3287_reg.swc,fMOST,3.8116832,2.6025717
18469_6120-X7370-Y17612_reg.swc,fMOST,7.871349,4.343044
18469_6420-X7388-Y41840_2_reg.swc,fMOST,7.0267053,4.675738
18864_5637-X5637-Y31619_reg.swc,fMOST,1.9657695,1.4235135
18864_6139-X4843-Y27122_reg.swc,fMOST,3.9247367,1.8227355
18864_6321-X4387-Y7047_reg.swc,fMOST,1.9171809,1.4413996
18864_6345-X3603-Y9891_reg.swc,fMOST,2.0231194,1.9686643
18864_6384-X3409-Y13059_reg.swc,fMOST,2.7854567,2.4323695
18864_6523-X3601-Y10609_reg.swc,fMOST,2.5602102,2.2085996
18864_6571-X4315-Y24999_reg.swc,fMOST,4.0081377,2.0951524
18864_6631-X3319-Y22547_reg.swc,fMOST,2.0359418,1.5768287
18864_6672-X3537-Y12829_reg.swc,fMOST,1.9307914,2.5632675
18864_6734-X4899-Y27447_reg.swc,fMOST,2.1417327,2.4974048
18864_6741-X4187-Y8695_reg.swc,fMOST,2.0551698,2.5143313
18864_6805-X6340-Y4681_reg.swc,fMOST,2.3837454,1.8549323
18864_6821-X5144-Y6844_reg.swc,fMOST,2.3124402,2.564605
18864_7078-X6476-Y5135_reg.swc,fMOST,2.4406211,2.0418324
18864_7117-X4611-Y9823_reg.swc,fMOST,4.0385585,1.9235897
18864_7516-X6276-Y6366_reg.swc,fMOST,2.232483,1.9993917
191812_5915-X3305-Y21307_reg.swc,fMOST,4.488769,4.192296
191812_6207-X4040-Y8998_reg.swc,fMOST,5.072951,5.1328707
191812_6251-X3178-Y20913_reg.swc,fMOST,5.0029254,4.9911637
191812_6426-X4032-Y23056_reg.swc,fMOST,5.1412334,5.0228395
191812_6431-X3967-Y9193_reg.swc,fMOST,4.827557,4.826301
191812_6463-X3826-Y9703_reg.swc,fMOST,4.4663973,5.0439706
191812_6476-X3744-Y9656_reg.swc,fMOST,5.0040326,4.8220773
191812_6477-X4010-Y9201_reg.swc,fMOST,4.7486515,5.098739
191812_6568-X3828-Y8764_reg.swc,fMOST,2.8698342,2.5121732
191812_6779-X4640-Y7603_reg.swc,fMOST,4.9618754,4.8310714
191812_6895-X3630-Y9992_reg.swc,fMOST,3.9913452,2.532903
191812_7148-X3864-Y9658_reg.swc,fMOST,4.701729,4.231973
191812_7255-X5228-Y7090_reg.swc,fMOST,4.832088,5.0473986
191812_7321-X4084-Y22812_reg.swc,fMOST,4.779183,4.466583
191812_7379-X5715-Y24777_reg.swc,fMOST,5.289501,5.6644797
191812_7414-X5193-Y24236_reg.swc,fMOST,4.551147,5.007146
191812_7460-X2919-Y19536_reg.swc,fMOST,4.5647035,4.1199126
191812_7487-X5132-Y7313_reg.swc,fMOST,4.2222342,2.6128337
191812_7534-X5622-Y24592_reg.swc,fMOST,3.9420145,2.9752557
191812_7586-X4315-Y23900_reg.swc,fMOST,3.0578208,1.0296338
191812_7597-X5133-Y23993_reg.swc,fMOST,4.6204753,5.4425406
191812_7717-X6201-Y6443_reg.swc,fMOST,4.3451157,3.705813
191812_7881-X7006-Y5915_reg.swc,fMOST,4.5573106,5.428419
191812_7886-X4342-Y22754_reg.swc,fMOST,3.9172125,2.3524265
191812_7938-X6892-Y25312_reg.swc,fMOST,2.5750723,1.9871218
191812_7977-X5136-Y23324_reg.swc,fMOST,4.641409,5.494094
191812_7998-X5408-Y23691_reg.swc,fMOST,4.508082,4.4981184
191812_8013-X7581-Y5690_reg.swc,fMOST,4.3593826,3.3230057
191812_8096-X5297-Y8332_reg.swc,fMOST,4.3975616,4.2723
191812_8172-X4789-Y8339_reg.swc,fMOST,1.7913308,2.4767275
191812_8233-X6397-Y7234_reg.swc,fMOST,4.5179815,4.765907
191812_8235-X5804-Y7784_reg.swc,fMOST,2.382809,2.8630767
191812_8356-X5861-Y7841_reg.swc,fMOST,3.1001127,1.0743155
191813_6154-X4714-Y9350_reg.swc,fMOST,5.2120967,5.187963
191813_6215-X5154-Y8328_reg.swc,fMOST,4.5744877,4.756711
191813_6524-X2579-Y18950_reg.swc,fMOST,4.9122887,5.0866704
191813_6588-X2661-Y18498_reg.swc,fMOST,4.4608703,4.6110077
191813_6745-X2825-Y19481_reg.swc,fMOST,5.844054,2.0676866
191813_6829-x5209-y8545_reg.swc,fMOST,4.674212,4.987461
191813_6871-x5237-y8478_reg.swc,fMOST,4.5910306,4.5131063
191813_6879-X2723-Y19955_reg.swc,fMOST,4.7644176,4.880996
191813_7160-x2719-y18910_reg.swc,fMOST,4.2729077,2.690389
191813_7214-X4724-Y9812_reg.swc,fMOST,4.8585753,4.602009
191813_7224-X2864-Y17670_reg.swc,fMOST,4.5532928,4.5234003
192337_6620-X4736-Y30611_reg.swc,fMOST,6.4549475,1.7565887
192337_6764-X4864-Y14655_reg.swc,fMOST,6.444959,1.8781482
192337_7344-X3850-Y25781_reg.swc,fMOST,7.097656,1.4808011
192337_7585-X7231-Y9932_reg.swc,fMOST,6.9760265,1.3055325
192337_7659-X5929-Y12351_reg.swc,fMOST,7.99895,2.791829
192339_6660-X3904-Y20076_reg.swc,fMOST,7.4688506,1.8169342
192339_6826-X4163-Y21198_reg.swc,fMOST,7.433969,1.7082369
192339_6840-X3817-Y19709_reg.swc,fMOST,6.6017036,1.4247786
192339_7392-X6785-Y6440_reg.swc,fMOST,6.8099732,2.1203902
192340_6224-X4867-Y27176_reg.swc,fMOST,7.9508495,2.46431
192340_6365-X5976-Y13673_reg.swc,fMOST,6.4332085,1.8651135
192341_6482-X3479-Y8069_reg.swc,fMOST,6.4515657,1.8388445
192341_6527-X4499-Y23282_reg.swc,fMOST,7.0178523,1.3457742
192341_7115-X3118-Y9770_reg.swc,fMOST,7.220977,1.6350869
192341_7303-X4923-Y6376_reg.swc,fMOST,8.170818,2.1912818
192342_6838-X4850-Y2371_reg.swc,fMOST,4.0182157,2.280906
192342_6941-X3482-Y21640_reg.swc,fMOST,3.1506817,2.4822593
192342_8032-X5502-Y5809_reg.swc,fMOST,4.5918264,5.4071283
192342_8141-X6037-Y23548_reg.swc,fMOST,4.5651455,5.362174
192343_5742-X3633-Y12817_reg.swc,fMOST,3.3632674,1.0968286
192343_6777-X4052-Y23666_reg.swc,fMOST,4.635576,2.4058766
192343_7174-X3824-Y23571_reg.swc,fMOST,3.966225,1.9546572
192343_7524-X5744-Y25593_reg.swc,fMOST,4.5843263,4.9252057
192343_7862-X5206-Y6520_reg.swc,fMOST,2.9488015,2.587325
194065_6750-X3779-Y21393_reg.swc,fMOST,1.90609,2.032008
194065_7154-X2800-Y12603_reg.swc,fMOST,2.4800303,2.7107677
194069_7629-X6739-Y7566_reg.swc,fMOST,6.7647386,4.69179
194079_7452-X4416-Y23624_reg.swc,fMOST,4.57127,5.323145
194083_6472-X2866-Y11440_reg.swc,fMOST,6.8270273,6.268676
201603_6288-X7138-Y5937_reg.swc,fMOST,8.769199,2.0531821
211541_6809-X4199-Y14576_reg.swc,fMOST,4.902313,4.417871
211541_7198-X4422-Y13840_reg.swc,fMOST,6.0395503,0.6659841
211541_7397-X6860-Y15587_reg.swc,fMOST,8.062479,3.161019
211541_7408-X19719-Y16313_reg.swc,fMOST,3.893616,2.3939438
211541_7867-X20439-Y14832_reg.swc,fMOST,6.067356,0.5046042
220307_6913-X8802-Y21284_reg.swc,fMOST,7.1908927,5.447695
220307_7116-X8416-Y21177_reg.swc,fMOST,5.6355586,5.9036417
220307_7390-X9129-Y21344_reg.swc,fMOST,6.981085,5.836135
220308_6541-X9681-Y17291_reg.swc,fMOST,6.071758,5.799651
220308_6638-X10400-Y17315_reg.swc,fMOST,7.211038,5.3045206
220308_6723-X23664-Y14930_reg.swc,fMOST,6.7710443,6.339814
220308_6761-X10353-Y16971_reg.swc,fMOST,6.4592967,1.836236
220308_7065-X21542-Y16233_reg.swc,fMOST,8.310023,4.12949
220308_7209-X6269-Y16507_reg.swc,fMOST,3.6873248,2.4500895
220308_7775-X8240-Y16877_reg.swc,fMOST,8.331298,3.5766623
220309_6744-X9496-Y18547_reg.swc,fMOST,3.2995806,2.5863056
220315_6442-X7542-Y17434_reg.swc,fMOST,4.0968237,2.356757
1039273993,ivscc,10.201043,3.469543
823218199,ivscc,5.28569,9.205468
893366298,ivscc,8.723807,3.7084646
922742835,ivscc,7.8872166,3.1712668
992219189,ivscc,4.533668,4.0308843
763994181,ivscc,7.4862547,2.9678843
1010970692,ivscc,6.688423,1.6438215
912289883,ivscc,1.7180356,2.5139441
899711102,ivscc,4.4531803,5.0082026
642777215,ivscc,4.080374,1.9014554
646836355,ivscc,6.20714,0.12096454
1036259470,ivscc,7.1740565,1.411632
965591192,ivscc,6.091662,0.34775898
914432180,ivscc,7.0623894,1.620459
764477652,ivscc,4.458127,4.230287
908894436,ivscc,10.336317,4.1369915
989163765,ivscc,4.9141555,8.465026
640106757,ivscc,4.0327744,2.3835952
970080520,ivscc,7.056449,4.737234
1010692386,ivscc,8.145848,2.270137
853618984,ivscc,10.179141,3.920125
990548306,ivscc,7.716384,2.8357952
853692765,ivscc,9.215021,3.6473682
950034792,ivscc,2.077041,1.5496169
908669318,ivscc,6.687675,8.650221
998064533,ivscc,5.363067,8.136858
893354404,ivscc,9.475826,2.3537338
819950000,ivscc,5.517409,4.817767
919699890,ivscc,1.7998525,1.9704385
699818438,ivscc,9.378359,4.084817
973832650,ivscc,6.0135045,0.42982963
841871826,ivscc,5.6681757,4.925757
969200089,ivscc,9.547484,3.4905627
962105846,ivscc,7.8823237,2.8265924
1036186120,ivscc,6.8896604,1.8045379
965771797,ivscc,9.815168,2.8359082
962261526,ivscc,2.6298876,1.6296015
961114647,ivscc,7.078791,4.5379906
645354028,ivscc,5.4677773,5.373771
914354735,ivscc,6.541935,8.956981
841888315,ivscc,6.524837,8.004745
645530172,ivscc,3.4330947,2.894947
947139142,ivscc,8.717331,3.635873
681931335,ivscc,5.5176115,5.2271075
921637459,ivscc,7.632703,2.8327084
927797864,ivscc,10.039725,3.880545
698675821,ivscc,7.0404944,4.6711283
1000612469,ivscc,6.066536,0.2832987
896053888,ivscc,7.583606,3.0719168
903864968,ivscc,10.267359,4.0604587
681636493,ivscc,5.2161136,7.8138466
739840659,ivscc,2.5998814,1.4355984
847876759,ivscc,2.6087115,2.5825822
644821657,ivscc,6.922664,9.005315
845402780,ivscc,8.614978,3.1971426
863515305,ivscc,10.36899,3.4493918
893371082,ivscc,9.313707,3.0589273
989479628,ivscc,6.142647,0.058651216
716309237,ivscc,8.796465,3.6892507
954032889,ivscc,2.9427917,2.0318055
902255361,ivscc,6.006524,5.8049803
863478540,ivscc,10.0987425,3.3186593
904725260,ivscc,9.608777,3.3740318
