specimen_id,sweep_number,avg_rate,max_inst_rate
978149378,19,2.0,1.828889132740773
978149378,20,12.0,14.832393948383261
978149378,21,16.0,26.795284030010784
823218199,18,4.0,236.9668246445497
823218199,21,4.0,190.8396946564918
823218199,22,4.0,214.5922746781117
944750626,16,3.0,124.3781094527373
944750626,19,10.0,110.1321585903073
944750626,20,15.0,101.01010101010081
965861424,20,3.0,81.56606851549724
965861424,23,7.0,126.90355329949242
965861424,26,4.0,50.352467270896305
896692280,14,3.0,155.76323987538987
896692280,17,10.0,122.8501228501223
896692280,18,13.0,129.8701298701292
947396671,17,2.0,52.24660397074208
947396671,18,6.0,105.48523206751005
947396671,19,10.0,93.28358208955169
971702340,20,3.0,91.407678244973
971702340,21,8.0,70.82152974504238
971702340,23,11.0,60.024009603841506
742596680,12,1.0,1.0
742596680,15,5.0,110.61946902654809
742596680,16,6.0,144.50867052023276
950243428,20,6.0,243.90243902439067
950243428,26,3.0,217.3913043478238
645955689,12,8.000000000000004,169.49152542372835
645955689,18,9.000000000000004,72.35890014471809
904839273,15,3.0,2.585983966899405
904839273,18,12.0,17.85714285714284
904839273,19,16.0,35.335689045936405
906485870,18,2.0,2.681108906643787
906485870,25,12.0,13.315579227696414
906485870,26,18.0,29.815146094215848
932130950,15,4.0,209.2050209205018
932130950,18,9.0,228.31050228310238
932130950,19,12.0,238.09523809522656
973488284,16,3.0,122.24938875305676
973488284,19,9.0,115.20737327188913
973488284,20,12.0,129.8701298701292
896110766,14,1.0,1.0
896110766,17,11.0,17.40341106856942
896110766,18,15.0,38.2848392036753
908644527,16,3.0,144.50867052023042
908644527,19,7.0,144.9275362318837
908644527,20,9.0,153.84615384615503
899473601,19,1.0,1.0
899473601,22,9.0,10.902747492368073
899473601,23,12.0,18.960940462646946
820945099,16,5.0,121.35922330097213
820945099,19,10.0,81.96721311475417
820945099,20,14.0,97.84735812133066
970760401,14,4.0,292.3976608187153
970760401,17,12.0,292.3976608187153
970760401,18,17.0,294.1176470588271
827969748,15,2.0,2.0554984583761566
827969748,18,8.0,19.312475859405158
827969748,19,10.0,47.12535344015076
896602326,39,2.0,28.296547821165877
896602326,44,13.0,28.735632183908002
896602326,49,18.0,66.75567423230977
989163765,19,1.0,1.0
989163765,22,12.0,23.946360153256695
989163765,23,15.0,29.63841138114998
995574011,16,1.0,1.0
995574011,19,8.0,11.539349180706214
995574011,20,12.0,21.73913043478264
912589058,16,2.0,2.00096046102129
912589058,19,10.0,12.63583522870862
912589058,20,13.0,17.568517217146884
908632324,17,6.0,326.7973856209202
908632324,18,9.0,241.54589371980487
908632324,19,12.0,245.09803921568792
957120771,21,4.0,156.24999999999824
957120771,27,5.0,87.7192982456143
957120771,31,9.0,105.7082452431287
813003041,16,1.0,1.0
813003041,19,7.0,10.642826734780765
813003041,20,10.0,113.37868480725702
898949412,16,2.0,87.7192982456143
898949412,17,5.0,111.11111111111101
898949412,18,7.0,111.11111111111101
970723621,18,5.0,303.03030303030584
970723621,21,14.0,289.01734104046085
970723621,22,19.0,297.6190476190548
645447975,12,4.000000000000002,4.25930658488798
645447975,13,10.000000000000005,31.387319522912744
926761275,15,1.0,1.0
926761275,18,10.0,127.22646310432606
926761275,19,12.0,97.08737864077693
648143167,12,2.000000000000001,2.5511505689065768
648143167,13,10.000000000000005,12.963443090484835
914399613,14,2.0,122.5490196078423
914399613,17,6.0,163.93442622950835
914399613,18,7.0,157.72870662460537
975282560,15,2.0,1.5620118712902218
975282560,18,11.0,84.3170320404723
975282560,19,14.0,75.52870090634488
645529985,14,2.000000000000001,2.075980900975711
645529985,18,9.000000000000004,99.80039920159541
950284677,16,3.0,144.9275362318837
950284677,17,7.0,151.51515151515036
950284677,18,10.0,138.1215469613255
908669318,14,4.0,211.86440677965842
908669318,17,7.0,216.45021645021845
908669318,18,10.0,185.18518518518655
994718096,13,5.0,208.33333333332737
994718096,16,8.0,176.0563380281719
994718096,17,10.0,178.57142857143054
998064533,13,2.0,84.45945945945894
998064533,16,5.0,83.47245409015032
998064533,17,8.0,97.84735812133066
826782115,13,2.0,1.4720169576353521
826782115,16,11.0,33.422459893048064
826782115,17,15.0,53.82131324004294
898683305,13,3.0,160.25641025640965
898683305,16,13.0,171.23287671233004
898683305,17,17.0,169.49152542373153
651055533,12,2.000000000000001,164.47368421053002
651055533,13,6.000000000000003,174.82517482517645
950272456,23,5.0,150.15015015015015
950272456,24,8.0,158.2278481012688
950272456,25,8.0,135.5013550135512
716591562,15,1.0000000000000004,1.0000000000000004
716591562,16,4.000000000000002,4.009944662763655
948376025,16,2.0,130.89005235602127
948376025,19,6.0,166.66666666666652
948376025,20,8.0,154.32098765432264
645542364,13,3.0000000000000013,92.59259259259328
645542364,17,8.000000000000004,92.25092250922543
898953706,15,3.0,2.734631371691097
898953706,18,14.0,44.802867383512535
898953706,19,18.0,56.05381165919293
916681208,16,3.0,179.85611510791335
916681208,19,10.0,148.8095238095225
916681208,20,12.0,141.24293785310562
915788289,17,1.0,1.0
915788289,18,4.0,4.225471140032112
915788289,19,7.0,22.331397945511423
867099146,12,4.0,217.3913043478238
867099146,15,13.0,166.11295681063052
867099146,16,17.0,154.79876160990662
989467159,20,2.0,45.08566275924283
989467159,29,2.0,96.33911368015363
904876570,15,2.0,2.1214306928592648
904876570,18,12.0,17.889087656529497
904876570,19,16.0,27.11496746203903
1000780329,15,5.0,144.9275362318837
1000780329,16,11.0,141.24293785310562
1000780329,17,14.0,130.54830287206266
908628525,13,1.0,1.0
908628525,22,9.0,119.33174224343598
908628525,23,12.0,116.27906976744116
940794414,19,4.0,234.74178403755639
940794414,23,13.0,229.35779816513602
940794414,24,18.0,228.31050228310818
914354735,15,7.0,174.82517482517645
914354735,18,9.0,175.4385964912269
914354735,19,11.0,147.49262536873138
972517935,18,3.0,5.337318531169941
972517935,21,11.0,13.099292638197525
972517935,22,14.0,19.19385796545104
982745652,15,4.0,217.3913043478238
982745652,19,13.0,234.74178403756252
982745652,20,16.0,127.55102040816215
841888315,15,1.0,1.0
841888315,18,10.0,30.693677102516936
841888315,19,12.0,54.704595185995736
901403196,13,2.0,218.34061135371044
901403196,16,9.0,239.2344497607614
901403196,17,11.0,220.2643171806173
990282326,13,3.0,2.8830075534797905
990282326,16,11.0,17.94687724335966
990282326,17,16.0,31.96930946291563
830435948,15,2.0,176.67844522968204
830435948,18,6.0,174.82517482517304
830435948,19,8.0,162.86644951139974
681636493,10,3.0000000000000013,44.60303300624465
681636493,11,6.000000000000003,65.70302233902754
965771919,23,2.0,78.1249999999998
965771919,24,7.0,89.60573476702551
965771919,25,8.0,94.87666034155603
644821657,13,1.0000000000000004,1.0000000000000004
644821657,18,7.0000000000000036,42.91845493562255
960656026,16,3.0,224.2152466367759
960656026,19,13.0,204.91803278688545
960656026,20,18.0,212.76595744680682
845402780,13,3.0,3.092528451261753
845402780,16,14.0,28.7191269385411
845402780,17,19.0,46.51162790697682
983638695,16,3.0,130.208333333333
983638695,19,7.0,107.29613733905585
983638695,20,10.0,134.04825737265574
637383404,9,3.0000000000000013,138.88888888888704
637383404,54,8.000000000000004,106.60980810234354
637383404,55,12.000000000000005,110.86474501108613
827867891,15,3.0,76.68711656441687
827867891,16,6.0,73.42143906020517
827867891,17,8.0,102.04081632653144
965821175,37,2.0,88.18342151675472
965821175,40,6.0,101.21457489878543
965821175,41,8.0,117.64705882353007
994882296,14,4.0,168.35016835016674
994882296,17,10.0,157.2327044025149
994882296,18,11.0,176.67844522968204
993993470,24,1.0,1.0
993993470,25,12.0,190.83969465648772
993993470,26,15.0,203.25203252032375
992400811,15,2.0,204.08163265306058
992400811,18,12.0,224.21524663677033
992400811,19,13.0,231.48148148148198
992396042,31,2.0,111.35857461024514
992396042,32,5.0,94.69696969696957
992396042,33,7.0,119.04761904761958
916624146,15,1.0,1.0
916624146,18,9.0,13.609145345672294
916624146,19,12.0,24.679170779861796
913695508,16,7.0,185.18518518519036
913695508,19,11.0,194.55252918287812
913695508,20,15.0,178.571428571427
880853797,40,1.0,1.0
880853797,43,10.0,14.144271570014148
880853797,44,13.0,22.779043280182208
990229295,16,3.0,149.25373134328518
990229295,19,8.0,148.80952380952496
990229295,21,13.0,161.2903225806456
899683133,85,3.0,3.512469265893924
899683133,88,11.0,13.13370107696349
833872706,17,4.0,4.082299150881777
833872706,20,13.0,41.84100418410036
833872706,21,16.0,100.80645161290282
990225226,20,3.0,99.80039920159763
990225226,21,7.0,87.26003490401376
990225226,22,12.0,113.3786848072556
907125584,14,2.0,162.86644951139974
907125584,17,8.0,192.30769230769295
907125584,18,11.0,176.67844522968204
898667347,18,3.0,2.4960063897763587
898667347,21,10.0,15.873015873015888
898667347,22,13.0,30.432136335970785
906597203,16,3.0,161.81229773462587
906597203,23,11.0,156.25000000000094
906597203,24,15.0,154.32098765432
823083861,15,2.0,61.72839506172843
823083861,18,8.0,86.95652173913078
823083861,19,11.0,98.42519685039422
989131618,21,5.0,169.4915254237347
989131618,22,8.0,157.23270440251767
989131618,23,11.0,179.85611510791335
