spec_id_label,Tree_first_cl_label,x,y
823231829,L2/3 IT VISp Rrad,1.79831265,-6.82201185
893406540,L2/3 IT VISp Rrad,1.79831265,-6.82201185
896877084,L2/3 IT VISp Rrad,1.79831265,-6.82201185
922597220,L2/3 IT VISp Rrad,1.79831265,-6.82201185
740373591,L2/3 IT VISp Rrad,1.79831265,-6.82201185
716853260,L2/3 IT VISp Rrad,1.79831265,-6.82201185
973383317,L2/3 IT VISp Rrad,1.79831265,-6.82201185
889271408,L2/3 IT VISp Rrad,1.79831265,-6.82201185
912275105,L2/3 IT VISp Rrad,1.79831265,-6.82201185
912918179,L2/3 IT VISp Rrad,1.79831265,-6.82201185
926866005,L2/3 IT VISp Rrad,1.79831265,-6.82201185
935046071,L2/3 IT VISp Rrad,1.79831265,-6.82201185
936001075,L2/3 IT VISp Rrad,1.79831265,-6.82201185
953065561,L2/3 IT VISp Rrad,1.79831265,-6.82201185
924610453,L2/3 IT VISp Rrad,1.79831265,-6.82201185
992441737,L2/3 IT VISp Rrad,1.79831265,-6.82201185
994015825,L2/3 IT VISp Rrad,1.79831265,-6.82201185
915479566,L2/3 IT VISp Rrad,1.79831265,-6.82201185
649505836,L2/3 IT VISp Rrad,1.79831265,-6.82201185
912301547,L2/3 IT VISp Rrad,1.79831265,-6.82201185
912953077,L2/3 IT VISp Rrad,1.79831265,-6.82201185
947344218,L2/3 IT VISp Rrad,1.79831265,-6.82201185
912256459,L2/3 IT VISp Rrad,1.79831265,-6.82201185
912889454,L2/3 IT VISp Rrad,1.79831265,-6.82201185
925242241,L2/3 IT VISp Rrad,1.79831265,-6.82201185
954066469,L2/3 IT VISp Rrad,1.79831265,-6.82201185
915442497,L2/3 IT VISp Adamts2,3.72502265,-5.30757955
912608626,L2/3 IT VISp Agmat,3.1455767,-8.167568
914250737,L2/3 IT VISp Agmat,3.1455767,-8.167568
705839974,L2/3 IT VISp Agmat,3.1455767,-8.167568
824923819,L2/3 IT VISp Agmat,3.1455767,-8.167568
824937690,L2/3 IT VISp Agmat,3.1455767,-8.167568
895740736,L2/3 IT VISp Agmat,3.1455767,-8.167568
986109363,L2/3 IT VISp Agmat,3.1455767,-8.167568
986279166,L2/3 IT VISp Agmat,3.1455767,-8.167568
717089521,L2/3 IT VISp Agmat,3.1455767,-8.167568
963190732,L2/3 IT VISp Agmat,3.1455767,-8.167568
693269523,L2/3 IT VISp Agmat,3.1455767,-8.167568
705302304,L2/3 IT VISp Agmat,3.1455767,-8.167568
869616485,L2/3 IT VISp Agmat,3.1455767,-8.167568
895609799,L2/3 IT VISp Agmat,3.1455767,-8.167568
963019667,L2/3 IT VISp Agmat,3.1455767,-8.167568
867765313,L2/3 IT VISp Agmat,3.1455767,-8.167568
898881170,L2/3 IT VISp Agmat,3.1455767,-8.167568
