,L2/3 IT,L4 IT,L4/L5 IT,L5 IT-2,L5/L6 IT Car3,L6b,L5 ET-1 Chrna6,L5 ET-2,L5 ET-3,L6 CT-1,L6 CT-2
L2/3 IT,0.8853448275862069,0.07672413793103448,0.021724137931034483,0.0005172413793103448,0.013620689655172415,0.000689655172413793,0.001379310344827586,0.0,0.0,0.0,0.0
L4 IT,0.045,0.701,0.2345,0.0155,0.0,0.0,0.0,0.0,0.0,0.002,0.002
L4/L5 IT,0.0014634146341463415,0.037560975609756096,0.916829268292683,0.004634146341463414,0.0,0.0,0.029512195121951218,0.003658536585365854,0.006341463414634147,0.0,0.0
L5 IT-2,0.0,0.19,0.2725,0.46,0.0,0.0,0.00125,0.07375,0.00125,0.0,0.00125
L5/L6 IT Car3,0.013,0.0,0.008,0.001,0.951,0.015,0.01,0.001,0.0,0.0,0.001
L6b,0.0,0.0,0.0,0.0,0.000588235294117647,0.9729411764705882,0.0,0.0,0.0,0.010588235294117647,0.01588235294117647
L5 ET-1 Chrna6,0.005178571428571428,0.005714285714285714,0.048214285714285716,0.005892857142857143,0.0019642857142857144,0.00035714285714285714,0.6255357142857143,0.09803571428571428,0.205,0.002857142857142857,0.00125
L5 ET-2,0.00175,0.0015,0.01425,0.0015,0.0,0.0,0.23125,0.45525,0.294,0.0005,0.0
L5 ET-3,0.004468085106382979,0.000425531914893617,0.019361702127659575,0.011063829787234043,0.0,0.0,0.30659574468085105,0.20191489361702128,0.45617021276595743,0.0,0.0
L6 CT-1,0.0,0.0,0.0,0.006875,0.0,0.00875,0.00125,0.0,0.0,0.475,0.508125
L6 CT-2,0.0,0.000625,0.0,0.001875,0.0,0.0475,0.0025,0.01125,0.0,0.44875,0.4875
