sample_id,x,y
PAS4_190701_453_A01,1.9661684,0.95019275
PAS4_190716_451_A01,1.0660205,-0.22460233
PAS4_191014_456_A01,1.6185787,1.5173938
PAS4_191114_453_A01,1.4599048,0.7092548
PAS4_191205_453_A01,1.9295133,1.2325335
PBS4_171016_505_A01,2.9480233,1.1179951
PBS4_180316_501_A01,1.8231728,0.91309386
PES4_190228_653_A01,2.0344703,1.0669041
PES4_190403_652_A01,2.1523616,1.1885964
PES4_190715_653_A01,1.8696972,1.5580826
PES4_190916_652_A01,1.6778039,0.92808765
PFS4_190708_704_A01,1.2144451,0.23792836
PFS4_191118_705_A01,1.6512191,0.20158659
PFS4_191205_701_A01,1.7803074,1.4782462
P1S4_191205_001_A01,1.7398233,1.775368
P2S4_170724_053_A01,2.3913388,2.202902
PAS4_180112_454_A01,3.0977707,-0.22898644
PAS4_180828_457_A01,1.9667982,0.87197506
PAS4_190607_455_A01,1.7146745,1.3197931
P8S4_191018_351_A01,1.3418447,-0.17860779
P8S4_191118_356_A01,1.8788791,1.6583681
PXS4_190207_002_A01,2.2030919,0.75194323
P8S4_191125_357_A01,0.6593697,0.35683042
P8S4_171003_353_A01,2.174494,1.2752049
PAS4_191018_451_A01,1.7649251,1.1558626
PES4_190307_652_A01,2.3073564,1.2056136
P1S4_190715_004_A01,2.03702,2.3890166
P2S4_171102_051_A01,3.1556475,3.0908978
PAS4_190624_452_A01,2.7927215,4.785711
P8S4_190729_353_A01,1.7705628,2.715961
PAS4_190412_454_A01,2.5925143,5.8628716
PAS4_190703_451_A01,1.6761214,0.5086649
P8S4_190703_352_A01,1.338204,1.8148384
PBS4_180402_505_A01,2.0706367,7.7380223
P8S4_180507_355_A01,1.655917,2.4275131
P2S4_171101_051_A01,2.080498,8.390659
PAS4_190808_452_A01,2.317965,7.3935175
PAS4_190927_452_A01,2.2852707,8.098894
PAS4_190927_453_A01,1.8743142,6.8584757
PAS4_191014_457_A01,2.3861756,7.1645365
PES4_191022_651_A01,2.1151896,7.56356
PES4_191022_652_A01,2.120567,8.70934
PFS4_190701_705_A01,2.2652023,7.7773156
PFS4_190927_701_A01,2.6823123,7.3052163
PFS4_191004_705_A01,2.4048955,7.5558515
PAS4_190627_451_A01,2.2354703,7.2949567
P1S4_191024_001_A01,-0.6716552,10.742745
P1S4_200116_002_A01,1.2621009,12.128873
P8S4_180523_354_A01,0.46424812,10.908577
P8S4_191021_351_A01,1.0473717,9.974454
P8S4_191022_354_A01,1.779419,11.212688
PAS4_190620_453_A01,0.47880068,10.463087
PAS4_190802_451_A01,0.28100744,10.027502
PAS4_190805_453_A01,-0.15851592,11.049478
PAS4_190917_454_A01,0.03409179,10.457403
PAS4_191007_455_A01,0.5777623,10.320955
PAS4_191008_451_A01,1.1131111,10.794682
PAS4_191022_457_A01,-0.34682512,11.120213
PFS4_190408_704_A01,0.28608412,10.179379
PFS4_190807_705_A01,0.21837299,10.387714
P1S4_191011_002_A01,1.3370218,10.696104
P1S4_191024_003_A01,0.06551072,11.416983
PAS4_190607_452_A01,0.8529426,10.765844
PES4_191126_654_A01,0.23653638,11.4468775
PAS4_190702_454_A01,2.4429364,11.111997
P8S4_191008_355_A01,2.0752428,11.465049
PAS4_190627_452_A01,0.43188652,9.887201
P1S4_191010_002_A01,0.37607303,10.946764
P8S4_181213_352_A01,-0.24769431,10.784645
PAS4_190808_453_A01,-0.31003767,10.057186
P9S4_180514_402_A01,0.15447916,12.14666
PFS4_190708_701_A01,0.13232309,9.9001045
PAS4_171107_452_A01,0.4112708,8.849735
PAS4_190716_458_A01,-1.1292803,11.453497
P8S4_170918_353_A01,1.9279176,11.508391
PBS4_180514_501_A01,0.7159223,10.813983
PAS4_190627_459_A01,1.5099407,8.787652
PAS4_190618_457_A01,-1.2186111,10.778931
P1S4_191024_006_A01,-0.65736383,10.8584585
P9S4_180705_402_A01,-0.53966594,9.520981
PAS4_190801_454_A01,-2.6102645,11.904413
PBS4_180824_511_A01,-2.9050677,10.407429
PFS4_190725_701_A01,-1.1594702,11.639799
PFS4_190606_701_A01,-1.109366,12.067718
PAS4_190729_451_A01,0.63998634,11.722545
P8S4_180516_358_A01,-1.6919293,13.943671
P8S4_190708_351_A01,-2.197009,14.001118
P8S4_190723_351_A01,-0.53988945,13.729783
P8S4_190829_351_A01,-0.38467512,13.838235
P8S4_191008_352_A01,-1.6838288,13.881069
P8S4_191011_351_A01,-1.8574752,13.560901
P9S4_171004_404_A01,-0.7460472,14.0472975
P9S4_171113_404_A01,-2.5116265,13.794209
PAS4_190207_455_A01,-1.8539126,14.113838
PAS4_190604_453_A01,-1.812774,14.072082
PAS4_190606_457_A01,-1.421628,13.624123
PAS4_190628_452_A01,-0.6503285,13.868346
PAS4_190628_455_A01,-1.2371761,14.373548
PAS4_190708_452_A01,-1.2589713,15.035049
PAS4_190715_453_A01,-1.6559825,13.540126
PAS4_190725_452_A01,-0.30947566,14.031503
PAS4_190725_455_A01,-1.87153,13.437987
PAS4_190729_452_A01,-0.9598583,14.007217
PAS4_190812_452_A01,-0.8772873,14.2062
PAS4_190919_453_A01,-1.2681383,13.786901
PAS4_191014_455_A01,-0.5205463,14.40619
PAS4_191125_453_A01,-2.0029728,14.184052
PAS4_191125_458_A01,-1.781613,14.112478
PAS4_191205_456_A01,-1.4949284,13.845177
PBS4_171102_503_A01,-1.7442032,13.454418
PBS4_180824_509_A01,-2.278813,14.193349
PBS4_180824_510_A01,-1.3505807,13.553215
PES4_190718_651_A01,-1.5716269,13.584005
PES4_190805_653_A01,-1.131477,14.161674
PES4_190812_651_A01,-2.7458081,13.688014
PES4_190916_651_A01,-1.0374842,13.939111
PES4_191126_656_A01,-1.4805524,13.920494
PES4_201007_652_A01,-1.449933,13.797767
PFS4_181015_706_A01,-0.58811843,14.059109
PFS4_190326_704_A01,-1.318932,14.103163
PFS4_190703_701_A01,-1.912314,13.4358635
PFS4_190708_702_A01,-0.5501719,13.731916
PFS4_190711_707_A01,-1.540732,13.994021
PFS4_190801_701_A01,-2.1497698,14.784246
PFS4_190813_703_A01,-0.8637005,14.190215
PFS4_190819_702_A01,-1.2915459,13.837518
PFS4_190917_705_A01,-1.4845178,13.88441
PFS4_191010_701_A01,-2.9372144,14.876414
PFS4_191011_702_A01,-0.8557068,13.628503
PFS4_191011_703_A01,-0.45739985,14.035861
PFS4_191014_701_A01,-0.7142184,13.874825
PFS4_191203_706_A01,-1.9790275,15.336492
PFS4_200727_702_A01,-1.0965589,14.018878
P8S4_171023_352_A01,-1.9690278,13.02421
PBS4_180829_503_A01,-0.7758696,13.976637
PES4_180828_651_A01,-2.0219018,13.614624
PFS4_191011_701_A01,-0.36928913,13.713444
P8S4_171024_353_A01,-3.3151257,12.699096
PFS4_191122_703_A01,-0.35704726,14.0626335
P9S4_180514_404_A01,-0.8674019,13.759324
PFS4_191126_702_A01,-1.5882767,13.595903
P1S4_190624_002_A01,-2.207915,13.3765955
PFS4_191105_703_A01,-1.3812642,13.679965
PAS4_190716_453_A01,-1.3675649,13.719519
PAS4_190703_453_A01,-0.59244704,13.463462
PES4_191206_653_A01,-1.7951185,13.210648
PAS4_190726_451_A01,-0.70471615,13.693813
P1S4_200116_003_A01,-9.766246,10.455194
P8S4_191122_356_A01,-10.163092,10.641081
P8S4_200114_351_A01,-9.983575,10.398785
P8S4_200114_352_A01,-9.920354,10.46453
P8S4_201002_351_A01,-10.230851,9.822715
P8S4_201002_352_A01,-10.30266,9.986661
PAS4_190730_453_A01,-9.889312,10.944373
PAS4_191029_451_A01,-10.24856,9.597967
PAS4_191121_454_A01,-10.33295,9.799677
PAS4_191122_453_A01,-10.23151,9.784566
PAS4_200819_452_A01,-10.16628,10.192237
PAS4_201005_451_A01,-10.0066595,10.583372
PES4_191029_653_A01,-10.480935,10.2495
PES4_191101_651_A01,-10.192209,10.004119
PES4_191101_653_A01,-10.066512,9.946716
PES4_200114_653_A01,-10.002531,10.113832
PES4_200116_653_A01,-10.355341,9.827239
PES4_200116_654_A01,-9.971822,10.617388
PFS4_191029_701_A01,-10.038677,10.047195
PFS4_191101_702_A01,-10.061462,9.705048
PFS4_200117_701_A01,-10.359724,9.954738
PJS4_201002_801_A01,-10.179502,9.943383
P1S4_190919_004_A01,10.943029,12.464687
P1S4_190920_002_A01,11.037958,11.363967
P8S4_190225_357_A01,11.224469,11.614104
P8S4_190226_356_A01,11.300721,12.161315
P8S4_190226_357_A01,11.432596,11.708311
P8S4_190627_355_A01,11.189912,12.118109
P8S4_190701_352_A01,10.958582,12.4269705
P8S4_190708_353_A01,11.355249,12.061203
P8S4_190709_353_A01,11.531368,11.949782
P8S4_191028_352_A01,10.859897,12.424347
P8S4_191121_356_A01,10.598963,12.189427
P9S4_171102_404_A01,10.777502,11.907091
PAS4_190221_454_A01,10.4129715,12.075112
PAS4_190221_455_A01,10.668531,11.563563
PAS4_190222_452_A01,11.00116,11.860388
PAS4_190222_454_A01,10.842155,12.437767
PAS4_190225_455_A01,10.5329485,11.842345
PBS4_180524_506_A01,10.659777,12.449765
PES4_190221_652_A01,11.20028,12.096191
PES4_190222_651_A01,11.396319,11.654529
PES4_190222_652_A01,10.927326,11.387853
PES4_190225_653_A01,10.704163,11.934151
PES4_190225_654_A01,11.039926,12.061777
PES4_190225_656_A01,10.783431,12.016866
PES4_190226_652_A01,10.766894,11.79067
PES4_190226_653_A01,11.574868,11.9512
PES4_190403_653_A01,10.017136,11.768551
PES4_191008_654_A01,11.0120125,12.33251
PFS4_190221_701_A01,11.080211,12.253183
PFS4_190221_702_A01,11.162458,11.491101
PFS4_190225_705_A01,11.500043,11.637432
PFS4_190225_706_A01,11.008832,11.63792
PFS4_190226_702_A01,11.509214,11.871318
PFS4_190226_703_A01,11.099431,12.173949
PFS4_190905_702_A01,10.942595,12.201375
PFS4_190920_705_A01,10.359486,12.011941
PFS4_191205_702_A01,11.184755,12.118635
PFS4_200803_703_A01,10.856335,12.042371
PJS4_200820_801_A01,11.076441,12.156974
P8S4_190729_352_A01,11.039173,11.719689
P1S4_170717_008_A01,-1.1610438,8.993981
P8S4_171020_354_A01,5.489423,9.826543
P8S4_171031_356_A01,2.6294756,11.306721
P8S4_180508_354_A01,5.759815,9.836805
P8S4_190822_353_A01,5.7057652,11.579671
P9S4_171102_407_A01,4.9685054,9.762876
PAS4_171011_452_A01,-0.62436426,9.115065
PAS4_171030_452_A01,8.368401,12.777443
PAS4_171031_451_A01,2.7952218,10.495576
PAS4_190221_456_A01,7.4874244,10.516492
PAS4_190715_452_A01,0.0444345,9.008346
PES4_190222_653_A01,5.176241,10.004831
PES4_190225_655_A01,8.192388,10.676077
PES4_190703_651_A01,5.773152,10.430419
PES4_191101_652_A01,0.14989668,9.332967
PFS4_190418_703_A01,3.4088156,10.594391
PFS4_191021_702_A01,4.7250257,10.956374
PAS4_171207_454_A01,5.2769003,9.54018
PAS4_190627_453_A01,-0.37010399,8.701723
PAS4_191220_452_A01,4.6846247,10.26651
PFS4_190604_703_A01,7.754703,10.614966
PAS4_190627_455_A01,5.502839,9.927058
P2S4_190221_051_A01,6.3170247,10.22953
P9S4_180410_407_A01,5.1266804,11.259601
PAS4_191119_453_A01,0.49912912,9.735066
P1S4_190716_001_A01,6.535327,9.516253
P8S4_171211_357_A01,5.5403757,9.826419
P8S4_190326_355_A01,5.5597453,9.819809
P8S4_190819_353_A01,4.029816,9.850517
P8S4_190916_354_A01,6.682611,9.616917
P8S4_190917_354_A01,6.110562,9.904478
PAS4_190701_451_A01,4.377863,10.153626
PAS4_190708_457_A01,4.1436996,10.293508
PAS4_190718_454_A01,5.102989,9.9688635
PAS4_191125_451_A01,4.235641,9.781392
PAS4_191125_452_A01,6.2354918,9.833271
PBS4_180409_505_A01,5.595963,9.662736
PES4_190205_655_A01,6.5297265,10.348156
PES4_190604_651_A01,6.235273,10.925455
PES4_190604_652_A01,6.402432,10.415722
PES4_190702_652_A01,6.2717857,10.292869
PES4_190711_656_A01,6.0893745,10.690707
PES4_190715_654_A01,6.2615876,9.799949
PFS4_190702_704_A01,4.329675,10.198721
PFS4_190715_702_A01,4.4168396,10.1853485
PFS4_190718_702_A01,5.3630843,10.655557
PFS4_190903_703_A01,6.379204,10.437544
PFS4_190913_701_A01,5.672294,9.981651
PFS4_190919_704_A01,3.4261043,10.600877
PFS4_191011_706_A01,6.4508777,9.997644
PFS4_191204_701_A01,6.099347,9.873658
PFS4_191204_702_A01,5.577663,10.360065
PFS4_191204_703_A01,3.9790719,10.009334
PFS4_191206_702_A01,5.30377,9.9058485
PFS4_190604_701_A01,4.4231954,10.6402855
P1S4_190221_005_A01,3.9880128,10.413822
PFS4_190906_703_A01,5.844804,10.378776
PFS4_191125_703_A01,4.318068,9.825511
P8S4_170920_356_A01,4.36404,9.707393
PFS4_190709_706_A01,5.0962963,11.017148
PXS4_181220_052_A01,6.1551857,10.383568
P1S4_170719_009_A01,5.021403,12.276187
P1S4_190509_001_A01,3.5445158,12.218909
P1S4_190716_002_A01,5.2790403,11.66258
P1S4_190718_001_A01,3.8192127,12.735593
P1S4_190912_001_A01,5.0018964,11.692488
P1S4_191205_002_A01,4.567466,11.620793
P8S4_171023_353_A01,4.9657726,12.712645
P8S4_180827_355_A01,5.461982,11.934332
