,met_type
1039273993,5
823218199,2
893366298,8
922742835,7
992219189,6
763994181,7
1010970692,5
912289883,0
899711102,6
642777215,13
646836355,15
1036259470,5
965591192,15
914432180,5
764477652,6
908894436,3
989163765,10
640106757,13
970080520,9
1010692386,5
853618984,3
990548306,7
853692765,4
950034792,0
908669318,2
998064533,2
893354404,5
819950000,6
919699890,0
699818438,3
973832650,14
841871826,6
969200089,8
962105846,7
1036186120,5
965771797,4
962261526,0
961114647,9
645354028,6
914354735,2
841888315,1
645530172,13
947139142,8
681931335,11
921637459,7
927797864,3
698675821,9
1000612469,14
896053888,7
903864968,3
681636493,2
739840659,0
847876759,0
644821657,2
845402780,1
863515305,4
893371082,3
989479628,14
716309237,4
954032889,0
902255361,11
863478540,4
904725260,3
986895113,5
681419547,11
984056604,5
820060969,8
639910703,13
990229295,2
833872706,1
823083861,2
896619350,8
947344218,0
851542876,3
681939807,6
902140767,3
646177634,9
705839974,0
901440363,2
837673842,7
1035989877,5
910287738,3
698676093,9
827638657,10
925242241,0
612410245,6
948302732,1
963019667,0
650331035,5
603902877,6
681554845,6
740410280,15
863404974,3
829305793,10
948126701,13
990213121,2
1000625161,14
698700813,7
910287886,4
941552661,3
880772136,2
652960852,2
740373591,0
989369441,5
889271408,0
947496055,0
695440507,2
983975050,5
948429967,13
990606480,7
644818070,11
902284440,3
673387671,11
698668188,9
864068767,3
901424290,6
970683578,7
792687812,13
680973517,13
914412754,0
959190247,9
643798256,13
863483123,5
948360440,1
973792505,14
603337985,13
640111874,13
904832267,0
961238285,9
945796367,2
612402470,6
992408868,11
989164849,14
916620597,2
952669499,0
961238333,16
736499017,7
887207252,6
912868696,0
914265453,5
717313398,13
644953476,3
645834123,12
913716620,10
603481505,2
992441763,7
695424422,1
919979431,7
716596648,6
916473265,2
1034933680,5
642999751,1
950265290,10
919102928,0
913765840,12
961226203,9
851580386,3
697525735,7
922613228,0
917624301,7
945063428,2
1043809804,5
702023186,10
982582806,5
863450651,3
645453340,6
954066469,0
645379626,9
1010677295,5
640026162,15
961230415,9
945833568,11
912889454,0
891594369,0
912340608,0
741213831,7
898881170,0
912918179,0
940783281,2
897009330,1
661513942,8
903853784,4
829298408,10
610440978,5
811341605,3
904935208,3
907429679,2
733620016,5
1006380866,5
637380444,2
882763615,2
906532711,12
724539260,3
942307202,3
656721795,6
1010976652,5
942421907,3
716793760,15
917657507,15
605493156,2
645453746,6
652789704,6
863418322,3
645363692,2
886474771,3
645834778,10
644933664,0
661481525,0
882198617,7
970078299,5
825436260,6
645449840,1
640006296,0
847902873,6
966473885,3
742717602,4
965535967,8
934844641,8
712153315,9
644827374,1
919091442,7
653195521,3
915441937,7
681400617,1
904948028,3
893401406,12
1035970888,5
697538916,7
681912683,2
891558275,7
652544407,1
908675487,8
975325599,14
910375338,0
961104301,9
971708843,8
916490671,15
908855729,3
895740352,2
827873742,2
826780116,10
741206508,8
904690163,4
880871943,1
1006389773,5
1039243792,5
825002523,13
828885535,10
610400799,5
975477315,14
912329296,7
926866005,0
917588572,7
982542941,5
604527243,6
904862358,0
827968165,2
992021164,2
971586225,12
644864693,11
637414095,6
895580896,2
990350059,1
673643261,11
990354179,2
681937682,6
973384481,10
740305711,7
895548208,12
977029946,5
742734652,2
681405248,2
895740736,0
867650384,0
644836206,2
971647853,16
823024502,2
961846146,4
985869192,4
638806925,11
904731534,3
1000110992,14
984034203,5
712145820,9
645807027,2
701074357,9
935046071,0
824990654,13
895609799,0
651041745,6
701074400,9
962821095,0
915479566,0
811375643,3
898559010,0
841882659,7
932678695,3
680954928,0
642763833,6
988957754,5
839584863,5
765881445,8
841817193,3
912063608,3
828894369,10
927833265,0
914250949,4
826830025,10
644832461,7
645913812,2
992394456,6
824937690,0
971517180,7
948366592,7
1036061965,5
639827216,11
982658324,5
978607419,5
983928133,5
966819173,16
603229579,1
907337101,4
841866643,1
648093076,6
764497316,5
989502887,14
794963377,8
828890584,1
811355609,4
902000094,3
966819294,8
912301547,0
963063283,0
841854478,2
698658322,9
681639459,2
929533489,0
936001075,0
971546167,10
907460164,3
975429194,1
652959315,6
740318831,8
711573106,6
907357811,3
604098167,2
827903615,2
701075085,7
884596365,8
601628311,12
970079895,5
922562221,8
903814839,3
850968263,12
989351643,5
1039503078,5
935214823,3
975392497,14
899424012,8
899452696,12
899583778,0
972447551,8
824909637,0
903831367,4
908894026,3
983936858,9
929406809,4
962355052,0
742023028,8
1010970495,4
924610453,0
950075297,0
948318130,7
969301940,8
829296573,10
990236615,2
958619600,9
864030679,4
706461666,0
826765287,10
628756464,6
643002356,1
902029302,3
831254527,3
