specimen_id,x,y,depth,structure,in_allowed_region,top_struct,top_in_allowed_region
601628311,7835.063002356864,11287.961891303357,562.5731686155384,VISpm5,True,VISpm1,True
603229579,5636.584216627476,10875.639095703556,535.8870206180852,VISp5,True,VISp1,True
603337985,6487.718903819297,11639.18126021377,481.5616876477993,VISp5,True,VISp1,True
603481505,6091.288651734308,11406.91314740817,516.5335095196745,VISp5,True,VISp1,True
603511210,5709.070021310508,10885.283806113868,462.5751972657891,VISp5,True,VISp1,True
603902877,6119.969267701228,10791.841689380135,487.9694050572823,VISp5,True,VISp1,True
604098167,6521.592563331646,10752.544560361273,478.230219560544,VISp5,True,VISp1,True
604527243,6377.395892035525,10517.194776605556,496.32460778147697,VISp5,True,VISp1,True
605493156,6877.363457995098,11050.464372975784,522.3421803035078,VISp5,True,VISp1,True
610400799,7548.960264527694,11452.13301183978,911.0000968464946,VISp6b,True,VISp1,True
610440978,5268.425583199838,11241.923963934754,911.5386604617336,VISp6b,True,VISp1,True
612402470,6247.462274445071,10618.170590154306,454.63185801898345,VISp5,True,VISp1,True
612410245,6879.826072875996,10767.863639080253,464.14760653663865,VISp5,True,VISp1,True
623328910,6776.394067042234,10886.472420962726,495.3981511913976,VISp5,True,VISp1,True
623331789,5988.129071983957,10674.609542770122,496.37684371277123,VISp5,True,VISp1,True
628545731,6673.463099344892,10601.316710455827,481.15339777885225,VISp5,True,VISp1,True
628561242,6354.562347716672,10457.834906199005,484.99584061583414,VISp5,True,VISp1,True
628633713,6065.998539770033,10378.469290275536,469.7231194090891,VISp5,True,VISp1,True
628756464,6502.919204957649,10995.646538601895,528.4267533534586,VISp5,True,VISp1,True
628802839,5511.886427370131,11682.295289716865,376.28222650397134,VISp4,True,VISp1,True
636784746,7522.5353899213505,11018.953269590602,759.1742538899241,VISp6a,True,VISp1,True
636835010,6458.461031440005,10930.460263403915,793.4620749555825,VISp6a,True,VISp1,True
636851021,6944.3937715236825,11029.70769493571,710.8806695272402,VISp6a,True,VISp1,True
637380444,6893.61405351615,10493.52822672592,621.889778230216,VISp5,True,VISp1,True
637380781,6491.62594622505,10393.639540429906,623.0959060251034,VISp5,True,VISp1,True
637383404,7839.226812915757,10713.950304974622,552.3363571258517,VISpm5,True,VISpm1,True
637385119,7114.236562556393,10149.926785485855,426.7654656248882,VISp4,True,VISp1,True
637394306,6528.149158733603,11069.088691169258,504.4896763204031,VISp5,True,VISp1,True
637414095,7707.6296526315655,10299.962363849592,479.604394108662,VISpm5,True,VISpm1,True
637848035,6318.047390902006,10684.311932460094,899.4738119276398,VISp6b,True,VISp1,True
638211495,6707.565162703021,10429.149583986216,376.88817945232984,VISp4,True,VISp1,True
638223032,6871.975885743548,10453.042947848437,367.7915820292647,VISp4,True,VISp1,True
638228854,7610.811457348807,10639.624848500502,338.2467761230431,VISpm4,True,VISpm1,True
638322521,5055.13532687787,10442.244888959893,380.8830566689214,VISl4,True,VISl1,True
638806925,4630.948089931854,10751.279280698318,478.22090509270157,VISl5,True,VISl1,True
638813221,5650.38272768426,11267.450251716973,376.12844347527664,VISp4,True,VISp1,True
638831018,6977.834239763257,9968.469744912505,453.47835798968913,VISp5,True,VISp1,True
