,pval,pval_adj
L2/3 IT,0.9938,0.9938
L4 IT,0.62035,0.8642538461538463
L4/L5 IT,0.19405,0.5498083333333333
L5 IT-1,0.59055,0.8642538461538463
L5 IT-2,0.10385,0.5285299999999999
L5 IT-3 Pld5,0.4653,0.79101
L6 IT-1,0.6609,0.8642538461538463
L6 IT-2,0.1293,0.5285299999999999
L6 IT-3,0.81475,0.9233833333333333
L5/L6 IT Car3,5e-05,0.0008500000000000001
L5 ET-1 Chrna6,0.75625,0.9183035714285714
L5 ET-2,0.30675,0.65184375
L5 ET-3,0.98205,0.9938
L5 NP,0.2771,0.65184375
L6 CT-1,0.39255,0.7414833333333334
L6 CT-2,0.15545,0.5285299999999999
L6b,0.0812,0.5285299999999999
