"","x"
"1","Rrad"
"2","Baz1a"
"3","Shroom3"
"4","Tnfaip6"
"5","Fosb"
"6","Inhba"
"7","Fosl2"
"8","Layn"
"9","Csrnp1"
"10","Fos"
"11","Tiparp"
"12","Adcyap1"
"13","Gpr3"
"14","Sox9"
"15","Cd68"
"16","Npas4"
"17","Cbr3"
"18","Chst12"
"19","Tox3"
"20","Zfp811"
"21","Thap3"
"22","Paqr7"
"23","Fst"
"24","Cdh13"
"25","Col23a1"
"26","Cpne7"
"27","Nos1"
"28","Met"
"29","Tenm1"
"30","Neurod6"
"31","Agmat"
"32","Cpne9"
"33","Igfn1"
"34","Igfbp7"
"35","S100a6"
"36","Wnt10a"
"37","Tmem215"
"38","Etl4"
"39","Etnk2"
"40","Lrrtm2"
"41","Clec18a"
"42","Lynx1"
"43","Serpinb8"
"44","Plekha4"
"45","Slc23a3"
"46","Abracl"
"47","Gpr83"
"48","Wisp1"
"49","Pou3f1"
"50","Golm1"
"51","Abcc4"
"52","Cd7"
"53","Rassf3"
"54","Rasd2"
"55","Col5a1"
"56","Arhgef15"
"57","Tuba8"
"58","Npy5r"
"59","Sptbn5"
"60","Gpr68"
"61","Zfp825"
"62","Trim66"
"63","Zfpm1"
"64","Sema6d"
"65","Lrrc55"
"66","Otud7b"
"67","Pcdh8"
"68","Lypd1"
"69","Otof"
"70","Meis2"
"71","Nov"
"72","Mas1"
"73","Ngb"
"74","Myh7"
"75","Dgkb"
"76","Rgs8"
"77","Cntnap5a"
"78","Ptgs2"
"79","Gm13889"
"80","Npnt"
"81","Pcdh19"
"82","Rasl11a"
"83","Wfs1"
"84","Glra3"
"85","Chrm3"
"86","Gm10421"
"87","Trp53i11"
"88","Gm31740"
"89","6330403A02Rik"
"90","Gm12371"
"91","Rgs6"
"92","Syt17"
"93","Zcchc12"
"94","Gm30529"
"95","Rasd1"
"96","Igsf11"
"97","Gadd45g"
"98","Rps6ka2"
"99","Bcl6"
"100","Dscaml1"
"101","Rasl10a"
"102","Mdga1"
"103","Iqgap2"
"104","Kctd12"
"105","Necab2"
"106","Plk5"
"107","Arhgef28"
"108","Arid5a"
"109","Stard8"
"110","Rorb"
"111","Rspo1"
"112","Grik1"
"113","Whrn"
"114","Zmat4"
"115","Cnih3"
"116","Pamr1"
"117","C030013G03Rik"
"118","Coch"
"119","Dkkl1"
"120","Pcp4"
"121","Hs3st4"
"122","Cadps2"
"123","Thsd7a"
"124","Ptchd4"
"125","Chrm2"
"126","Boc"
"127","Nell1"
