,PC1,PC2
698237160,-4.514646456388025,-7.011210862202973
970080520,-5.979093138639001,-4.916451373721615
645902724,-11.681674948519655,3.245629041093571
961114647,-6.976286669395109,-2.733815226366027
961241673,-7.080755650630022,-7.346343959112516
698675821,-8.628975305533716,-5.532731423021694
646177634,5.857022748519992,3.5498754793297174
698676093,-10.813031546677767,-1.5496234702309883
961242231,-6.728432256808463,-0.9151336053347529
698668188,11.71697474177192,-3.491019257111746
961131679,-7.197091585105315,-2.7962070193601822
959190247,-8.810972077027756,-0.0624769643217806
961238285,-8.780048800887439,-1.46128017796203
961226203,-1.0618590526439105,5.486897190241236
645379626,-2.7026083241624996,-0.7132782367812265
961230415,-3.5095112272307922,-0.8195906281688417
958953064,-6.180136358748057,-3.1126147089209564
1055393423,-5.06535723058757,-4.474758455720799
1043798071,-3.7098454874565694,-2.8514339531507127
712153315,-7.475587371442378,-1.629448762633426
961096044,-11.585600494580717,-2.4783457191990497
961104301,-8.651531194903104,0.5141485296828371
899512791,-9.398607097949775,-3.183543805840494
1041329016,-5.541997509321284,2.6064108598614104
712145820,-2.925589567708473,-6.037267864325436
701074357,-7.618910041232149,-4.137041148643624
701074400,-9.651908029572684,-5.26841614708872
1055390869,9.659881680529853,-3.844029605629426
696958105,-6.691420202921536,-5.282803738508578
1040452915,-6.1039509616969845,2.122748961796167
961109466,-7.299223205136713,-2.819694757978296
698658322,-3.0236089031647864,-0.6796596542605801
961118012,-6.624256970667273,-7.15209858488762
983936858,-9.668505084228434,-2.768129238341223
958619600,-8.078504182844467,-0.896489335172674
