"","log2Gene","ME4 Habp4"
"LS-14690_S02_E1-50",0.0451831934702334,-7.98766861755313
"LS-14690_S03_E1-50",-0.0110624369467747,-8.99089243967771
"LS-14690_S05_E1-50",0.0182630287822274,-10.0851165349369
"LS-14690_S06_E1-50",0.0537716724261976,-7.93305094996089
"LS-14690_S07_E1-50",-0.0901849535148571,-10.0851702719822
"LS-14690_S08_E1-50",0.215752267532173,-9.80890958013959
"LS-14690_S09_E1-50",-0.10941750892535,-10.6792371834067
"LS-14690_S10_E1-50",-0.259495998621546,-10.0587757774806
"LS-14690_S11_E1-50",0.23126998936878,-10.5102376692494
"LS-14690_S12_E1-50",-0.0681558903435313,-12.3798053619281
"LS-14690_S13_E1-50",0.00827073580993876,-12.2057871461353
"LS-14690_S14_E1-50",0.156870843738316,-5.57809573779682
"LS-14690_S15_E1-50",0.0996371128739462,-6.86680731527206
"LS-14690_S16_E1-50",0.24835035490476,-6.52258939166623
"LS-14690_S17_E1-50",-0.138849881077066,-8.44927778416393
"LS-14690_S18_E1-50",-0.0452230360484727,-12.8697246884995
"LS-14690_S19_E1-50",-0.114219724479948,-12.3238833136179
"LS-14690_S20_E1-50",0.127599337470492,-9.07367813796533
"LS-14690_S21_E1-50",-0.22312870295492,-10.6527458898639
"LS-14690_S22_E1-50",-0.273476906493343,-13.0894097044826
"LS-14690_S23_E1-50",-0.0091690231511965,-10.6834600407117
"LS-14690_S24_E1-50",-0.258677796392957,-6.77428689744384
"LS-14690_S25_E1-50",-0.267292151204558,-11.5682575380424
"LS-14690_S26_E1-50",0.00588948903348552,-5.93339668235858
"LS-14690_S27_E1-50",-0.709393737783614,-14.2624398885937
"LS-14690_S28_E1-50",0.164516304349174,-7.80049981782726
"LS-14690_S29_E1-50",-0.161229456277137,-6.52515743267459
"LS-14690_S30_E1-50",-0.17235816053147,-10.6981923306347
"LS-14690_S31_E1-50",0.193354557496312,-9.11464228353977
"LS-14690_S32_E1-50",-0.00247596331533018,-10.9544875342512
"LS-14690_S33_E1-50",-0.084917980183846,-8.03831371422724
"LS-14690_S34_E1-50",0.0871406201731055,-8.0963435700961
"LS-14690_S35_E1-50",0.116605527155045,-7.92119638380928
"LS-14690_S36_E1-50",0.206449764847124,-12.201651861054
"LS-14690_S37_E1-50",0.240559003613917,-7.70463313482784
"LS-14690_S38_E1-50",0.17424374139275,-10.5402372830887
"LS-14690_S39_E1-50",-0.215368515070628,-12.0457565148304
"LS-14690_S40_E1-50",0.225872367772253,-7.61883251540144
"LS-14690_S41_E1-50",0.352559845759259,-4.95299594866582
"LS-14690_S42_E1-50",0.0219713251222782,-7.00908121262878
"LS-14690_S43_E1-50",0.226018515271834,-8.78895316635794
"LS-14690_S44_E1-50",0.277692385004054,-6.08689502643986
"LS-14690_S45_E1-50",-0.699922448429703,-18.4227024899824
"LS-14690_S46_E1-50",-0.337907785814467,-9.18695152637017
"LS-14690_S47_E1-50",0.17348614276121,-10.6487247305593
"LS-14690_S48_E1-50",0.223824746729774,-6.63018469281647
"LS-14690_S57_E1-50",0.100115592246267,-7.648289670517
"LS-14690_S58_E1-50",-0.356607636694365,-10.0444400223143
"LS-14690_S59_E1-50",-0.100043955715581,-8.16751351921533
"LS-14690_S60_E1-50",-0.398350571361327,-10.8153635745912
"LS-14690_S61_E1-50",-0.201150764778037,-10.8819760077227
"LS-14690_S62_E1-50",-0.0656493458345793,-7.47627729501409
"LS-14690_S63_E1-50",0.0834349968347414,-2.39715280106631
"LS-14690_S64_E1-50",-0.30248411938817,-15.8526259880224
"LS-14690_S65_E1-50",-0.122383144126402,-6.45372593280365
"LS-14690_S66_E1-50",-0.234345047427171,-13.0580439941864
"LS-14690_S67_E1-50",-0.390263190875604,-9.32999953359829
"LS-14690_S68_E1-50",-0.212791034067376,-12.6343264495681
"LS-14690_S69_E1-50",0.235776824924587,-5.93353417092605
"LS-14690_S70_E1-50",0.0712848909897232,-8.08543725312392
"LS-14690_S71_E1-50",-0.468987728867836,-7.76510898993233
"LS-14690_S72_E1-50",-0.158746824711878,-10.2751529783345
"LS-14690_S73_E1-50",-0.346140637643297,-9.7414848430596
"LS-14690_S74_E1-50",-0.246054643247779,-3.42514241012881
"LS-14690_S75_E1-50",0.189162849541317,-6.35558505947345
"LS-14690_S76_E1-50",0.153340280084494,-6.86902138037414
"LS-14690_S77_E1-50",0.0360432415443075,-9.45260061170276
"LS-14690_S78_E1-50",-0.288220661714115,-10.4722056610604
"LS-14690_S79_E1-50",-0.0760620730144606,-10.8117209704982
"LS-14690_S80_E1-50",-0.319020702083595,-4.73949214301292
"LS-14690_S81_E1-50",-0.399477412815855,-6.77468697477029
"LS-14690_S82_E1-50",0.120384278740353,-4.28896599139822
"LS-14690_S83_E1-50",-0.0717442395156489,-7.22661160562467
"LS-14690_S84_E1-50",-0.344620525319892,-11.5320397261125
"LS-14690_S85_E1-50",-0.0811159329486859,-12.137202083843
"LS-14690_S86_E1-50",-0.0127858812335493,-6.51637308523077
"LS-14690_S87_E1-50",-0.20390437578064,-7.1330939937836
"LS-14690_S88_E1-50",0.150417196623632,-9.40416847141867
"LS-14690_S89_E1-50",-0.368033243492139,-10.3714154306233
"LS-14690_S90_E1-50",-0.0531815333176944,-13.4761079744226
"LS-14690_S91_E1-50",0.037542838072234,-10.9893610852564
"LS-14690_S92_E1-50",-0.129844733248822,-12.8989530125208
"LS-14690_S93_E1-50",-0.0896392016487351,-12.4667867615274
"LS-14690_S94_E1-50",-0.253167035486667,-9.54751684305609
"LS-14690_S95_E1-50",0.0189379738429061,-6.62289759462337
"LS-14690_S96_E1-50",0.134778492471209,-5.53766171246146
"LS-14692_S01_E1-50",0.216782186018238,-11.1008933535424
"LS-14692_S02_E1-50",-0.118110140430888,-9.50861857453488
"LS-14692_S03_E1-50",-0.15303392769728,-8.84335807522343
"LS-14692_S04_E1-50",-0.086187559156496,-14.680982147584
"LS-14692_S05_E1-50",0.0549239190829436,-14.3921757762222
"LS-14692_S06_E1-50",-0.0313567685608671,-9.49303644158201
"LS-14692_S07_E1-50",0.0834349968347414,-11.4905342963245
"LS-14692_S08_E1-50",0.0873015185216666,-10.3748072337246
"LS-14692_S09_E1-50",0.110127174811829,-8.66186796344635
"LS-14692_S10_E1-50",0.203038610758281,-11.0202896684105
"LS-14692_S11_E1-50",0.0455144667302179,-16.0106768805722
"LS-14692_S12_E1-50",0.206597893092122,-2.32946867890267
"LS-14692_S13_E1-50",0.101072075181339,-8.24537984352926
"LS-14692_S14_E1-50",-0.0590457941911477,-10.7322537983396
