Cell ID,Genotype,Reporter,MET-type,Morphology (manual),Morphology (auto)
823231829,Glt25d2-Cre_NF107/wt;Ai14(RCL-tdT)/wt,tdt+,L2/3 IT,False,False
893406540,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,tdt+,L2/3 IT,False,False
896877084,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,tdt+,L2/3 IT,False,False
922597220,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,tdt+,L2/3 IT,False,False
740373591,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,tdt+,L2/3 IT,True,False
716853260,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,tdt+,L2/3 IT,False,False
973383317,Glt25d2-Cre_NF107/wt;Ai14(RCL-tdT)/wt,tdt+,L2/3 IT,False,False
889271408,Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt,tdt-,L2/3 IT,True,False
912275105,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,tdt+,L2/3 IT,False,False
912918179,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,tdt-,L2/3 IT,True,False
926866005,Slc17a6-IRES-Cre/wt;Ai14(RCL-tdT)/wt,tdt+,L2/3 IT,True,False
935046071,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,tdt+,L2/3 IT,True,False
936001075,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,tdt+,L2/3 IT,True,False
953065561,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,tdt+,L2/3 IT,False,False
924610453,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,tdt+,L2/3 IT,True,False
992441737,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,tdt+,L2/3 IT,False,False
994015825,Sncg-IRES2-FlpO-neo/wt;Ai65F/wt,tdt-,L2/3 IT,False,False
915479566,Slc17a6-IRES-Cre/wt;Ai14(RCL-tdT)/wt,tdt+,L2/3 IT,True,False
649505836,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,tdt+,L2/3 IT,False,False
912301547,Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,tdt+,L2/3 IT,True,False
912953077,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,tdt-,L2/3 IT,False,False
