region,AICc,logLik,model_type
ipsi_LGv,32.516406492972976,-15.158203246486487,null
ipsi_LP,31.04119805166128,-14.42059902583064,null
ipsi_LGd-co,29.72161982792521,-13.760809913962605,null
ipsi_RT,32.516406492972976,-15.158203246486487,null
ipsi_LGd-sh,32.69847594463759,-15.249237972318795,null
ipsi_IGL,27.981915205356238,-12.89095760267812,null
ipsi_LGd-ip,27.981915205356234,-12.890957602678117,null
ipsi_LGv,34.43767169913579,-12.042365261332602,surface
ipsi_LP,39.19413922813187,-14.42059902583064,surface
ipsi_LGd-co,33.01839835767169,-11.332728590600551,surface
ipsi_RT,35.99294716419623,-12.820002993862824,surface
ipsi_LGd-sh,37.200660719773154,-13.423859771651284,surface
ipsi_IGL,33.01952337176681,-11.333291097648111,surface
ipsi_LGd-ip,32.26763720956341,-10.95734801654641,surface
ipsi_LGv,33.029076762325765,-11.338067792927589,lf
ipsi_LP,25.96456090107631,-7.805809862302861,lf
ipsi_LGd-co,37.87456100439581,-13.760809913962609,lf
ipsi_RT,40.66934766944356,-15.158203246486488,lf
ipsi_LGd-sh,40.8371211395085,-15.242089981518955,lf
ipsi_IGL,32.74448878138652,-11.195773802457966,lf
ipsi_LGd-ip,36.12869775103666,-12.887878287283037,lf
ipsi_LGv,43.554775688486984,-10.77738784424349,full
ipsi_LP,34.84468938399933,-6.4223446919996645,full
ipsi_LGd-co,43.812182940924345,-10.906091470462174,full
ipsi_RT,47.74789954088453,-12.873949770442268,full
ipsi_LGd-sh,46.46509012595517,-12.232545062977588,full
ipsi_IGL,42.41875183575078,-10.209375917875393,full
ipsi_LGd-ip,44.06114107462648,-11.03057053731324,full
