region,(Intercept),model_type,surface_ccf_x,surface_ccf_y,surface_ccf_z,LF1_L23_IT
ipsi_VISam,-1.3862943611196867,null,NA,NA,NA,NA
ipsi_VISpm,-1.3862943611196865,null,NA,NA,NA,NA
ipsi_VISrl,-0,null,NA,NA,NA,NA
ipsi_VISl,-0.8472978603860334,null,NA,NA,NA,NA
ipsi_VISal,-0.8472978603860338,null,NA,NA,NA,NA
ipsi_VISa,-1.3862943611196865,null,NA,NA,NA,NA
ipsi_VISam,-1.3515841368852868,surface,-3.889390555086121e-6,-7.275052821657989e-6,2.065085888956556e-6,NA
ipsi_VISpm,-0.44423041974426347,surface,-1.235399407222173e-4,-2.9612375462932937e-4,1.3931011104180544e-4,NA
ipsi_VISrl,35.33477005389092,surface,-0.0033529509150660775,0.0012997981082309108,-0.002478324559536773,NA
ipsi_VISl,-3.1022371287258377,surface,2.701142875837037e-4,7.421320315936427e-4,-2.803600871503645e-4,NA
ipsi_VISal,2.849804153543942,surface,-1.5860372901029278e-4,0.001878723265172928,-0.0014492068986809872,NA
ipsi_VISa,2.1433314716534495,surface,-5.007326027959043e-4,-9.33273841714267e-4,5.611735939662917e-4,NA
ipsi_VISam,-1.4666073998882734,lf,NA,NA,NA,-0.48412651291908276
ipsi_VISpm,-1.3571437795205485,lf,NA,NA,NA,-0.11504776604502515
ipsi_VISrl,-0.05177354308270084,lf,NA,NA,NA,0.1312467537258797
ipsi_VISl,-0.9522839364537206,lf,NA,NA,NA,0.19237699828201363
ipsi_VISal,-0.8366274150230392,lf,NA,NA,NA,-0.02909539585442985
ipsi_VISa,-1.354399148899681,lf,NA,NA,NA,-0.15175535343170998
ipsi_VISam,-0.8907379231512214,full,-5.433572234729973e-5,-9.922156634161188e-5,2.687790153625311e-5,-0.021885459119121285
ipsi_VISpm,-0.43000308974452917,full,-1.2437119778223457e-4,-2.967394147619668e-4,1.390869585750403e-4,-0.014909902700595086
ipsi_VISrl,35.40720870180542,full,-0.0033615564367999607,0.0013363747638781606,-0.0025119881780028778,0.11068893944967423
ipsi_VISl,-3.474120638707001,full,3.0789162788268716e-4,8.316753978982125e-4,-3.050134644747067e-4,0.060651316827772056
ipsi_VISal,-0.012595627595655912,full,1.7787191546994884e-5,8.37005276824431e-4,-6.189495009440876e-4,-0.005002347387850235
ipsi_VISa,1.8684682673976445,full,-4.533479357225693e-4,-8.528010497716609e-4,5.00335496449604e-4,-0.05921122507322463
