region,(Intercept),model_type,surface_ccf_x,surface_ccf_y,surface_ccf_z,LF1_L6_CT,LF2_L6_CT,LF3_L6_CT
ipsi_LGv,-0.18232155651733745,null,NA,NA,NA,NA,NA,NA
ipsi_LP,-0.5596157879354039,null,NA,NA,NA,NA,NA,NA
ipsi_LGd-co,0.7621400520463977,null,NA,NA,NA,NA,NA,NA
ipsi_RT,-0.18232155651733745,null,NA,NA,NA,NA,NA,NA
ipsi_LGd-sh,4.734006883291519e-16,null,NA,NA,NA,NA,NA,NA
ipsi_IGL,-0.9808292530091464,null,NA,NA,NA,NA,NA,NA
ipsi_LGd-ip,-0.9808292530091468,null,NA,NA,NA,NA,NA,NA
ipsi_LGv,-0.40968738089893314,surface,-9.645230846472132e-4,0.0017591966883491374,0.002571744392510151,NA,NA,NA
ipsi_LP,-0.5596157879354227,surface,1.6948309646983673e-40,1.229681450536111e-40,1.2055467375188561e-40,NA,NA,NA
ipsi_LGd-co,-1.973748371380011,surface,3.551352234065425e-4,9.252283839613102e-4,-4.566782833215152e-4,NA,NA,NA
ipsi_RT,6.5225486631239855,surface,-4.965042130569647e-4,3.310911380495183e-4,-8.462696946740808e-4,NA,NA,NA
ipsi_LGd-sh,1.52192140780772,surface,-5.746363495997692e-6,4.4514260763740143e-4,-6.514412476182017e-4,NA,NA,NA
ipsi_IGL,1.8553553159963234,surface,-3.787079890377007e-4,-5.235216483590254e-4,3.745069315865292e-4,NA,NA,NA
ipsi_LGd-ip,1.4880337660238985,surface,1.838138677585455e-5,4.4210691163791387e-4,-0.0010858446121513746,NA,NA,NA
ipsi_LGv,-0.9457329637762737,lf,NA,NA,NA,-0.25504399930777955,0.08818609936834215,-0.4872469089585679
ipsi_LP,-0.7570288084191725,lf,NA,NA,NA,0.07829770003748988,-1.3113605049898982,0.238812664840505
ipsi_LGd-co,0.7621400520468965,lf,NA,NA,NA,-4.0514385583457897e-38,3.3594724201441535e-38,9.54955981815174e-38
ipsi_RT,-0.18232155679395481,lf,NA,NA,NA,2.278395427849747e-38,3.0446641102714993e-38,1.0481532218669554e-37
ipsi_LGd-sh,1.8363893061015019e-4,lf,NA,NA,NA,-4.0920365095348346e-4,5.536458601679649e-4,9.643296055630706e-4
ipsi_IGL,-1.1580970898551821,lf,NA,NA,NA,-0.12197542574343948,0.14691181820225113,0.04730186859102583
ipsi_LGd-ip,-0.9800491319573532,lf,NA,NA,NA,1.071935926712934e-4,-4.2075078449204344e-4,8.795361473715223e-4
ipsi_LGv,0.13299912661037538,full,-2.451648466841994e-4,-4.439741467963426e-4,6.48144736241095e-4,-0.17290004540873008,0.037621489864458235,-0.29815608410358957
ipsi_LP,-11.597826956388536,full,6.223645393946732e-4,4.312666946160014e-4,0.0016671045737977248,0.09645802313339322,-1.3377040243517588,0.3849268325747889
ipsi_LGd-co,-1.631374777800417,full,3.073359189446631e-4,7.168804606643609e-4,-3.621092949333842e-4,-0.06649632161373537,0.030493702275590416,0.13074165653601325
ipsi_RT,5.026921392538092,full,-3.751555325598677e-4,2.729269962065886e-4,-6.451146125849991e-4,0.032182701045225456,0.041487045205381344,0.12636506782707152
ipsi_LGd-sh,1.8976055093543487,full,2.0664771036257215e-6,5.072953704825982e-4,-8.368269630053938e-4,-0.0830972299244975,0.07027071804168937,0.12811780507284506
ipsi_IGL,1.0196418561557692,full,-2.7266401641346075e-4,-4.459572125727469e-4,2.621936844448602e-4,-0.10169738942248431,0.12356241862738782,0.05125722231677317
ipsi_LGd-ip,0.45133064401606826,full,3.3197338588400895e-5,4.013534647404901e-4,-7.179372454298273e-4,0.003454461781213886,-0.07478584600204141,0.13814555303158263
