region,(Intercept),model_type,surface_ccf_x,surface_ccf_y,surface_ccf_z,LF1_L4_L5_IT,LF2_L4_L5_IT
ipsi_VISl,-0.060624621816302,null,NA,NA,NA,NA,NA
ipsi_VISal,-1.5040773967762695,null,NA,NA,NA,NA,NA
ipsi_VISli,-1.7227665977411033,null,NA,NA,NA,NA,NA
ipsi_VISrl,-0.980829253009146,null,NA,NA,NA,NA,NA
ipsi_VISpl,-1.5040773967762695,null,NA,NA,NA,NA,NA
ipsi_VISpor,-1.3121863889654486,null,NA,NA,NA,NA,NA
ipsi_RSPd,-0.8329091229340712,null,NA,NA,NA,NA,NA
ipsi_VISpm,-0.06062462181630212,null,NA,NA,NA,NA,NA
ipsi_VISam,-1.1394342831856377,null,NA,NA,NA,NA,NA
ipsi_VISa,-1.5040773967762695,null,NA,NA,NA,NA,NA
ipsi_RSPagl,-0.832909122934071,null,NA,NA,NA,NA,NA
ipsi_MOs,-1.1394342831856377,null,NA,NA,NA,NA,NA
ipsi_CP,-0.832909122934071,null,NA,NA,NA,NA,NA
ipsi_ACAd,-1.5040773967762695,null,NA,NA,NA,NA,NA
contra_VISp,-1.1394342831856379,null,NA,NA,NA,NA,NA
ipsi_VISl,-2.8181879350197296,surface,3.332071134955929e-4,5.090657402891098e-4,-1.9215276003073758e-4,NA,NA
ipsi_VISal,-1.5040773967762742,surface,-8.346337147867543e-41,-9.257491583417064e-41,-3.8753155960138525e-41,NA,NA
ipsi_VISli,-1.7227665977411035,surface,-8.690515999326003e-41,1.8245270472887667e-42,2.76808256858132e-41,NA,NA
ipsi_VISrl,28.097981264950132,surface,-0.002777002467150857,-4.951001703652503e-4,-0.0016834552975413671,NA,NA
ipsi_VISpl,-20.088647050607428,surface,0.0012407652990606823,0.0019091067277708482,0.001993455203888541,NA,NA
ipsi_VISpor,-4.379028704828569,surface,2.9659834241762086e-4,4.23221483692732e-4,3.586290351174374e-5,NA,NA
ipsi_RSPd,1.0485610482030367,surface,-2.2943185911746718e-4,-3.6992655660936084e-4,1.3735689760863292e-4,NA,NA
ipsi_VISpm,10.038396718275646,surface,-0.0015837717727640787,-0.002054174936224599,0.0017330905986816427,NA,NA
ipsi_VISam,22.500569518573226,surface,-0.0026462119572253145,-8.280349679692308e-4,-1.7557405297489176e-4,NA,NA
ipsi_VISa,26.48226115996694,surface,-0.003372676192684901,-9.815244387338957e-4,3.2565079423192613e-4,NA,NA
ipsi_RSPagl,7.871149662424377,surface,-8.212749078140013e-4,-0.00241655687214831,2.4569213557990497e-5,NA,NA
ipsi_MOs,25.684677356188693,surface,-0.0029732434544975563,-0.0010104635571114434,-2.868979079244391e-4,NA,NA
ipsi_CP,13.026024384007076,surface,-0.0020904570048771148,0.003480205454491187,5.629860372792675e-4,NA,NA
ipsi_ACAd,18.995182396595233,surface,-0.0019074992179405805,-0.001609614372194559,-0.001055322377100167,NA,NA
contra_VISp,-1.1321740851511388,surface,-4.1127559663606793e-7,3.855918203854958e-6,-2.273274121383852e-6,NA,NA
ipsi_VISl,0.32287494136181955,lf,NA,NA,NA,0.1427208684115526,-0.29478039646053716
ipsi_VISal,-1.502869301015712,lf,NA,NA,NA,5.913461571825459e-4,-6.650922481200645e-5
ipsi_VISli,-1.2017805859631914,lf,NA,NA,NA,0.3330354142538483,-0.1406325594849811
ipsi_VISrl,-0.5363081256281939,lf,NA,NA,NA,0.3980566031723237,0.22848520077708226
ipsi_VISpl,-1.7323810826640444,lf,NA,NA,NA,-0.010021608412940941,0.3592333844303936
ipsi_VISpor,-1.7584594118731456,lf,NA,NA,NA,-0.033797001462849766,0.5633103210365173
ipsi_RSPd,-0.6415199692130726,lf,NA,NA,NA,0.38818778602124293,0.5781321190866467
ipsi_VISpm,0.35648209271418635,lf,NA,NA,NA,0.31438190026032775,0.4922933609180757
ipsi_VISam,-0.5047884891773504,lf,NA,NA,NA,0.6673785072852667,0.18738186456679481
ipsi_VISa,-1.1761422718094647,lf,NA,NA,NA,0.4171288370837549,0.28249771582225897
ipsi_RSPagl,-0.6095536446577529,lf,NA,NA,NA,0.5982406456782331,0.7576985368635147
ipsi_MOs,-0.9659763599160818,lf,NA,NA,NA,0.6899600400086111,0.7059283414477843
ipsi_CP,-0.27588835404183887,lf,NA,NA,NA,0.5598878663342813,0.3178060688546717
ipsi_ACAd,-1.3106085159643912,lf,NA,NA,NA,0.7586418648059524,0.5649196092296138
contra_VISp,-1.1344119245480029,lf,NA,NA,NA,0.03666148233548267,0.15435607951315589
ipsi_VISl,-5.404396065359289,full,6.389607284388712e-4,7.79101853044735e-4,-1.6513733726837722e-4,0.15687569029851067,-0.18548249572798467
ipsi_VISal,-1.5040773967762742,full,-8.346337147867543e-41,-9.257491583417068e-41,-3.8753155960138525e-41,3.567988564598881e-38,-3.96238273780943e-39
ipsi_VISli,-1.7227665977411035,full,-8.690515999326003e-41,1.8245270472887106e-42,2.76808256858132e-41,4.966100224201619e-38,-1.1488258336950148e-38
ipsi_VISrl,17.41024397645302,full,-0.0016913037896672215,-3.411325714200862e-4,-0.001085087662848986,0.3057969168123875,0.15716429888464012
ipsi_VISpl,-18.902092254855575,full,0.0014942746626337244,0.0010224396257871408,9.919676922171112e-4,0.04935221448129174,0.593955372680423
ipsi_VISpor,-15.210134459650119,full,0.0014909544182810583,3.8394614919123074e-4,-1.981488382473012e-4,-0.021618641759520465,1.0673475578296203
ipsi_RSPd,2.3045791239585256,full,-2.3405677452745767e-4,-8.774766386466855e-4,-9.356960458872068e-5,0.28059092128611196,0.4402055780989904
ipsi_VISpm,6.952739874186031,full,-0.0011270676893803742,-0.0021004538958242953,0.0016708542347669165,0.4230030474111726,0.5029773145971902
