region,AICc,logLik,model_type
ipsi_VISam,40.31873579374846,-19.135838485109524,null
ipsi_VISpm,50.74806783483154,-24.350504505651063,null
ipsi_VISrl,45.71319478175524,-21.833067979112915,null
ipsi_CP,116.50132331467269,-57.22713224557164,null
ipsi_VISl,108.16744006316593,-53.06019061981826,null
ipsi_APN,114.13538403655895,-56.04416260651477,null
ipsi_LD,121.72196602415703,-59.83745360031381,null
ipsi_LGv,104.53351208739247,-51.24322663193153,null
ipsi_NOT,102.54530286664811,-50.24912202155935,null
ipsi_PPT,112.80052410682684,-55.376732641648715,null
ipsi_SCop,115.3684754290112,-56.66070830274089,null
ipsi_SCsg,119.31136043269957,-58.63215080458508,null
ipsi_SCzo,75.42475438120991,-36.68884777884025,null
ipsi_RSPagl,59.91845211379873,-28.93569664513466,null
ipsi_VISal,64.11733464407875,-31.03513791027467,null
ipsi_VISpl,55.47124611276021,-26.7120936446154,null
ipsi_LP,111.36220051874066,-54.657570847605626,null
ipsi_PG,106.4066164804256,-52.17977882844809,null
ipsi_SCig,106.4066164804256,-52.17977882844809,null
ipsi_SCiw,59.918452113798715,-28.93569664513465,null
ipsi_SubG,40.318735793748466,-19.135838485109527,null
ipsi_ZI,82.03364429804871,-39.99329273725965,null
ipsi_LGd-co,106.40661648042558,-52.179778828448086,null
ipsi_LGd-ip,50.74806783483153,-24.35050450565106,null
ipsi_LGd-sh,34.4971756862326,-16.225058431351595,null
ipsi_MPT,68.0899077443405,-33.02142446040554,null
ipsi_OP,71.85409484406841,-34.9035180102695,null
ipsi_POL,50.74806783483153,-24.35050450565106,null
ipsi_VISam,23.406277445457082,-7.4592362837041515,surface
ipsi_VISpm,29.505208052548937,-10.508701587250078,surface
ipsi_VISrl,29.988851169067217,-10.750523145509218,surface
ipsi_CP,92.2885148224868,-41.90035497221901,surface
ipsi_VISl,88.22307993016562,-39.867637526058424,surface
ipsi_APN,120.5761300910783,-56.04416260651476,surface
ipsi_LD,121.83003817682413,-56.67111664938768,surface
ipsi_LGv,102.1352322126829,-46.82371366731706,surface
ipsi_NOT,108.98604892116751,-50.249122021559366,surface
ipsi_PPT,117.2270243674698,-54.36960974471051,surface
ipsi_SCop,119.52505804786045,-55.51862658490584,surface
ipsi_SCsg,121.71797882685723,-56.61508697440423,surface
ipsi_SCzo,81.86550043572927,-36.68884777884025,surface
ipsi_RSPagl,45.634646106029585,-18.573420613990404,surface
ipsi_VISal,53.840495830425006,-22.676345476188114,surface
ipsi_VISpl,38.64441225727792,-15.078303689614572,surface
ipsi_LP,117.80294657326003,-54.657570847605626,surface
ipsi_PG,89.70152946057777,-40.6068622912645,surface
ipsi_SCig,109.03190214186489,-50.272048631908056,surface
ipsi_SCiw,66.34537150152887,-28.92878331174005,surface
ipsi_SubG,46.75948184826785,-19.135838485109538,surface
ipsi_ZI,79.7848719654366,-35.64853354369391,surface
ipsi_LGd-co,112.82248008044863,-52.167337601199925,surface
ipsi_LGd-ip,50.45560663549608,-20.983900878723652,surface
ipsi_LGd-sh,40.937921740751946,-16.225058431351584,surface
ipsi_MPT,70.11810197190484,-30.81514854692803,surface
ipsi_OP,70.17233513428353,-30.842265128117372,surface
ipsi_POL,57.18166067913945,-24.346927900545335,surface
ipsi_VISam,46.01249481123837,-18.762344966594796,lf
ipsi_VISpm,55.89620650204276,-23.70420081199699,lf
ipsi_VISrl,45.02305299366676,-18.26762405780899,lf
ipsi_CP,121.53956757169618,-56.5258813468237,lf
ipsi_VISl,111.86739888874196,-51.68979700534659,lf
ipsi_APN,115.38721496424836,-53.44970504309979,lf
