region,AICc,logLik,model_type
ipsi_LD,120.52883543216181,-56.02051527705652,lf
ipsi_LGv,106.55437839347468,-49.03328675771295,lf
ipsi_NOT,107.58053165582606,-49.54636338888864,lf
ipsi_PPT,119.24127016134616,-55.376732641648694,lf
ipsi_SCop,121.80922148353054,-56.66070830274088,lf
ipsi_SCsg,123.6083319591486,-57.56026354054991,lf
ipsi_SCzo,81.86550043572927,-36.68884777884025,lf
ipsi_RSPagl,45.07444615110157,-18.293320636526396,lf
ipsi_VISal,54.739846891751526,-23.126021006851374,lf
ipsi_VISpl,60.06590937749217,-25.789052249721696,lf
ipsi_LP,90.18967228707722,-40.85093370451422,lf
ipsi_PG,100.19705787565402,-45.854626498802624,lf
ipsi_SCig,111.57670418650042,-51.54444965422582,lf
ipsi_SCiw,66.35919816831812,-28.93569664513467,lf
ipsi_SubG,46.399588058941895,-18.95589159044656,lf
ipsi_ZI,72.11601528899219,-31.814105205471705,lf
ipsi_LGd-co,89.8317924651335,-40.67199379354236,lf
ipsi_LGd-ip,56.327688651878624,-23.919941886914923,lf
ipsi_LGd-sh,39.01508732788631,-15.263641224918768,lf
ipsi_MPT,74.50607506752907,-33.009135094740145,lf
ipsi_OP,78.28436345556375,-34.898279288757486,lf
ipsi_POL,49.74516522415785,-20.628680173054537,lf
ipsi_VISam,31.140554359022666,-7.861416420017663,full
ipsi_VISpm,35.93615709947428,-10.259217790243467,full
ipsi_VISrl,31.445840298836256,-8.014059389924457,full
ipsi_CP,95.41282726047507,-39.99755287074387,full
ipsi_VISl,93.67594716171041,-39.12911282136154,full
ipsi_APN,121.6512476110067,-53.11676304600968,full
ipsi_LD,124.79034765360275,-54.68631306730771,full
ipsi_LGv,107.8308950497151,-46.20658676536388,full
ipsi_NOT,114.74537891193896,-49.66382869647581,full
ipsi_PPT,125.04211112953931,-54.812194805275986,full
ipsi_SCop,126.8859669178407,-55.734122699426685,full
ipsi_SCsg,128.0616750166399,-56.32197674882628,full
ipsi_SCzo,88.79541707666783,-36.68884777884025,full
ipsi_RSPagl,48.71529520051025,-16.648786840761453,full
ipsi_VISal,49.88985894435203,-17.236068712682343,full
ipsi_VISpl,39.47744984732592,-12.029864164169288,full
ipsi_LP,90.67457347745935,-37.628425979236006,full
ipsi_PG,95.06421736507953,-39.8232479230461,full
ipsi_SCig,116.34960433228358,-50.46594140664812,full
ipsi_SCiw,73.28911480925667,-28.93569664513467,full
ipsi_SubG,53.68939848920642,-19.135838485109538,full
ipsi_ZI,77.38601133850098,-30.984144909756825,full
ipsi_LGd-co,93.64157991215667,-39.11192919658467,full
ipsi_LGd-ip,57.228127711210796,-20.905203096111727,full
ipsi_LGd-sh,47.86783838169051,-16.225058431351584,full
ipsi_MPT,77.10498470715585,-30.84363159408426,full
ipsi_OP,77.55668961449722,-31.069484047754937,full
ipsi_POL,56.439037839984536,-20.510658160498597,full
