region,AICc,logLik,model_type
ipsi_VISam,22.238319163749736,-10.008048470763757,null
ipsi_VISpm,22.238319163749736,-10.008048470763757,null
ipsi_VISrl,29.948109444620034,-13.862943611198906,null
ipsi_VISl,26.65679430441796,-12.21728604109787,null
ipsi_VISal,26.65679430441796,-12.21728604109787,null
ipsi_VISa,22.238319163749736,-10.008048470763757,null
ipsi_VISam,30.66296281705559,-9.998148075194461,surface
ipsi_VISpm,29.867018182595114,-9.600175757964223,surface
ipsi_VISrl,19.722269404876513,-4.527801369104923,surface
ipsi_VISl,32.50777040458138,-10.920551868957357,surface
ipsi_VISal,27.71662753189462,-8.524980432613976,surface
ipsi_VISa,27.433088340146945,-8.383210836740139,surface
ipsi_VISam,21.93956498834041,-8.616841317699617,lf
ipsi_VISpm,24.55031370628365,-9.922215676671236,lf
ipsi_VISrl,32.09650297616087,-13.695310311609846,lf
ipsi_VISl,28.57316845013398,-11.933643048596402,lf
ipsi_VISal,29.12632651598524,-12.210222081522032,lf
ipsi_VISa,24.42257734943021,-9.858347498244516,lf
ipsi_VISam,33.7835104514745,-9.748898082880107,full
ipsi_VISpm,33.43998428136883,-9.57713499782727,full
ipsi_VISrl,23.12476879096038,-4.419527252623048,full
ipsi_VISl,35.56459356834479,-10.639439641315251,full
ipsi_VISal,34.47507412745986,-10.094679920872789,full
ipsi_VISa,31.05209358268318,-8.383189648484448,full
