region,(Intercept),model_type,surface_ccf_x,surface_ccf_y,surface_ccf_z,LF1_L5_ET,LF2_L5_ET
ipsi_LD,-3.817233710992668,surface,3.3302634553456016e-4,-2.517608309345608e-4,3.81829490528219e-4,NA,NA
ipsi_LGd-co,-1.0835042434860653,surface,1.9402170957005522e-5,4.598371101331744e-5,-1.6782998796685407e-5,NA,NA
ipsi_APN,0.6418538861723946,surface,6.445874140826175e-41,-2.555706968414865e-42,1.4676452366001351e-41,NA,NA
ipsi_SCop,0.009265507339691559,surface,6.87556089870295e-5,2.791977654636967e-4,-1.074094540309968e-4,NA,NA
ipsi_SCsg,-1.9888659666778448,surface,2.123784403639385e-4,4.0122694353199345e-4,6.787696510685529e-6,NA,NA
ipsi_ZI,4.508493708958793,surface,-5.881954056159073e-4,-3.7530981163470334e-4,-9.138584096301066e-5,NA,NA
ipsi_PPT,-3.379639606727134,surface,2.5207469880804526e-4,2.974354926622786e-4,1.0765971806740929e-5,NA,NA
ipsi_LGd-sh,-3.0325462466767075,surface,5.795910060529587e-41,5.932434800433083e-41,3.7506489379781247e-41,NA,NA
ipsi_SubG,-2.797281334830153,surface,-7.782554197059168e-42,-6.874851745036078e-41,5.229942152646519e-41,NA,NA
ipsi_PG,13.89976363143375,surface,-0.0013754094577647729,0.0012860102577712744,-0.0011274895028165516,NA,NA
ipsi_POL,-2.436116485618568,surface,3.3039273589526633e-41,1.696350500285386e-41,3.1216581222923517e-41,NA,NA
ipsi_NOT,-1.0233888674305223,surface,-5.516187299271055e-41,-4.216916497884568e-42,-4.0302004116162457e-41,NA,NA
ipsi_OP,-3.7649334828537024,surface,2.986858234129392e-4,7.412110241610742e-4,-5.675431919028703e-4,NA,NA
ipsi_LGd-ip,-3.7324776358843,surface,3.8659567654097227e-4,8.584028867281308e-4,-0.0011695449719827378,NA,NA
ipsi_MPT,-9.143653124424294,surface,6.383897135864377e-4,5.151952314562297e-4,2.1302516331402226e-4,NA,NA
ipsi_SCzo,-1.7391157357426332,surface,2.8200273996952037e-41,4.0635740797796906e-41,-2.574203153084368e-41,NA,NA
ipsi_VISl,-0.8006570667748785,lf,NA,NA,NA,0.13748319063021253,0.005761188588526115
ipsi_VISal,-2.3455086223818076,lf,NA,NA,NA,0.8799451026325248,0.517856511370278
ipsi_VISrl,-2.788469718507526,lf,NA,NA,NA,0.7061219104411771,0.33835977138003054
ipsi_VISpl,-2.452371104143326,lf,NA,NA,NA,-0.057970480370729785,0.5824630919920187
ipsi_VISpm,-2.4354776512457277,lf,NA,NA,NA,0.0014399390666137964,5.314632370574701e-4
ipsi_VISam,-2.7777332952763985,lf,NA,NA,NA,0.0534449291125268,-0.033987279557411605
ipsi_RSPagl,-2.233813476112273,lf,NA,NA,NA,-0.038874733311079865,-0.23720255301065515
ipsi_CP,-0.5409614607089989,lf,NA,NA,NA,0.0014380584623817354,4.5153753908384333e-4
ipsi_LGv,0.965080896043587,lf,NA,NA,NA,9.08746473307534e-39,1.221249670480223e-38
