"","v1_alm_first_cl","v1_alm_second_cl","v1_alm_third_cl","v1_first_cl","v1_second_cl","v1_third_cl","v1_alm_first_bt","v1_alm_second_bt","v1_alm_third_bt","v1_first_bt","v1_second_bt","v1_third_bt","v1_alm_first_KL","v1_alm_second_KL","v1_alm_third_KL","v1_first_KL","v1_second_KL","v1_third_KL","v1_alm_first_cor","v1_alm_second_cor","v1_alm_third_cor","v1_first_cor","v1_second_cor","v1_third_cor","v1_alm_call","v1_call"
"T31_1.A1_S25_L006_2471830.5","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L5 IT ALM Pld5","L4 IT VISp Rspo1","L5 PT VISp Lgr5","L2/3 IT VISp Rrad",0.51,0.27,0.18,0.99,0.01,0,2.2374707689364,2.92865176501299,4.1480294986042,0.144674351271303,15.9011958459115,16.0619436980018,0.558719430234549,0.521764834422053,0.536294162587685,0.558737529590267,0.476179995148632,0.500360404090806,"PoorQ","Core"
"T31_1.A10_S97_L006_2829384.5","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2","L2/3 IT ALM Sla","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2","L2/3 IT VISp Rrad",0.87,0.11,0.02,0.95,0.05,0,0.222091723938215,1.48990448077162,14.1398938600653,0.121907796498548,1.4598524689934,3.51027958914802,0.593326703471475,0.601381276079456,0.588458273937539,0.593395615271184,0.601583107687109,0.581535345475682,"I1","Core"
"T31_1.A2_S33_L006_1582693.0","L5 IT ALM Npw","L2/3 IT ALM Macc1 Lrg1","L2/3 IT VISp Agmat","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Rrad",0.43,0.25,0.24,0.76,0.17,0.07,3.52520178903577,1.32913766845785,3.0389443618834,0.305945382353852,12.6887302927454,4.89731810914973,0.554764140506218,0.55922940632278,0.578740564856923,0.578762477731,0.554784921141555,0.557179900043995,"PoorQ","I1"
"T31_1.A6_S65_L006_2159133.5","L2/3 IT VISp Agmat","L2/3 IT ALM Macc1 Lrg1","L2/3 IT ALM Ptrf","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2","L2/3 IT VISp Rrad",0.97,0.02,0.01,0.93,0.07,0,0.143886038170097,4.83861189694761,15.5318206777014,0.13740988677912,1.37573212888735,3.43982857383045,0.566610113239379,0.562899149270348,0.549973537642673,0.566734794442543,0.571287054321724,0.552471163118465,"Core","Core"
"T31_1.A7_S73_L006_2228722.5","L2/3 IT VISp Agmat","L2/3 IT ALM Macc1 Lrg1","L2/3 IT ALM Sla","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2","L4 IT VISp Rspo1",0.42,0.34,0.1,0.71,0.18,0.07,1.4187460401034,2.11177344251319,8.54121982646771,0.818751399738029,2.16324483717927,14.1032644924838,0.543073172511807,0.532214306045942,0.535395715051306,0.54326645786987,0.544824646745765,0.535630553031489,"I2","I1"
"T31_1.A8_S81_L006_2080169.0","L5 IT ALM Npw","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L2/3 IT VISp Adamts2",0.38,0.37,0.13,0.71,0.28,0.01,7.15291548658329,3.59737620855306,3.52688158876447,4.0568852335714,2.47009747234339,11.2855501120153,0.544049217045906,0.567159778805301,0.554929595795112,0.567166593319079,0.555028039314652,0.544902194997591,"PoorQ","PoorQ"
"T31_1.A9_S89_L006_1789552.5","L2/3 IT VISp Agmat","L5 PT VISp Lgr5","L5 PT ALM Slco2a1","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Adamts2",0.97,0.02,0.01,0.64,0.31,0.05,0.49743935453743,15.6432928946023,15.8029480900876,0.804116983684534,10.3352799317122,5.3198942432258,0.554448568782621,0.486288003283394,0.498645600311735,0.554621104837585,0.550064763372503,0.553380500544935,"Core","I1"
"T31_1.B1_S26_L006_2856293.0","L2/3 IT VISp Agmat","L2/3 IT ALM Macc1 Lrg1","L5 IT ALM Npw","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Rrad",0.98,0.01,0.01,0.94,0.06,0,0.167816631232444,4.90618428432045,15.7072074734539,0.165053298802965,14.9262953791183,4.26239587143883,0.556249370175085,0.542182648851397,0.53184686231209,0.556355100794574,0.554653198674046,0.54028411272602,"Core","Core"
"T31_1.B10_S98_L006_1828995.5","L2/3 IT VISp Rrad","L4 IT VISp Rspo1","L2/3 IT VISp Agmat","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Rrad",0.32,0.31,0.29,0.79,0.19,0.01,6.11895413082509,6.42240576051886,1.44752419668594,0.393288514857101,12.4692596030132,5.45935390104939,0.574020923742999,0.598441877362461,0.595706106652386,0.595791623031406,0.598438908271376,0.574106765763607,"PoorQ","I1"
"T31_1.B11_S106_L006_1372846.0","L2/3 IT VISp Agmat","L2/3 IT VISp Rrad","L2/3 IT VISp Adamts2","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Rrad",0.97,0.01,0.01,0.88,0.12,0,0.117681449579175,4.42531711927362,2.06063980370381,0.273257917241028,13.8216562510303,4.86468975911557,0.618958962479016,0.59760079845053,0.623046352277954,0.619086216010758,0.606057194928885,0.59778580284116,"Core","I1"
"T31_1.B12_S114_L006_2477099.0","L2/3 IT VISp Agmat","L2/3 IT ALM Macc1 Lrg1","L2/3 IT ALM Ptrf","L2/3 IT VISp Agmat","L4 IT VISp Rspo1","L2/3 IT VISp Rrad",0.55,0.32,0.08,0.69,0.31,0,1.03746335352722,2.31872541616926,8.81420261985099,0.806927115293738,10.5146535850841,6.96297497642409,0.548840041116539,0.529069235397104,0.524995818190206,0.548949861066163,0.536310769405805,0.53033736889153,"I2","I1"
"T31_1.B2_S34_L006_1522390.0","L5 IT VISp Hsd11b1 Endou","L4 IT VISp Rspo1","L5 IT ALM Pld5","L4 IT VISp Rspo1","L5 IT VISp Hsd11b1 Endou","L5 IT VISp Batf3",0.3,0.29,0.25,0.9,0.05,0.04,1.86655652701037,1.80966041392905,4.78461307240739,0.263025175016705,2.34635305847726,14.3741025233859,0.548444297482077,0.582526881829852,0.566553699653821,0.582538431100552,0.548444297482077,0.519063767377922,"I3","Core"
