,predicted_met_type,probability,ccf_soma_location,ccf_soma_location_nolayer,ccf_soma_x,ccf_soma_y,ccf_soma_z,distance_soma_moved_out_of_brain_correction,cre_line,azimuth,altitude,auto_projection_subclass,dend_derived_predicted_subclass,dend_derived_predicted_probability,local_axon_derived_subclass,met_classifier_routing_call
182709_6984-X2452-Y12423_reg.swc,L5 ET-2,0.988,VISpm5,VISpm,8899.823,643.262,4324.473,37.416573867739416,Ai82;Ai139_375886-182709,35.21215736632139,3.519492888056115,ET,ET,0.7602194621555048,None,ET
182709_7126-X2913-Y10535_reg.swc,L5 ET-3,0.918,VISp5,VISp,9117.453,1064.075,3550.508,24.494897427831784,Ai82;Ai139_375886-182709,48.44734378948347,-0.2969909730744172,ET,ET,0.9494300442907748,None,ET
182724_5937-X3804-Y11955_reg.swc,L5 ET-2,0.724,VISa5,VISa,7168.2890000000025,953.689,3959.651,42.42640687119285,Fezf2-CreER;Ai166_405426-182724,41.86146904065375,1.6700203698682907,ET,ET,0.9281201015843208,None,ET
182724_6175-X3782-Y10859_reg.swc,L5 ET-3,0.966,VISa5,VISa,7512.552,927.64,3519.999000000001,44.7213595499958,Fezf2-CreER;Ai166_405426-182724,44.4597287001566,-10.684374654322502,ET,ET,0.9761682614362464,None,ET
182724_6354-X4834-Y8105_reg.swc,L5 ET-3,0.626,VISrl5,VISrl,7890.754,1516.527,2363.827,72.80109889280519,Fezf2-CreER;Ai166_405426-182724,17.478222284479752,5.409056837487051,ET,ET,1.0,None,ET
182724_6360-X3448-Y12540_reg.swc,L5 ET-3,0.994,VISam5,VISam,7660.996,750.794,4297.691,50.99019513592785,Fezf2-CreER;Ai166_405426-182724,41.44791884630183,-0.7409971451837846,ET,ET,1.0,None,ET
182724_6361-X3802-Y10603_reg.swc,L5 ET-3,0.964,VISa5,VISa,7749.151999999999,956.36,3444.288,54.77225575051661,Fezf2-CreER;Ai166_405426-182724,36.643828090200216,-17.59543743861344,ET,ET,0.9953448275862068,None,ET
182724_6391-X3524-Y11978_reg.swc,L5 ET-3,0.982,VISam5,VISam,7721.300999999998,811.548,4052.603,41.23105625617661,Fezf2-CreER;Ai166_405426-182724,42.44680686265422,3.90849510203616,ET,ET,1.0,None,ET
182724_6396-X3762-Y10790_reg.swc,L5 ET-2,0.59,VISam5,VISam,7783.460999999997,946.608,3533.884,53.851648071345046,Fezf2-CreER;Ai166_405426-182724,37.6092493961966,-15.348191992247678,ET,ET,1.0,None,ET
182724_6450-X3505-Y11792_reg.swc,L5 ET-3,0.98,VISam5,VISam,7809.119000000002,805.472,3986.337,31.622776601683803,Fezf2-CreER;Ai166_405426-182724,37.766669882862296,3.768171820305143,ET,ET,1.0,None,ET
182724_6457-X3810-Y19182_reg.swc,L5 ET-3,0.922,VISam5,VISam,7516.665,865.834,7173.605,0.0,Fezf2-CreER;Ai166_405426-182724,46.68926405650058,0.7537210456837548,ET,ET,0.9913595877338084,None,ET
