,complete_axon_total_length,complete_axon_max_euclidean_distance,complete_axon_num_branches,complete_axon_num_tips,complete_axon_max_branch_order,complete_axon_max_path_distance,complete_axon_mean_contraction,axon_width,axon_depth,axon_height,complete_axon_total_number_of_targets,complete_axon_total_projection_length,complete_axon_VIS_length,complete_axon_ipsi_VIS_length,complete_axon_length_in_soma_structure,complete_axon_number_of_VIS_targets,complete_axon_number_of_contra_VIS_targets,fraction_of_complete_axon_in_soma_structure
17109_6201-X4328-Y6753_reg.swc,77517.58296263545,2471.512730081316,199.0,100.0,19.0,2981.977200053717,0.7726905387120514,2190.4366597291355,3174.806,1894.2327090723631,4,65541.81265492871,65541.81265492871,65541.81265492871,22772.756375826222,4,0,0.3474538688107785
17109_6301-X4756-Y24516_reg.swc,79605.51853333971,6632.085331015729,231.0,116.0,25.0,9869.076727778334,0.787280787645342,1795.214651050911,7271.248616489433,1411.5828495535748,6,53599.221355382346,53599.221355382346,20993.605335166554,19826.39564151804,6,4,0.3699008146044104
17109_6601-X4384-Y7436_reg.swc,86975.40983970955,8133.3258993212,221.0,111.0,14.0,12340.91537428681,0.7996770792412181,2459.358098738252,8190.705,3460.126,6,64073.98625090861,64073.98625090861,60850.159819663735,15966.88779951474,6,1,0.2491945442100275
17109_6601-X5417-Y25287_reg.swc,98303.14173415648,7694.227151149919,241.0,121.0,20.0,11818.483632787418,0.767471787968032,2312.7125076191505,8449.184291297552,2292.053,7,70297.1037469079,68950.75475242079,24194.525722710932,21162.8341330722,6,4,0.3010484501504526
17109_6901-X7203-Y26714_reg.swc,199949.40895496585,8778.128061368321,539.0,270.0,28.0,19844.384386200556,0.773794341543513,3087.3344797162654,9906.562,3796.2613772767927,19,165861.56423678828,144199.5027075515,110567.06214863455,5565.373904638087,12,3,0.03355433147062821
17109_7001-X5738-Y6470_reg.swc,151928.03775399658,8262.363622626215,379.0,190.0,24.0,15268.070536141298,0.8122934753714958,2704.3442432694537,8617.366001186536,3921.5397538257644,23,117393.36101079173,65891.88718522889,42508.364987671106,0.0,7,3,0.0
17109_7001-X6205-Y5194_reg.swc,129334.70436232915,8327.30657921113,319.0,160.0,25.0,16768.496223617894,0.799358409689276,4119.352888783724,8838.053,3516.0790735997957,21,84105.4252977837,56868.63231942856,14568.712071684738,9844.641134787267,11,7,0.11705120210653863
17300_5969-X27278-Y20820_reg.swc,72962.4495199591,3945.8193719197925,351.0,176.0,27.0,6927.676935751552,0.8487852028922857,5041.606167333064,5261.143194248129,3477.147,9,51872.944014955654,29386.521006459676,29386.521006459676,6836.462170214214,6,0,0.13179244594722003
17543_6014-X3691-Y17288_reg.swc,77475.76052823056,2298.477182325071,321.0,161.0,36.0,8615.310197984112,0.7617674640432002,2605.499999999999,3199.0094711298025,1597.7509168578763,5,72824.65872094498,72824.65872094498,72824.65872094498,69187.28660927943,5,0,0.9500530153446581
17781_6262-X6896-Y13574_reg.swc,87959.8208047577,4967.768602560913,349.0,175.0,25.0,7309.818324650877,0.8045503585537247,4719.414071938758,4508.482381451226,1793.980286968297,11,77128.84264994059,27638.96649437544,27638.96649437544,13856.568114826048,4,0,0.17965481704057076
17781_6866-X8954-Y41812_reg.swc,89571.00540929918,2667.3429469948173,367.0,184.0,38.0,7594.508672806918,0.8162725138282049,2445.7609289255815,2900.8409999999994,2073.449,10,86910.24086139868,84682.99851102757,84682.99851102757,3670.637382424992,8,0,0.042234808533999954
17787_7070-X12739-Y1410_reg.swc,32357.743295771263,3855.5869455990737,129.0,65.0,20.0,6197.971079395661,0.82676711107581,4409.293,2486.7430000000004,1124.4779999999998,3,25288.003572485693,23317.51355099222,23317.51355099222,17577.21060906409,2,0,0.6950809920079559
182709_6172-X3564-Y6968_reg.swc,36024.87776916101,8958.471525490775,187.0,94.0,30.0,12911.417162375457,0.7994199816738189,2142.9610000000002,8863.161476428239,3465.858749062345,6,25591.587804565446,19428.49688802448,18029.82388846839,14500.913004644315,3,1,0.5666281090248494
182709_6204-X2976-Y9977_reg.swc,27867.509676546615,4233.806087752763,205.0,103.0,28.0,10687.28467211461,0.7190383572831257,1534.1730617275234,1218.7850352957062,4797.141900769487,4,17415.522623420416,16151.978711852427,16151.978711852427,15981.337385426166,2,0,0.9176490267328782
182709_6592-X3030-Y10077_reg.swc,74980.06357202958,5130.04794216867,319.0,160.0,17.0,6599.660490291501,0.77921601305452,2341.474233719956,7291.7685986487195,1961.6529999999998,4,65296.163207855214,63146.864830453924,63146.864830453924,61042.72610263935,3,0,0.9348593103138997
182709_6812-X3137-Y8659_reg.swc,71646.13921847077,4406.148025000862,373.0,187.0,27.0,4960.425088705055,0.7869341967038561,4905.549242658119,3439.256,2015.7220000000002,4,62655.03912552647,61960.21825229828,61960.21825229828,40189.438993372416,3,0,0.6414398515154501
182709_6886-X3406-Y21258_reg.swc,43224.0632383442,2075.398188169288,303.0,152.0,24.0,3976.4457384665147,0.7668818323250651,1371.1757769355,3114.573423009286,1587.2374282631808,2,36844.02475728368,36844.02475728368,36844.02475728368,34347.07699288322,2,0,0.9322292344321901
